Ask,BaseVolume,Bid,High,Last,Low,Market,OpenBuyOrders,OpenSellOrders,PrevDay,TimeStamp,Volume
9.13e-05,361.90079179,9.109e-05,0.00011181,9.111e-05,8.4e-05,BTC-1ST,403.0,5295.0,0.00010992,2017-09-14T06:22:15.353,3815839.53682047
9.13e-05,361.71731487,9.027e-05,0.00011181,9.025e-05,8.4e-05,BTC-1ST,397.0,5295.0,0.00010901,2017-09-14T06:23:06.72,3814646.21816057
9.13e-05,361.71731487,9.078e-05,0.00011181,9.025e-05,8.4e-05,BTC-1ST,397.0,5295.0,0.00010901,2017-09-14T06:23:28.287,3814646.21816057
9.13e-05,361.29350246,9.1e-05,0.00011181,9.078e-05,8.4e-05,BTC-1ST,397.0,5296.0,0.00011,2017-09-14T06:24:01.197,3810793.31851449
9.13e-05,360.40432688,9.027e-05,0.00011181,9.1e-05,8.4e-05,BTC-1ST,410.0,5296.0,0.0001105,2017-09-14T06:24:39.357,3802891.80609536
9.13e-05,360.40432688,9.03e-05,0.00011181,9.1e-05,8.4e-05,BTC-1ST,410.0,5296.0,0.0001105,2017-09-14T06:25:00.407,3802891.80609536
9.167e-05,359.52994745,9.037e-05,0.00011181,9.13e-05,8.4e-05,BTC-1ST,426.0,5285.0,0.00011079999999999996,2017-09-14T06:25:54.4,3794986.31580124
9.167e-05,359.52994745,9.045e-05,0.00011181,9.13e-05,8.4e-05,BTC-1ST,426.0,5285.0,0.00011079999999999996,2017-09-14T06:26:21.137,3794986.31580124
9.167e-05,359.52994745,9.051e-05,0.00011181,9.13e-05,8.4e-05,BTC-1ST,426.0,5285.0,0.00011079999999999996,2017-09-14T06:26:47.06,3794986.31580124
9.166e-05,358.62345318,9.053e-05,0.00011181,9.167e-05,8.4e-05,BTC-1ST,428.0,5282.0,0.00011181,2017-09-14T06:27:17.55,3787009.19798208
9.164e-05,358.62345318,9.055e-05,0.00011181,9.167e-05,8.4e-05,BTC-1ST,428.0,5282.0,0.00011181,2017-09-14T06:27:48.63,3787009.19798208
9.162e-05,357.65394884,9.057e-05,0.000111,9.164e-05,8.4e-05,BTC-1ST,430.0,5284.0,0.0001105,2017-09-14T06:28:26.87,3778321.85907241
9.162e-05,357.65394884,9.057e-05,0.00011100000000000001,9.164e-05,8.4e-05,BTC-1ST,430.0,5284.0,0.0001105,2017-09-14T06:28:27.073,3778321.85907241
9.159e-05,357.65394884,9.051e-05,0.000111,9.164e-05,8.4e-05,BTC-1ST,430.0,5284.0,0.0001105,2017-09-14T06:29:13.36,3778321.85907241
9.157e-05,357.65394884,9.051e-05,0.00011100000000000001,9.164e-05,8.4e-05,BTC-1ST,430.0,5284.0,0.0001105,2017-09-14T06:29:44.52,3778321.85907241
9.156e-05,357.65394884,9.051e-05,0.000111,9.164e-05,8.4e-05,BTC-1ST,430.0,5284.0,0.0001105,2017-09-14T06:29:49.74,3778321.85907241
9.154e-05,357.65394884,9.051e-05,0.00011100000000000001,9.164e-05,8.4e-05,BTC-1ST,430.0,5284.0,0.0001105,2017-09-14T06:30:29.417,3778321.85907241
9.051e-05,353.85339550000015,9.05e-05,0.00010944,9.051e-05,8.4e-05,BTC-1ST,426.0,5288.0,0.00010579,2017-09-14T06:31:04.983,3743643.92098715
9.051e-05,353.85339550000015,9.05e-05,0.00010944,9.051e-05,8.4e-05,BTC-1ST,426.0,5288.0,0.00010579,2017-09-14T06:31:04.983,3743643.92098715
9.151e-05,353.77529799,9.051e-05,0.00010944,9.151e-05,8.4e-05,BTC-1ST,429.0,5286.0,0.00010838,2017-09-14T06:32:02.833,3743062.14888344
9.155e-05,353.81422978,9.052e-05,0.00010944,9.154e-05,8.4e-05,BTC-1ST,432.0,5286.0,0.00010838,2017-09-14T06:32:15.243,3743487.44710268
9.155e-05,353.34777554,9.052e-05,0.00010944,9.155e-05,8.4e-05,BTC-1ST,433.0,5286.0,0.00010625,2017-09-14T06:33:07.593,3739115.47372649
9.155e-05,353.34777554,9.052e-05,0.00010944,9.155e-05,8.4e-05,BTC-1ST,433.0,5286.0,0.00010625,2017-09-14T06:33:07.593,3739115.47372649
9.158e-05,351.71448587,9.052e-05,0.00010944,9.158e-05,8.4e-05,BTC-1ST,431.0,5285.0,0.000107,2017-09-14T06:34:19.57,3723863.13074177
9.158e-05,349.87300093,9.052e-05,0.00010944,9.158e-05,8.4e-05,BTC-1ST,431.0,5285.0,0.00010702,2017-09-14T06:34:46.243,3706699.21147829
9.158e-05,349.87300093,9.052e-05,0.00010944,9.158e-05,8.4e-05,BTC-1ST,431.0,5285.0,0.00010702,2017-09-14T06:34:46.243,3706699.21147829
9.158e-05,349.58674299,9.052e-05,0.00010944,9.158e-05,8.4e-05,BTC-1ST,429.0,5285.0,0.00010704,2017-09-14T06:35:41.343,3704068.80225761
9.158e-05,349.59891714,9.052e-05,0.00010944,9.158e-05,8.4e-05,BTC-1ST,429.0,5285.0,0.00010704,2017-09-14T06:36:00.207,3704201.73697014
9.158e-05,349.52693332,9.054e-05,0.00010944,9.158e-05,8.4e-05,BTC-1ST,429.0,5285.0,0.00010745,2017-09-14T06:36:36.18,3703553.42840578
9.05e-05,349.52868018,9.044e-05,0.00010944,9.05e-05,8.4e-05,BTC-1ST,424.0,5286.0,0.00010836,2017-09-14T06:37:25.31,3704088.04365007
9.05e-05,349.4231265,9.044e-05,0.00010944,9.05e-05,8.4e-05,BTC-1ST,424.0,5289.0,0.00010835,2017-09-14T06:37:43.873,3703154.43007954
9.05e-05,349.43576707,9.044e-05,0.00010944,9.05e-05,8.4e-05,BTC-1ST,424.0,5288.0,0.00010706,2017-09-14T06:38:22.41,3703385.56885259
9.05e-05,349.46782243,9.044e-05,0.00010944,9.05e-05,8.4e-05,BTC-1ST,424.0,5288.0,0.00010706,2017-09-14T06:38:37.693,3703739.7718308
9.05e-05,349.47300199,9.044e-05,0.00010944,9.05e-05,8.4e-05,BTC-1ST,426.0,5287.0,0.00010708,2017-09-14T06:39:09.29,3703820.47405324
9.05e-05,349.30696748,9.044e-05,0.00010944,9.05e-05,8.4e-05,BTC-1ST,424.0,5291.0,0.00010800000000000001,2017-09-14T06:39:37.823,3702329.52051667
9.158e-05,349.43335903,9.053e-05,0.00010944,9.05e-05,8.4e-05,BTC-1ST,426.0,5290.0,0.00010837,2017-09-14T06:40:04.967,3703911.22252334
9.152e-05,349.43335903,9.054e-05,0.00010944,9.05e-05,8.4e-05,BTC-1ST,426.0,5290.0,0.00010837,2017-09-14T06:40:32.347,3703911.22252334
9.141e-05,349.43335903,9.048e-05,0.00010944,9.05e-05,8.4e-05,BTC-1ST,426.0,5290.0,0.00010837,2017-09-14T06:41:04.52,3703911.22252334
9.131e-05,349.43335903,9.051e-05,0.00010944,9.05e-05,8.4e-05,BTC-1ST,426.0,5290.0,0.00010837,2017-09-14T06:41:28.367,3703911.22252334
9.153e-05,348.43347871,9.053e-05,0.00010944,9.051e-05,8.4e-05,BTC-1ST,430.0,5293.0,0.00010514,2017-09-14T06:42:00.963,3694775.29340836
9.144e-05,348.43347871,9.062e-05,0.00010944,9.051e-05,8.4e-05,BTC-1ST,430.0,5293.0,0.00010514,2017-09-14T06:42:32.547,3694775.29340836
9.146e-05,348.43347871,9.063e-05,0.00010944,9.051e-05,8.4e-05,BTC-1ST,430.0,5293.0,0.00010514,2017-09-14T06:43:28.973,3694775.29340836
9.146e-05,343.17010455,9.14e-05,0.00010944,9.14e-05,8.4e-05,BTC-1ST,435.0,5290.0,0.00010497,2017-09-14T06:44:27.87,3644746.16424615
9.138e-05,343.02620244,9.065e-05,0.00010944,9.14e-05,8.4e-05,BTC-1ST,436.0,5290.0,0.00010298,2017-09-14T06:44:54.967,3643366.89684984
9.139e-05,343.02620244,9.065e-05,0.00010944,9.14e-05,8.4e-05,BTC-1ST,436.0,5290.0,0.00010298,2017-09-14T06:45:25.423,3643366.89684984
9.14e-05,343.02620244,9.068e-05,0.00010944,9.14e-05,8.4e-05,BTC-1ST,436.0,5290.0,0.00010298,2017-09-14T06:45:52.757,3643366.89684984
9.14e-05,343.02620244,9.066e-05,0.00010944,9.14e-05,8.4e-05,BTC-1ST,436.0,5290.0,0.00010298,2017-09-14T06:46:20.087,3643366.89684984
9.138e-05,342.64416968,9.065e-05,0.00010944,9.072e-05,8.4e-05,BTC-1ST,412.0,5290.0,0.00010379,2017-09-14T06:46:51.323,3639808.95500339
9.131e-05,342.64416968,9.067e-05,0.00010944,9.072e-05,8.4e-05,BTC-1ST,412.0,5290.0,0.00010379,2017-09-14T06:47:15.827,3639808.95500339
9.122e-05,342.64416968,9.067e-05,0.00010944,9.072e-05,8.4e-05,BTC-1ST,412.0,5290.0,0.00010379,2017-09-14T06:47:47.847,3639808.95500339
9.068e-05,342.26662015,9.067e-05,0.00010944,9.068e-05,8.4e-05,BTC-1ST,434.0,5294.0,0.00010312,2017-09-14T06:48:27.223,3636211.95610351
9.068e-05,342.26662015,9.067e-05,0.00010944,9.068e-05,8.4e-05,BTC-1ST,434.0,5294.0,0.00010312,2017-09-14T06:48:27.223,3636211.95610351
9.068e-05,342.26662015,9.067e-05,0.00010944,9.068e-05,8.4e-05,BTC-1ST,434.0,5294.0,0.00010312,2017-09-14T06:48:27.223,3636211.95610351
9.068e-05,342.26662015,9.067e-05,0.00010944,9.068e-05,8.4e-05,BTC-1ST,434.0,5294.0,0.00010312,2017-09-14T06:48:27.223,3636211.95610351
9.099e-05,342.14888221,9.068e-05,0.00010944,9.068e-05,8.4e-05,BTC-1ST,434.0,5293.0,0.0001044,2017-09-14T06:50:19.673,3635101.10504087
9.1e-05,342.14888221,9.069e-05,0.00010944,9.068e-05,8.4e-05,BTC-1ST,434.0,5293.0,0.0001044,2017-09-14T06:50:49.253,3635101.10504087
9.14e-05,341.38995066,9.1e-05,0.00010944,9.1e-05,8.4e-05,BTC-1ST,434.0,5290.0,0.00010253,2017-09-14T06:51:14.553,3627774.92382765
9.14e-05,341.41332318,9.105e-05,0.00010944,9.14e-05,8.4e-05,BTC-1ST,434.0,5292.0,0.00010253,2017-09-14T06:51:39.96,3628030.64081042
9.156e-05,341.42217258,9.14e-05,0.00010944,9.14e-05,8.4e-05,BTC-1ST,431.0,5295.0,0.00010256,2017-09-14T06:52:07.23,3628152.8683471
