Ask,BaseVolume,Bid,High,Last,Low,Market,OpenBuyOrders,OpenSellOrders,PrevDay,TimeStamp,Volume
1.67e-06,81.48181167,1.66e-06,1.95e-06,1.66e-06,1.49e-06,BTC-ABY,373.0,3802.0,1.59e-06,2017-09-14T06:21:23.27,46927347.65273888
1.67e-06,81.48181167,1.66e-06,1.95e-06,1.66e-06,1.49e-06,BTC-ABY,373.0,3802.0,1.59e-06,2017-09-14T06:21:23.27,46927347.65273888
1.67e-06,81.48181167,1.66e-06,1.95e-06,1.66e-06,1.49e-06,BTC-ABY,373.0,3802.0,1.59e-06,2017-09-14T06:21:23.27,46927347.65273888
1.67e-06,81.48181167,1.66e-06,1.95e-06,1.66e-06,1.49e-06,BTC-ABY,373.0,3802.0,1.59e-06,2017-09-14T06:21:23.27,46927347.65273888
1.67e-06,81.48181167,1.66e-06,1.95e-06,1.66e-06,1.49e-06,BTC-ABY,373.0,3802.0,1.59e-06,2017-09-14T06:21:23.27,46927347.65273888
1.67e-06,81.49825033,1.66e-06,1.95e-06,1.67e-06,1.49e-06,BTC-ABY,373.0,3802.0,1.57e-06,2017-09-14T06:25:13.143,46937014.23181623
1.67e-06,81.50660033,1.66e-06,1.95e-06,1.67e-06,1.49e-06,BTC-ABY,375.0,3802.0,1.57e-06,2017-09-14T06:25:48.023,46942014.23181623
1.67e-06,81.50660033,1.66e-06,1.95e-06,1.67e-06,1.49e-06,BTC-ABY,375.0,3802.0,1.57e-06,2017-09-14T06:25:48.023,46942014.23181623
1.67e-06,81.50660033,1.66e-06,1.95e-06,1.67e-06,1.49e-06,BTC-ABY,375.0,3802.0,1.57e-06,2017-09-14T06:25:48.023,46942014.23181623
1.67e-06,81.50660033,1.66e-06,1.95e-06,1.67e-06,1.49e-06,BTC-ABY,375.0,3802.0,1.57e-06,2017-09-14T06:25:48.023,46942014.23181623
1.67e-06,81.50660033,1.66e-06,1.95e-06,1.67e-06,1.49e-06,BTC-ABY,375.0,3802.0,1.57e-06,2017-09-14T06:25:48.023,46942014.23181623
1.67e-06,81.50660033,1.66e-06,1.95e-06,1.67e-06,1.49e-06,BTC-ABY,375.0,3802.0,1.57e-06,2017-09-14T06:25:48.023,46942014.23181623
1.67e-06,81.50660033,1.66e-06,1.95e-06,1.67e-06,1.49e-06,BTC-ABY,375.0,3802.0,1.57e-06,2017-09-14T06:25:48.023,46942014.23181623
1.69e-06,81.51252690000003,1.65e-06,1.95e-06,1.66e-06,1.49e-06,BTC-ABY,373.0,3800.0,1.6e-06,2017-09-14T06:29:19.487,46944761.62352123
1.69e-06,81.51252690000003,1.65e-06,1.95e-06,1.66e-06,1.49e-06,BTC-ABY,373.0,3800.0,1.6e-06,2017-09-14T06:29:43.443,46944761.62352123
1.66e-06,81.57181598,1.65e-06,1.95e-06,1.66e-06,1.49e-06,BTC-ABY,373.0,3799.0,1.6e-06,2017-09-14T06:30:07.1,46980477.93809963
1.68e-06,81.58379447,1.66e-06,1.95e-06,1.66e-06,1.49e-06,BTC-ABY,374.0,3799.0,1.58e-06,2017-09-14T06:30:43.387,46987655.34219856
1.68e-06,81.58803829,1.67e-06,1.95e-06,1.66e-06,1.49e-06,BTC-ABY,373.0,3804.0,1.58e-06,2017-09-14T06:30:57.217,46990195.21659223
1.68e-06,81.58803829,1.66e-06,1.95e-06,1.66e-06,1.49e-06,BTC-ABY,373.0,3804.0,1.58e-06,2017-09-14T06:31:33.207,46990195.21659223
1.68e-06,81.58803829,1.66e-06,1.95e-06,1.66e-06,1.49e-06,BTC-ABY,373.0,3804.0,1.58e-06,2017-09-14T06:31:33.207,46990195.21659223
