Ask,BaseVolume,Bid,High,Last,Low,Market,OpenBuyOrders,OpenSellOrders,PrevDay,TimeStamp,Volume
7.915e-05,5.89428764,7.784e-05,8.23e-05,7.786e-05,7.7e-05,BTC-AGRS,191.0,2213.0,8.23e-05,2017-09-14T05:01:57.48,75110.20897653
7.915e-05,5.89428764,7.784e-05,8.23e-05,7.786e-05,7.7e-05,BTC-AGRS,191.0,2213.0,8.23e-05,2017-09-14T05:01:57.48,75110.20897653
7.915e-05,5.89428764,7.784e-05,8.23e-05,7.786e-05,7.7e-05,BTC-AGRS,191.0,2213.0,8.23e-05,2017-09-14T05:01:57.48,75110.20897653
7.915e-05,5.89428764,7.784e-05,8.23e-05,7.786e-05,7.7e-05,BTC-AGRS,191.0,2213.0,8.23e-05,2017-09-14T05:01:57.48,75110.20897653
7.915e-05,5.89428764,7.784e-05,8.23e-05,7.786e-05,7.7e-05,BTC-AGRS,191.0,2213.0,8.23e-05,2017-09-14T05:01:57.48,75110.20897653
7.914e-05,5.89428764,7.784e-05,8.23e-05,7.786e-05,7.7e-05,BTC-AGRS,191.0,2213.0,8.23e-05,2017-09-14T05:45:37.457,75110.20897653
7.912e-05,5.89428764,7.784e-05,8.23e-05,7.786e-05,7.7e-05,BTC-AGRS,191.0,2213.0,8.23e-05,2017-09-14T05:45:52.1,75110.20897653
7.91e-05,5.89428764,7.784e-05,8.23e-05,7.786e-05,7.7e-05,BTC-AGRS,191.0,2213.0,8.23e-05,2017-09-14T05:46:22.513,75110.20897653
7.908e-05,5.89428764,7.784e-05,8.23e-05,7.786e-05,7.7e-05,BTC-AGRS,191.0,2213.0,8.23e-05,2017-09-14T05:46:51.893,75110.20897653
7.907e-05,5.89428764,7.784e-05,8.23e-05,7.786e-05,7.7e-05,BTC-AGRS,191.0,2213.0,8.23e-05,2017-09-14T05:47:19.43,75110.20897653
7.906e-05,5.89428764,7.784e-05,8.23e-05,7.786e-05,7.7e-05,BTC-AGRS,191.0,2213.0,8.23e-05,2017-09-14T05:47:23.15,75110.20897653
7.905e-05,5.89428764,7.784e-05,8.23e-05,7.786e-05,7.7e-05,BTC-AGRS,191.0,2213.0,8.23e-05,2017-09-14T05:47:54.5,75110.20897653
7.900000000000001e-05,5.89428764,7.784e-05,8.23e-05,7.786e-05,7.7e-05,BTC-AGRS,191.0,2213.0,8.23e-05,2017-09-14T05:48:25.613,75110.20897653
7.900000000000001e-05,5.89428764,7.784e-05,8.23e-05,7.786e-05,7.7e-05,BTC-AGRS,191.0,2213.0,8.23e-05,2017-09-14T05:48:25.613,75110.20897653
7.900000000000001e-05,5.89428764,7.784e-05,8.23e-05,7.786e-05,7.7e-05,BTC-AGRS,191.0,2213.0,8.23e-05,2017-09-14T05:48:25.52,75110.20897653
7.900000000000001e-05,5.89428764,7.784e-05,8.23e-05,7.786e-05,7.7e-05,BTC-AGRS,191.0,2213.0,8.23e-05,2017-09-14T05:48:25.613,75110.20897653
7.900000000000001e-05,5.89428764,7.784e-05,8.23e-05,7.786e-05,7.7e-05,BTC-AGRS,191.0,2213.0,8.23e-05,2017-09-14T05:48:25.52,75110.20897653
7.900000000000001e-05,5.89428764,7.784e-05,8.23e-05,7.786e-05,7.7e-05,BTC-AGRS,191.0,2213.0,8.23e-05,2017-09-14T05:48:25.613,75110.20897653
7.900000000000001e-05,5.89428764,7.784e-05,8.23e-05,7.786e-05,7.7e-05,BTC-AGRS,191.0,2213.0,8.23e-05,2017-09-14T05:48:25.52,75110.20897653
7.900000000000001e-05,5.89428764,7.784e-05,8.23e-05,7.786e-05,7.7e-05,BTC-AGRS,191.0,2213.0,8.23e-05,2017-09-14T05:48:25.613,75110.20897653
7.900000000000001e-05,5.89428764,7.784e-05,8.23e-05,7.786e-05,7.7e-05,BTC-AGRS,191.0,2213.0,8.23e-05,2017-09-14T05:48:25.613,75110.20897653
7.900000000000001e-05,5.89428764,7.784e-05,8.23e-05,7.786e-05,7.7e-05,BTC-AGRS,191.0,2213.0,8.23e-05,2017-09-14T05:48:25.613,75110.20897653
7.900000000000001e-05,5.89428764,7.784e-05,8.23e-05,7.786e-05,7.7e-05,BTC-AGRS,191.0,2213.0,8.23e-05,2017-09-14T05:48:25.613,75110.20897653
7.900000000000001e-05,5.89428764,7.784e-05,8.23e-05,7.786e-05,7.7e-05,BTC-AGRS,191.0,2213.0,8.23e-05,2017-09-14T05:48:25.613,75110.20897653
7.900000000000001e-05,5.89117896,7.784e-05,8.228e-05,7.786e-05,7.7e-05,BTC-AGRS,190.0,2213.0,8.23e-05,2017-09-14T05:54:44.15,75072.43638612
7.900000000000001e-05,5.89117896,7.784e-05,8.228e-05,7.786e-05,7.7e-05,BTC-AGRS,190.0,2213.0,8.23e-05,2017-09-14T05:54:44.15,75072.43638612
7.900000000000001e-05,5.89117896,7.784e-05,8.228e-05,7.786e-05,7.7e-05,BTC-AGRS,190.0,2213.0,8.23e-05,2017-09-14T05:54:44.15,75072.43638612
7.900000000000001e-05,5.89117896,7.784e-05,8.228e-05,7.786e-05,7.7e-05,BTC-AGRS,190.0,2213.0,8.23e-05,2017-09-14T05:54:44.15,75072.43638612
7.900000000000001e-05,5.89117896,7.784e-05,8.228e-05,7.786e-05,7.7e-05,BTC-AGRS,190.0,2213.0,8.23e-05,2017-09-14T05:54:44.433,75072.43638612
7.900000000000001e-05,5.89117896,7.784e-05,8.228e-05,7.786e-05,7.7e-05,BTC-AGRS,190.0,2213.0,8.23e-05,2017-09-14T05:54:44.15,75072.43638612
7.900000000000001e-05,5.89117896,7.784e-05,8.228e-05,7.786e-05,7.7e-05,BTC-AGRS,190.0,2213.0,8.23e-05,2017-09-14T05:54:44.15,75072.43638612
7.900000000000001e-05,5.89117896,7.784e-05,8.228e-05,7.786e-05,7.7e-05,BTC-AGRS,190.0,2213.0,8.23e-05,2017-09-14T05:54:44.433,75072.43638612
7.900000000000001e-05,5.89117896,7.784e-05,8.228e-05,7.786e-05,7.7e-05,BTC-AGRS,190.0,2213.0,8.23e-05,2017-09-14T05:54:44.433,75072.43638612
7.900000000000001e-05,5.89117896,7.784e-05,8.228e-05,7.786e-05,7.7e-05,BTC-AGRS,190.0,2213.0,8.23e-05,2017-09-14T05:54:44.433,75072.43638612
7.900000000000001e-05,5.89117896,7.784e-05,8.228e-05,7.786e-05,7.7e-05,BTC-AGRS,190.0,2213.0,8.23e-05,2017-09-14T05:54:44.433,75072.43638612
7.900000000000001e-05,5.89117896,7.785e-05,8.228e-05,7.786e-05,7.7e-05,BTC-AGRS,190.0,2213.0,8.23e-05,2017-09-14T06:01:29.313,75072.43638612
7.900000000000001e-05,5.89117896,7.786e-05,8.228e-05,7.786e-05,7.7e-05,BTC-AGRS,190.0,2213.0,8.23e-05,2017-09-14T06:01:52.723,75072.43638612
7.900000000000001e-05,5.89117896,7.784e-05,8.228e-05,7.786e-05,7.7e-05,BTC-AGRS,190.0,2213.0,8.23e-05,2017-09-14T06:02:39.34,75072.43638612
7.900000000000001e-05,5.89117896,7.784e-05,8.228e-05,7.786e-05,7.7e-05,BTC-AGRS,190.0,2213.0,8.23e-05,2017-09-14T06:02:39.34,75072.43638612
7.900000000000001e-05,5.89117896,7.784e-05,8.228e-05,7.786e-05,7.7e-05,BTC-AGRS,190.0,2213.0,8.23e-05,2017-09-14T06:02:39.34,75072.43638612
