Ask,BaseVolume,Bid,High,Last,Low,Market,OpenBuyOrders,OpenSellOrders,PrevDay,TimeStamp,Volume
4.98e-06,11.4432031,4.91e-06,5.14e-06,4.9000000000000005e-06,4.72e-06,BTC-BAY,373.0,3640.0,4.75e-06,2017-09-14T05:01:54.167,2324556.90934795
4.97e-06,11.4432031,4.91e-06,5.14e-06,4.9000000000000005e-06,4.72e-06,BTC-BAY,373.0,3640.0,4.75e-06,2017-09-14T05:43:51.327,2324556.90934795
4.97e-06,11.4432031,4.91e-06,5.14e-06,4.9000000000000005e-06,4.72e-06,BTC-BAY,373.0,3640.0,4.75e-06,2017-09-14T05:43:51.327,2324556.90934795
4.97e-06,11.4432031,4.91e-06,5.14e-06,4.9000000000000005e-06,4.72e-06,BTC-BAY,373.0,3640.0,4.75e-06,2017-09-14T05:43:51.327,2324556.90934795
4.97e-06,11.4432031,4.91e-06,5.14e-06,4.9000000000000005e-06,4.72e-06,BTC-BAY,373.0,3640.0,4.75e-06,2017-09-14T05:43:51.327,2324556.90934795
4.96e-06,11.4432031,4.9000000000000005e-06,5.14e-06,4.9000000000000005e-06,4.72e-06,BTC-BAY,373.0,3640.0,4.75e-06,2017-09-14T05:45:14.11,2324556.90934795
4.96e-06,11.4432031,4.91e-06,5.14e-06,4.9000000000000005e-06,4.72e-06,BTC-BAY,373.0,3640.0,4.75e-06,2017-09-14T05:45:45.02,2324556.90934795
4.96e-06,11.4432031,4.9000000000000005e-06,5.14e-06,4.9000000000000005e-06,4.72e-06,BTC-BAY,373.0,3640.0,4.75e-06,2017-09-14T05:46:15.903,2324556.90934795
4.96e-06,11.4432031,4.91e-06,5.14e-06,4.9000000000000005e-06,4.72e-06,BTC-BAY,373.0,3640.0,4.75e-06,2017-09-14T05:46:46.673,2324556.90934795
4.96e-06,11.4432031,4.9000000000000005e-06,5.14e-06,4.9000000000000005e-06,4.72e-06,BTC-BAY,373.0,3640.0,4.75e-06,2017-09-14T05:47:21.4,2324556.90934795
4.96e-06,11.4432031,4.9000000000000005e-06,5.14e-06,4.9000000000000005e-06,4.72e-06,BTC-BAY,373.0,3640.0,4.75e-06,2017-09-14T05:47:21.4,2324556.90934795
4.96e-06,11.4432031,4.91e-06,5.14e-06,4.9000000000000005e-06,4.72e-06,BTC-BAY,373.0,3640.0,4.75e-06,2017-09-14T05:47:57.577,2324556.90934795
4.96e-06,11.4432031,4.9000000000000005e-06,5.14e-06,4.9000000000000005e-06,4.72e-06,BTC-BAY,373.0,3640.0,4.75e-06,2017-09-14T05:48:36.57,2324556.90934795
4.96e-06,11.4432031,4.91e-06,5.14e-06,4.9000000000000005e-06,4.72e-06,BTC-BAY,373.0,3640.0,4.75e-06,2017-09-14T05:49:07.777,2324556.90934795
4.96e-06,11.4432031,4.91e-06,5.14e-06,4.9000000000000005e-06,4.72e-06,BTC-BAY,373.0,3640.0,4.75e-06,2017-09-14T05:49:07.777,2324556.90934795
4.96e-06,11.4432031,4.9000000000000005e-06,5.14e-06,4.9000000000000005e-06,4.72e-06,BTC-BAY,373.0,3640.0,4.75e-06,2017-09-14T05:49:51.253,2324556.90934795
4.96e-06,11.4432031,4.9000000000000005e-06,5.14e-06,4.9000000000000005e-06,4.72e-06,BTC-BAY,373.0,3640.0,4.75e-06,2017-09-14T05:49:51.253,2324556.90934795
4.96e-06,11.4432031,4.91e-06,5.14e-06,4.9000000000000005e-06,4.72e-06,BTC-BAY,373.0,3640.0,4.75e-06,2017-09-14T05:50:30.12,2324556.90934795
