Ask,BaseVolume,Bid,High,Last,Low,Market,OpenBuyOrders,OpenSellOrders,PrevDay,TimeStamp,Volume
0.12865354,1322.92556693,0.12850035,0.13498,0.12850031,0.12450001,BTC-BCC,2860.0,13526.0,0.128451,2017-09-14T05:02:09.267,10248.42745564
0.12865354,1322.92556693,0.12850035,0.13498,0.12850031,0.12450001,BTC-BCC,2860.0,13526.0,0.128451,2017-09-14T05:02:09.267,10248.42745564
0.12865354,1322.92556693,0.12850035,0.13498,0.12850031,0.12450001,BTC-BCC,2860.0,13526.0,0.128451,2017-09-14T05:02:09.267,10248.42745564
0.12865354,1322.92556693,0.12850035,0.13498,0.12850031,0.12450001,BTC-BCC,2860.0,13526.0,0.128451,2017-09-14T05:02:09.267,10248.42745564
0.12865354,1322.92556693,0.12850035,0.13498,0.12850031,0.12450001,BTC-BCC,2860.0,13526.0,0.128451,2017-09-14T05:02:09.267,10248.42745564
0.1288,1305.75155527,0.12850051,0.13498,0.1288,0.12450001,BTC-BCC,2862.0,13519.0,0.12750501,2017-09-14T05:45:39.503,10114.22697458
0.1288,1306.30534069,0.12850057,0.13498,0.1288,0.12450001,BTC-BCC,2868.0,13517.0,0.12750501,2017-09-14T05:46:05.48,10118.52655093
0.1288,1306.86606559,0.12850067,0.13498,0.1288,0.12450001,BTC-BCC,2862.0,13521.0,0.12750501,2017-09-14T05:46:33.64,10122.87885329
0.1288,1306.7348429,0.12850042,0.13498,0.1288,0.12450001,BTC-BCC,2861.0,13521.0,0.12819999,2017-09-14T05:46:55.113,10121.83845127
0.1288,1307.77471329,0.12850049,0.13498,0.1288,0.12450001,BTC-BCC,2862.0,13521.0,0.12819999,2017-09-14T05:47:22.93,10129.91197922
0.1287999,1307.96617806,0.12850058,0.13498,0.1288,0.12450001,BTC-BCC,2865.0,13521.0,0.12819999,2017-09-14T05:47:43.62,10131.39850717
0.1287999,1308.10799392,0.12850065,0.13498,0.1287999,0.12450001,BTC-BCC,2866.0,13522.0,0.12819999,2017-09-14T05:48:06.267,10132.49956309
0.1287999,1309.29064177,0.12850071,0.13498,0.1287999,0.12450001,BTC-BCC,2864.0,13524.0,0.12819999,2017-09-14T05:48:38.083,10141.68161901
0.1287999,1309.31968891,0.12850071,0.13498,0.1287999,0.12450001,BTC-BCC,2864.0,13524.0,0.12819999,2017-09-14T05:49:06.763,10141.90724421
0.12862227,1309.71592791,0.12850068,0.13498,0.12862227,0.12450001,BTC-BCC,2863.0,13525.0,0.12819999,2017-09-14T05:49:30.94,10144.98936192
0.12862227,1309.90698566,0.12850068,0.13498,0.12862227,0.12450001,BTC-BCC,2865.0,13527.0,0.12819999,2017-09-14T05:49:51.787,10146.47477932
0.1288,1311.061899,0.12850068,0.13498,0.1288,0.12450001,BTC-BCC,2866.0,13524.0,0.12819989,2017-09-14T05:50:10.867,10155.44406909
0.1288,1312.5753632,0.12855001,0.13498,0.1288,0.12450001,BTC-BCC,2867.0,13527.0,0.12819989,2017-09-14T05:50:47.39,10167.19456788
0.1288,1312.51526568,0.12850068,0.13498,0.1288,0.12450001,BTC-BCC,2864.0,13529.0,0.128195,2017-09-14T05:51:15.253,10166.72562378
0.128921,1314.74559486,0.1288,0.13498,0.1288,0.12450001,BTC-BCC,2865.0,13525.0,0.128195,2017-09-14T05:51:59.543,10184.03501743
0.128921,1314.74559486,0.1288,0.13498,0.1288,0.12450001,BTC-BCC,2865.0,13525.0,0.128195,2017-09-14T05:51:59.543,10184.03501743
0.128921,1314.54250933,0.1288,0.13498,0.1288,0.12450001,BTC-BCC,2873.0,13524.0,0.12819,2017-09-14T05:52:45.8,10182.44914409
0.128921,1314.54546331,0.1288,0.13498,0.1288,0.12450001,BTC-BCC,2873.0,13522.0,0.12762,2017-09-14T05:53:35.717,10182.47170927
