Ask,BaseVolume,Bid,High,Last,Low,Market,OpenBuyOrders,OpenSellOrders,PrevDay,TimeStamp,Volume
0.00036777,9.84201837,0.00036001,0.00037,0.00036789,0.00033513,BTC-BLITZ,311.0,2203.0,0.0003601,2017-09-14T06:22:48.25,28007.71081419
0.00036772,9.84201837,0.00036001,0.00037,0.00036789,0.00033513,BTC-BLITZ,311.0,2203.0,0.0003601,2017-09-14T06:23:19.723,28007.71081419
0.00036768,9.84201837,0.00036001,0.00037,0.00036789,0.00033513,BTC-BLITZ,311.0,2203.0,0.0003601,2017-09-14T06:23:58.727,28007.71081419
0.00036764,9.84201837,0.00036001,0.00037,0.00036789,0.00033513,BTC-BLITZ,311.0,2203.0,0.0003601,2017-09-14T06:24:25.043,28007.71081419
0.00036764,9.86407677,0.00036001,0.00037,0.00036764,0.00033513,BTC-BLITZ,311.0,2206.0,0.0003601,2017-09-14T06:24:36.653,28067.71081419
0.00036992,9.86407677,0.00036002,0.00037,0.00036764,0.00033513,BTC-BLITZ,311.0,2206.0,0.0003601,2017-09-14T06:25:27.317,28067.71081419
0.00036987,9.86407677,0.00036001,0.00037,0.00036764,0.00033513,BTC-BLITZ,311.0,2206.0,0.0003601,2017-09-14T06:25:52.553,28067.71081419
0.00036983,9.86407677,0.00036006,0.00037,0.00036764,0.00033513,BTC-BLITZ,311.0,2206.0,0.0003601,2017-09-14T06:26:24.87,28067.71081419
0.00036979,9.86407677,0.0003601,0.00037,0.00036764,0.00033513,BTC-BLITZ,311.0,2206.0,0.0003601,2017-09-14T06:26:53.077,28067.71081419
0.00036974,9.86407677,0.00036015,0.00037,0.00036764,0.00033513,BTC-BLITZ,311.0,2206.0,0.0003601,2017-09-14T06:27:25.66,28067.71081419
0.00036968,9.86407677,0.0003602,0.00037,0.00036764,0.00033513,BTC-BLITZ,311.0,2206.0,0.0003601,2017-09-14T06:28:00.523,28067.71081419
0.00036963,9.86407677,0.00036001,0.00037,0.00036764,0.00033513,BTC-BLITZ,311.0,2206.0,0.0003601,2017-09-14T06:28:31.607,28067.71081419
0.00036958,9.86407677,0.00036001,0.00037,0.00036764,0.00033513,BTC-BLITZ,311.0,2206.0,0.0003601,2017-09-14T06:28:55.89,28067.71081419
0.00036953,9.86407677,0.00036001,0.00037,0.00036764,0.00033513,BTC-BLITZ,311.0,2206.0,0.0003601,2017-09-14T06:29:21.94,28067.71081419
0.00036952,9.86407677,0.00036001,0.00037,0.00036764,0.00033513,BTC-BLITZ,311.0,2206.0,0.0003601,2017-09-14T06:29:51.367,28067.71081419
0.00036947,9.86407677,0.00036001,0.00037,0.00036764,0.00033513,BTC-BLITZ,311.0,2206.0,0.0003601,2017-09-14T06:30:18.027,28067.71081419
0.00036942,9.86407677,0.00036001,0.00037,0.00036764,0.00033513,BTC-BLITZ,311.0,2206.0,0.0003601,2017-09-14T06:30:49.543,28067.71081419
0.00036938,9.86407677,0.00036001,0.00037,0.00036764,0.00033513,BTC-BLITZ,311.0,2206.0,0.0003601,2017-09-14T06:31:18.237,28067.71081419
0.00036935,9.86407677,0.00036001,0.00037,0.00036764,0.00033513,BTC-BLITZ,311.0,2206.0,0.0003601,2017-09-14T06:31:37.33,28067.71081419
