Ask,BaseVolume,Bid,High,Last,Low,Market,OpenBuyOrders,OpenSellOrders,PrevDay,TimeStamp,Volume
4.317e-05,39.449152500000004,4.255e-05,4.4e-05,4.318e-05,4.038e-05,BTC-BLK,266.0,3999.0,4.163e-05,2017-09-14T05:43:20.337,927714.82130932
4.317e-05,39.4491525,4.255e-05,4.4e-05,4.318e-05,4.038e-05,BTC-BLK,266.0,3999.0,4.163e-05,2017-09-14T05:43:47.153,927714.82130932
4.317e-05,39.49386218,4.232e-05,4.4e-05,4.317e-05,4.038e-05,BTC-BLK,266.0,4000.0,4.163e-05,2017-09-14T05:44:16.66,928746.06058839
4.331e-05,39.49386218,4.257e-05,4.4e-05,4.317e-05,4.038e-05,BTC-BLK,266.0,4000.0,4.163e-05,2017-09-14T05:44:42.07,928746.06058839
4.331e-05,39.49386218,4.265e-05,4.4e-05,4.317e-05,4.038e-05,BTC-BLK,266.0,4000.0,4.163e-05,2017-09-14T05:45:08.39,928746.06058839
4.324e-05,39.49386218,4.269e-05,4.4e-05,4.317e-05,4.038e-05,BTC-BLK,266.0,4000.0,4.163e-05,2017-09-14T05:45:38.49,928746.06058839
4.320000000000001e-05,39.49386218,4.268e-05,4.4e-05,4.317e-05,4.038e-05,BTC-BLK,266.0,4000.0,4.163e-05,2017-09-14T05:46:06.76,928746.06058839
4.327e-05,39.49386218,4.275e-05,4.4e-05,4.317e-05,4.038e-05,BTC-BLK,266.0,4000.0,4.163e-05,2017-09-14T05:46:33.733,928746.06058839
4.321e-05,39.47950481,4.229e-05,4.4e-05,4.275e-05,4.038e-05,BTC-BLK,267.0,3999.0,4.163e-05,2017-09-14T05:46:58.13,928400.2316418001
4.316e-05,39.47950481,4.245e-05,4.4e-05,4.275e-05,4.038e-05,BTC-BLK,267.0,3999.0,4.163e-05,2017-09-14T05:47:18.553,928400.2316418
4.325e-05,39.47950481,4.252e-05,4.4e-05,4.275e-05,4.038e-05,BTC-BLK,267.0,3999.0,4.163e-05,2017-09-14T05:47:45.84,928400.2316418001
4.322e-05,39.47950481,4.259e-05,4.4e-05,4.275e-05,4.038e-05,BTC-BLK,267.0,3999.0,4.163e-05,2017-09-14T05:48:06.44,928400.2316418
4.319e-05,39.47950481,4.26e-05,4.4e-05,4.275e-05,4.038e-05,BTC-BLK,267.0,3999.0,4.163e-05,2017-09-14T05:48:31.82,928400.2316418001
4.315e-05,39.47950481,4.262e-05,4.4e-05,4.275e-05,4.038e-05,BTC-BLK,267.0,3999.0,4.163e-05,2017-09-14T05:49:06.433,928400.2316418
4.312e-05,39.47950481,4.221e-05,4.4e-05,4.275e-05,4.038e-05,BTC-BLK,267.0,3999.0,4.163e-05,2017-09-14T05:49:31.11,928400.2316418001
4.305e-05,39.47950481,4.232e-05,4.4e-05,4.275e-05,4.038e-05,BTC-BLK,267.0,3999.0,4.163e-05,2017-09-14T05:49:53.63,928400.2316418
4.324e-05,39.47950481,4.2499999999999996e-05,4.4e-05,4.275e-05,4.038e-05,BTC-BLK,267.0,3999.0,4.163e-05,2017-09-14T05:50:21.183,928400.2316418001
4.321e-05,39.47950481,4.258e-05,4.4e-05,4.275e-05,4.038e-05,BTC-BLK,267.0,3999.0,4.163e-05,2017-09-14T05:50:50.703,928400.2316418
4.317e-05,39.540830799999995,4.256e-05,4.4e-05,4.256e-05,4.038e-05,BTC-BLK,268.0,3999.0,4.104e-05,2017-09-14T05:51:28.023,929809.86530647
4.313e-05,39.5408308,4.259e-05,4.4e-05,4.256e-05,4.038e-05,BTC-BLK,268.0,3999.0,4.104e-05,2017-09-14T05:52:00.247,929809.86530647
4.31e-05,39.540830799999995,4.259e-05,4.4e-05,4.256e-05,4.038e-05,BTC-BLK,268.0,3999.0,4.104e-05,2017-09-14T05:52:22.157,929809.86530647
4.302e-05,39.5408308,4.25e-05,4.4e-05,4.256e-05,4.038e-05,BTC-BLK,268.0,3999.0,4.104e-05,2017-09-14T05:53:12.37,929809.86530647
4.3e-05,39.540830799999995,4.2499999999999996e-05,4.4e-05,4.256e-05,4.038e-05,BTC-BLK,268.0,3999.0,4.104e-05,2017-09-14T05:53:40.327,929809.86530647
4.3e-05,39.5408308,4.25e-05,4.4e-05,4.256e-05,4.038e-05,BTC-BLK,268.0,3999.0,4.104e-05,2017-09-14T05:54:17.553,929809.86530647
4.3e-05,39.540830799999995,4.2499999999999996e-05,4.4e-05,4.256e-05,4.038e-05,BTC-BLK,268.0,3999.0,4.104e-05,2017-09-14T05:55:04.28,929809.86530647
4.326e-05,39.5408308,4.25e-05,4.4e-05,4.256e-05,4.038e-05,BTC-BLK,268.0,3999.0,4.104e-05,2017-09-14T05:55:38.38,929809.86530647
4.320000000000001e-05,39.540830799999995,4.252e-05,4.4e-05,4.256e-05,4.038e-05,BTC-BLK,268.0,3999.0,4.104e-05,2017-09-14T05:56:16.01,929809.86530647
4.316e-05,39.5408308,4.253e-05,4.4e-05,4.256e-05,4.038e-05,BTC-BLK,268.0,3999.0,4.104e-05,2017-09-14T05:56:49.203,929809.86530647
4.311e-05,39.540830799999995,4.257e-05,4.4e-05,4.256e-05,4.038e-05,BTC-BLK,268.0,3999.0,4.104e-05,2017-09-14T05:57:29.273,929809.86530647
4.305e-05,39.5408308,4.25e-05,4.4e-05,4.256e-05,4.038e-05,BTC-BLK,268.0,3999.0,4.104e-05,2017-09-14T05:57:56.45,929809.86530647
4.325e-05,39.540830799999995,4.2499999999999996e-05,4.4e-05,4.256e-05,4.038e-05,BTC-BLK,268.0,3999.0,4.104e-05,2017-09-14T05:58:42.537,929809.86530647
4.318e-05,39.5408308,4.254e-05,4.4e-05,4.256e-05,4.038e-05,BTC-BLK,268.0,3999.0,4.104e-05,2017-09-14T05:59:18.68,929809.86530647
4.315e-05,39.540830799999995,4.255e-05,4.4e-05,4.256e-05,4.038e-05,BTC-BLK,268.0,3999.0,4.104e-05,2017-09-14T05:59:44.483,929809.86530647
4.309e-05,39.5408308,4.256e-05,4.4e-05,4.256e-05,4.038e-05,BTC-BLK,268.0,3999.0,4.104e-05,2017-09-14T06:00:29.57,929809.86530647
4.301e-05,39.540830799999995,4.2499999999999996e-05,4.4e-05,4.256e-05,4.038e-05,BTC-BLK,268.0,3999.0,4.104e-05,2017-09-14T06:01:08.183,929809.86530647
4.323e-05,39.5408308,4.251e-05,4.4e-05,4.256e-05,4.038e-05,BTC-BLK,268.0,3999.0,4.104e-05,2017-09-14T06:01:45.52,929809.86530647
4.319e-05,39.540830799999995,4.251e-05,4.4e-05,4.256e-05,4.038e-05,BTC-BLK,268.0,3999.0,4.104e-05,2017-09-14T06:02:12.553,929809.86530647
4.326e-05,39.5408308,4.255e-05,4.4e-05,4.256e-05,4.038e-05,BTC-BLK,268.0,3999.0,4.104e-05,2017-09-14T06:02:40.87,929809.86530647
4.326e-05,39.540830799999995,4.262e-05,4.4e-05,4.256e-05,4.038e-05,BTC-BLK,268.0,3999.0,4.104e-05,2017-09-14T06:03:18.957,929809.86530647
4.305e-05,39.5408308,4.25e-05,4.4e-05,4.256e-05,4.038e-05,BTC-BLK,268.0,3999.0,4.104e-05,2017-09-14T06:04:17.917,929809.86530647
4.3e-05,39.540830799999995,4.251e-05,4.4e-05,4.256e-05,4.038e-05,BTC-BLK,268.0,3999.0,4.104e-05,2017-09-14T06:05:02.94,929809.86530647
4.298e-05,39.5408308,4.25e-05,4.4e-05,4.256e-05,4.038e-05,BTC-BLK,268.0,3999.0,4.104e-05,2017-09-14T06:05:40.337,929809.86530647
4.299e-05,39.540830799999995,4.295e-05,4.4e-05,4.256e-05,4.038e-05,BTC-BLK,268.0,3999.0,4.104e-05,2017-09-14T06:06:11.17,929809.86530647
4.299e-05,39.13111353,4.294e-05,4.4e-05,4.299e-05,4.038e-05,BTC-BLK,266.0,4001.0,4.218e-05,2017-09-14T06:06:39.253,920072.90160199
4.297e-05,39.13905451,4.294e-05,4.4e-05,4.294e-05,4.038e-05,BTC-BLK,272.0,4001.0,4.218e-05,2017-09-14T06:07:05.333,920257.82560199
4.297e-05,39.13905452,4.25e-05,4.4e-05,4.294e-05,4.038e-05,BTC-BLK,273.0,4002.0,4.218e-05,2017-09-14T06:07:35.167,920257.82593261
4.296e-05,39.13905452,4.2499999999999996e-05,4.4e-05,4.294e-05,4.038e-05,BTC-BLK,273.0,4002.0,4.218e-05,2017-09-14T06:08:04.937,920257.82593261
4.295e-05,39.13905452,4.25e-05,4.4e-05,4.294e-05,4.038e-05,BTC-BLK,273.0,4002.0,4.218e-05,2017-09-14T06:08:30.427,920257.82593261
4.296e-05,39.13905452,4.2499999999999996e-05,4.4e-05,4.294e-05,4.038e-05,BTC-BLK,273.0,4002.0,4.218e-05,2017-09-14T06:09:13.34,920257.82593261
4.298e-05,39.13905452,4.25e-05,4.4e-05,4.294e-05,4.038e-05,BTC-BLK,273.0,4002.0,4.218e-05,2017-09-14T06:09:38.937,920257.82593261
4.298e-05,39.13905452,4.2499999999999996e-05,4.4e-05,4.294e-05,4.038e-05,BTC-BLK,273.0,4002.0,4.218e-05,2017-09-14T06:10:00.877,920257.82593261
4.289e-05,39.13905452,4.25e-05,4.4e-05,4.294e-05,4.038e-05,BTC-BLK,273.0,4002.0,4.218e-05,2017-09-14T06:10:30.93,920257.82593261
4.292e-05,39.13905452,4.2499999999999996e-05,4.4e-05,4.294e-05,4.038e-05,BTC-BLK,273.0,4002.0,4.218e-05,2017-09-14T06:10:59.7,920257.82593261
4.297e-05,39.13905452,4.25e-05,4.4e-05,4.294e-05,4.038e-05,BTC-BLK,273.0,4002.0,4.218e-05,2017-09-14T06:11:23.187,920257.82593261
4.293e-05,39.13905452,4.2499999999999996e-05,4.4e-05,4.294e-05,4.038e-05,BTC-BLK,273.0,4002.0,4.218e-05,2017-09-14T06:11:35.953,920257.82593261
4.293e-05,39.13905452,4.25e-05,4.4e-05,4.294e-05,4.038e-05,BTC-BLK,273.0,4002.0,4.218e-05,2017-09-14T06:12:08.13,920257.82593261
