Ask,BaseVolume,Bid,High,Last,Low,Market,OpenBuyOrders,OpenSellOrders,PrevDay,TimeStamp,Volume
3.699e-05,4.38013551,3.657e-05,3.7e-05,3.7e-05,3.301e-05,BTC-BRK,172.0,1740.0,3.4e-05,2017-09-14T06:21:10.817,124784.37141838
3.699e-05,4.38013551,3.657e-05,3.7e-05,3.7e-05,3.301e-05,BTC-BRK,172.0,1740.0,3.4e-05,2017-09-14T06:21:10.817,124784.37141838
3.699e-05,4.38013551,3.657e-05,3.7e-05,3.7e-05,3.301e-05,BTC-BRK,172.0,1740.0,3.4e-05,2017-09-14T06:21:10.817,124784.37141838
3.699e-05,4.38013551,3.657e-05,3.7e-05,3.7e-05,3.301e-05,BTC-BRK,172.0,1740.0,3.4e-05,2017-09-14T06:21:10.817,124784.37141838
3.699e-05,4.38013551,3.657e-05,3.7e-05,3.7e-05,3.301e-05,BTC-BRK,172.0,1740.0,3.4e-05,2017-09-14T06:21:10.817,124784.37141838
3.699e-05,4.38013551,3.657e-05,3.7e-05,3.7e-05,3.301e-05,BTC-BRK,172.0,1740.0,3.4e-05,2017-09-14T06:21:10.817,124784.37141838
3.699e-05,4.38013551,3.657e-05,3.7e-05,3.7e-05,3.301e-05,BTC-BRK,172.0,1740.0,3.4e-05,2017-09-14T06:21:10.817,124784.37141838
3.699e-05,4.38013551,3.657e-05,3.7e-05,3.7e-05,3.301e-05,BTC-BRK,172.0,1740.0,3.4e-05,2017-09-14T06:21:10.817,124784.37141838
3.699e-05,4.38013551,3.657e-05,3.7e-05,3.7e-05,3.301e-05,BTC-BRK,172.0,1740.0,3.4e-05,2017-09-14T06:21:10.817,124784.37141838
3.699e-05,4.38013551,3.657e-05,3.7e-05,3.7e-05,3.301e-05,BTC-BRK,172.0,1740.0,3.4e-05,2017-09-14T06:21:10.817,124784.37141838
3.699e-05,4.38013551,3.657e-05,3.7e-05,3.7e-05,3.301e-05,BTC-BRK,172.0,1740.0,3.4e-05,2017-09-14T06:21:10.817,124784.37141838
3.699e-05,4.38013551,3.657e-05,3.7e-05,3.7e-05,3.301e-05,BTC-BRK,172.0,1740.0,3.4e-05,2017-09-14T06:21:10.817,124784.37141838
3.699e-05,4.38013551,3.657e-05,3.7e-05,3.7e-05,3.301e-05,BTC-BRK,172.0,1740.0,3.4e-05,2017-09-14T06:21:10.817,124784.37141838
3.699e-05,4.38013551,3.657e-05,3.7e-05,3.7e-05,3.301e-05,BTC-BRK,172.0,1740.0,3.4e-05,2017-09-14T06:21:10.817,124784.37141838
3.699e-05,4.38013551,3.657e-05,3.7e-05,3.7e-05,3.301e-05,BTC-BRK,172.0,1740.0,3.4e-05,2017-09-14T06:21:10.817,124784.37141838
3.699e-05,4.38013551,3.657e-05,3.7e-05,3.7e-05,3.301e-05,BTC-BRK,172.0,1740.0,3.4e-05,2017-09-14T06:21:10.817,124784.37141838
3.699e-05,4.38013551,3.657e-05,3.7e-05,3.7e-05,3.301e-05,BTC-BRK,172.0,1740.0,3.4e-05,2017-09-14T06:21:10.817,124784.37141838
3.699e-05,4.38013551,3.657e-05,3.7e-05,3.7e-05,3.301e-05,BTC-BRK,172.0,1740.0,3.4e-05,2017-09-14T06:21:10.817,124784.37141838
3.699e-05,4.38013551,3.657e-05,3.7e-05,3.7e-05,3.301e-05,BTC-BRK,172.0,1740.0,3.4e-05,2017-09-14T06:21:10.817,124784.37141838
3.699e-05,4.38013551,3.657e-05,3.7e-05,3.7e-05,3.301e-05,BTC-BRK,172.0,1740.0,3.4e-05,2017-09-14T06:21:10.817,124784.37141838
3.699e-05,4.38013551,3.657e-05,3.7e-05,3.7e-05,3.301e-05,BTC-BRK,172.0,1740.0,3.4e-05,2017-09-14T06:21:10.817,124784.37141838
3.699e-05,4.38013551,3.657e-05,3.7e-05,3.7e-05,3.301e-05,BTC-BRK,172.0,1740.0,3.4e-05,2017-09-14T06:21:10.817,124784.37141838
3.699e-05,4.38013551,3.657e-05,3.7e-05,3.7e-05,3.301e-05,BTC-BRK,172.0,1740.0,3.4e-05,2017-09-14T06:21:10.817,124784.37141838
3.699e-05,4.38013551,3.657e-05,3.7e-05,3.7e-05,3.301e-05,BTC-BRK,172.0,1740.0,3.4e-05,2017-09-14T06:21:10.817,124784.37141838
3.7e-05,4.38013551,3.657e-05,3.7e-05,3.7e-05,3.301e-05,BTC-BRK,197.0,1741.0,3.4e-05,2017-09-14T06:34:41.103,124784.37141838
3.7e-05,4.43315695,3.657e-05,3.7e-05,3.656e-05,3.301e-05,BTC-BRK,195.0,1740.0,3.4e-05,2017-09-14T06:35:09.183,126234.37141838
3.7e-05,4.43315695,3.657e-05,3.7e-05,3.656e-05,3.301e-05,BTC-BRK,195.0,1740.0,3.4e-05,2017-09-14T06:35:09.183,126234.37141838
