Ask,BaseVolume,Bid,High,Last,Low,Market,OpenBuyOrders,OpenSellOrders,PrevDay,TimeStamp,Volume
8.627e-05,9.93377288,8.501e-05,8.649e-05,8.499999999999999e-05,8.322e-05,BTC-BSD,260.0,1773.0,8.325e-05,2017-09-14T06:22:42.077,118744.22235186
8.625e-05,9.93377288,8.501e-05,8.649e-05,8.499999999999999e-05,8.322e-05,BTC-BSD,260.0,1773.0,8.325e-05,2017-09-14T06:23:21.893,118744.22235186
8.625e-05,9.93377288,8.501e-05,8.649e-05,8.499999999999999e-05,8.322e-05,BTC-BSD,260.0,1773.0,8.325e-05,2017-09-14T06:23:21.893,118744.22235186
8.623e-05,9.93377288,8.501e-05,8.649e-05,8.499999999999999e-05,8.322e-05,BTC-BSD,260.0,1773.0,8.325e-05,2017-09-14T06:24:07.59,118744.22235186
8.621e-05,9.93377288,8.501e-05,8.649e-05,8.499999999999999e-05,8.322e-05,BTC-BSD,260.0,1773.0,8.325e-05,2017-09-14T06:24:41.577,118744.22235186
8.629e-05,9.93377288,8.501e-05,8.649e-05,8.499999999999999e-05,8.322e-05,BTC-BSD,260.0,1773.0,8.325e-05,2017-09-14T06:25:21.3,118744.22235186
8.627e-05,9.93377288,8.501e-05,8.649e-05,8.499999999999999e-05,8.322e-05,BTC-BSD,260.0,1773.0,8.325e-05,2017-09-14T06:25:57.79,118744.22235186
8.627e-05,9.93377288,8.501e-05,8.649e-05,8.499999999999999e-05,8.322e-05,BTC-BSD,260.0,1773.0,8.325e-05,2017-09-14T06:25:57.79,118744.22235186
8.625e-05,9.93377288,8.501e-05,8.649e-05,8.499999999999999e-05,8.322e-05,BTC-BSD,260.0,1773.0,8.325e-05,2017-09-14T06:26:48.953,118744.22235186
8.624e-05,9.93377288,8.501e-05,8.649e-05,8.499999999999999e-05,8.322e-05,BTC-BSD,260.0,1773.0,8.325e-05,2017-09-14T06:27:23.393,118744.22235186
8.623e-05,9.93377288,8.501e-05,8.649e-05,8.499999999999999e-05,8.322e-05,BTC-BSD,260.0,1773.0,8.325e-05,2017-09-14T06:27:29.69,118744.22235186
8.621e-05,9.93377288,8.501e-05,8.649e-05,8.499999999999999e-05,8.322e-05,BTC-BSD,260.0,1773.0,8.325e-05,2017-09-14T06:28:05.853,118744.22235186
