Ask,BaseVolume,Bid,High,Last,Low,Market,OpenBuyOrders,OpenSellOrders,PrevDay,TimeStamp,Volume
2.996e-05,1243.19556856,2.989e-05,3.05e-05,2.996e-05,2.786e-05,BTC-BTS,1086.0,11844.0,2.915e-05,2017-09-14T06:22:34.09,42371117.96363812
2.988e-05,1243.59181108,2.98e-05,3.05e-05,2.988e-05,2.786e-05,BTC-BTS,1080.0,11846.0,2.901e-05,2017-09-14T06:23:19.02,42384322.81665549
2.988e-05,1243.60178608,2.98e-05,3.05e-05,2.988e-05,2.786e-05,BTC-BTS,1080.0,11845.0,2.901e-05,2017-09-14T06:23:40.93,42384656.65199686
2.988e-05,1243.60178608,2.98e-05,3.05e-05,2.988e-05,2.786e-05,BTC-BTS,1080.0,11845.0,2.901e-05,2017-09-14T06:23:40.93,42384656.65199686
2.988e-05,1242.50443451,2.98e-05,3.05e-05,2.98e-05,2.786e-05,BTC-BTS,1078.0,11844.0,2.901e-05,2017-09-14T06:24:48.623,42346754.50742237
2.988e-05,1242.30996236,2.98e-05,3.05e-05,2.977e-05,2.786e-05,BTC-BTS,1076.0,11848.0,2.9e-05,2017-09-14T06:25:24.707,42340005.98046143
2.98e-05,1242.53205318,2.977e-05,3.05e-05,2.98e-05,2.786e-05,BTC-BTS,1079.0,11850.0,2.8999999999999997e-05,2017-09-14T06:25:58.32,42347456.03023128
2.988e-05,1242.70253192,2.977e-05,3.05e-05,2.988e-05,2.786e-05,BTC-BTS,1080.0,11850.0,2.9e-05,2017-09-14T06:26:26.17,42353162.64487426
2.987e-05,1242.7255525,2.977e-05,3.05e-05,2.988e-05,2.786e-05,BTC-BTS,1081.0,11850.0,2.8999999999999997e-05,2017-09-14T06:26:55.61,42353933.07942245
2.988e-05,1242.7255525,2.977e-05,3.05e-05,2.988e-05,2.786e-05,BTC-BTS,1081.0,11850.0,2.9e-05,2017-09-14T06:27:15.8,42353933.07942245
2.988e-05,1242.40452473,2.977e-05,3.05e-05,2.977e-05,2.786e-05,BTC-BTS,1078.0,11853.0,2.901e-05,2017-09-14T06:27:54.837,42342632.94358125
2.994e-05,1242.44586127,2.989e-05,3.05e-05,2.988e-05,2.786e-05,BTC-BTS,1079.0,11849.0,2.901e-05,2017-09-14T06:28:24.37,42344016.36252143
2.992e-05,1242.44586127,2.989e-05,3.05e-05,2.988e-05,2.786e-05,BTC-BTS,1079.0,11849.0,2.901e-05,2017-09-14T06:28:54.013,42344016.36252143
2.989e-05,1242.29975191,2.988e-05,3.05e-05,2.989e-05,2.786e-05,BTC-BTS,1078.0,11847.0,2.914e-05,2017-09-14T06:29:24.597,42338997.57147683
2.989e-05,1242.52630863,2.988e-05,3.05e-05,2.988e-05,2.786e-05,BTC-BTS,1080.0,11850.0,2.914e-05,2017-09-14T06:29:48.803,42346485.05395173
2.988e-05,1242.53191018,2.977e-05,3.05e-05,2.988e-05,2.786e-05,BTC-BTS,1080.0,11850.0,2.914e-05,2017-09-14T06:30:26.057,42346164.74707942
2.988e-05,1242.56908807,2.977e-05,3.05e-05,2.988e-05,2.786e-05,BTC-BTS,1079.0,11854.0,2.914e-05,2017-09-14T06:30:47.543,42347408.98745091
2.989e-05,1243.17075753,2.988e-05,3.05e-05,2.988e-05,2.786e-05,BTC-BTS,1082.0,11852.0,2.927e-05,2017-09-14T06:31:18.127,42367524.84129599
2.987e-05,1243.91101415,2.975e-05,3.05e-05,2.975e-05,2.786e-05,BTC-BTS,1077.0,11854.0,2.927e-05,2017-09-14T06:31:42.94,42392346.82374387
2.986e-05,1242.77691813,2.978e-05,3.05e-05,2.986e-05,2.786e-05,BTC-BTS,1077.0,11854.0,2.905e-05,2017-09-14T06:31:55.46,42353586.99076027
2.982e-05,1242.50908487,2.972e-05,3.05e-05,2.975e-05,2.786e-05,BTC-BTS,1070.0,11853.0,2.936e-05,2017-09-14T06:32:38.277,42344318.01873563
2.982e-05,1244.40507513,2.97e-05,3.05e-05,2.97e-05,2.786e-05,BTC-BTS,1063.0,11848.0,2.936e-05,2017-09-14T06:33:18.22,42407925.54804777
2.975e-05,1242.20411764,2.97e-05,3.05e-05,2.975e-05,2.786e-05,BTC-BTS,1063.0,11851.0,2.94e-05,2017-09-14T06:33:46.13,42332861.88731826
2.975e-05,1240.28590211,2.97e-05,3.05e-05,2.97e-05,2.786e-05,BTC-BTS,1065.0,11851.0,2.945e-05,2017-09-14T06:34:24.977,42267544.57983918
2.975e-05,1239.03799309,2.97e-05,3.05e-05,2.971e-05,2.786e-05,BTC-BTS,1065.0,11852.0,2.944e-05,2017-09-14T06:34:52.667,42225002.57997799
2.969e-05,1241.22804891,2.966e-05,3.05e-05,2.969e-05,2.786e-05,BTC-BTS,1059.0,11852.0,2.936e-05,2017-09-14T06:35:22.327,42298631.13398985
2.966e-05,1240.74855573,2.962e-05,3.05e-05,2.962e-05,2.786e-05,BTC-BTS,1052.0,11856.0,2.942e-05,2017-09-14T06:35:51.61,42282217.74053661
2.97e-05,1240.7588034000005,2.966e-05,3.05e-05,2.966e-05,2.786e-05,BTC-BTS,1054.0,11860.0,2.942e-05,2017-09-14T06:36:16.973,42282504.46581176
2.97e-05,1241.9610872,2.966e-05,3.05e-05,2.966e-05,2.786e-05,BTC-BTS,1058.0,11861.0,2.943e-05,2017-09-14T06:36:47.4,42322905.83585305
2.97e-05,1241.9610872,2.962e-05,3.05e-05,2.966e-05,2.786e-05,BTC-BTS,1058.0,11861.0,2.943e-05,2017-09-14T06:37:01.417,42322905.83585305
2.97e-05,1240.88655153,2.962e-05,3.05e-05,2.97e-05,2.786e-05,BTC-BTS,1058.0,11868.0,2.943e-05,2017-09-14T06:37:35.577,42286388.03488861
2.962e-05,1240.2456254,2.9600000000000005e-05,3.05e-05,2.9600000000000005e-05,2.786e-05,BTC-BTS,1055.0,11871.0,2.942e-05,2017-09-14T06:38:26.083,42264451.31189706
2.962e-05,1240.23357292,2.9600000000000005e-05,3.05e-05,2.962e-05,2.786e-05,BTC-BTS,1055.0,11871.0,2.942e-05,2017-09-14T06:38:53.397,42263972.58374468
2.97e-05,1240.49396993,2.962e-05,3.05e-05,2.962e-05,2.786e-05,BTC-BTS,1058.0,11869.0,2.943e-05,2017-09-14T06:39:20.59,42272678.77633823
2.97e-05,1240.50077875,2.963e-05,3.05e-05,2.963e-05,2.786e-05,BTC-BTS,1059.0,11868.0,2.947e-05,2017-09-14T06:39:42.683,42272903.33017681
2.964e-05,1239.53018817,2.963e-05,3.05e-05,2.964e-05,2.786e-05,BTC-BTS,1058.0,11872.0,2.964e-05,2017-09-14T06:40:08.157,42240016.50840462
2.964e-05,1238.68418676,2.962e-05,3.05e-05,2.962e-05,2.786e-05,BTC-BTS,1059.0,11873.0,2.9600000000000005e-05,2017-09-14T06:40:35.347,42211373.347985
2.963e-05,1238.40640596,2.962e-05,3.05e-05,2.962e-05,2.786e-05,BTC-BTS,1061.0,11874.0,2.961e-05,2017-09-14T06:41:10.99,42201946.48799353
2.962e-05,1237.36269401,2.9600000000000005e-05,3.05e-05,2.962e-05,2.786e-05,BTC-BTS,1061.0,11880.0,2.955e-05,2017-09-14T06:41:35.76,42166634.72470188
2.962e-05,1237.22180878,2.961e-05,3.05e-05,2.962e-05,2.786e-05,BTC-BTS,1061.0,11884.0,2.962e-05,2017-09-14T06:42:05.747,42161875.98322859
2.962e-05,1236.52219423,2.961e-05,3.05e-05,2.962e-05,2.786e-05,BTC-BTS,1062.0,11885.0,2.964e-05,2017-09-14T06:42:26.843,42138265.73464226
2.963e-05,1232.90918246,2.961e-05,3.05e-05,2.963e-05,2.786e-05,BTC-BTS,1067.0,11873.0,2.964e-05,2017-09-14T06:43:57.21,42016370.66790023
2.963e-05,1232.73904922,2.961e-05,3.05e-05,2.963e-05,2.786e-05,BTC-BTS,1067.0,11874.0,2.965e-05,2017-09-14T06:44:11.027,42010634.50519423
2.963e-05,1232.82270138,2.962e-05,3.05e-05,2.963e-05,2.786e-05,BTC-BTS,1068.0,11873.0,2.9600000000000005e-05,2017-09-14T06:44:51.86,42013457.6019598
2.963e-05,1231.71637858,2.962e-05,3.05e-05,2.962e-05,2.786e-05,BTC-BTS,1065.0,11875.0,2.961e-05,2017-09-14T06:45:27.44,41976111.32996615
2.97e-05,1231.71754809,2.962e-05,3.05e-05,2.963e-05,2.786e-05,BTC-BTS,1065.0,11875.0,2.961e-05,2017-09-14T06:45:43.253,41976150.80076225
2.982e-05,1230.58127029,2.963e-05,3.05e-05,2.963e-05,2.786e-05,BTC-BTS,1066.0,11872.0,2.965e-05,2017-09-14T06:46:13.413,41937806.52621618
2.995e-05,1229.1000758,2.965e-05,3.05e-05,2.995e-05,2.786e-05,BTC-BTS,1069.0,11872.0,2.964e-05,2017-09-14T06:46:54.497,41887618.92567282
2.982e-05,1228.80444729,2.965e-05,3.05e-05,2.983e-05,2.786e-05,BTC-BTS,1068.0,11877.0,2.961e-05,2017-09-14T06:47:24.64,41877533.15135165
2.982e-05,1228.44611469,2.965e-05,3.05e-05,2.982e-05,2.786e-05,BTC-BTS,1068.0,11878.0,2.961e-05,2017-09-14T06:47:57.19,41865407.82367271
2.982e-05,1228.44611469,2.965e-05,3.05e-05,2.982e-05,2.786e-05,BTC-BTS,1068.0,11878.0,2.961e-05,2017-09-14T06:47:57.19,41865407.82367271
2.982e-05,1228.30700429,2.965e-05,3.05e-05,2.965e-05,2.786e-05,BTC-BTS,1069.0,11877.0,2.95e-05,2017-09-14T06:48:50.757,41860638.55754719
2.982e-05,1227.67139246,2.965e-05,3.05e-05,2.965e-05,2.786e-05,BTC-BTS,1069.0,11877.0,2.95e-05,2017-09-14T06:49:24.12,41839072.22697883
2.982e-05,1227.09956562,2.965e-05,3.05e-05,2.965e-05,2.786e-05,BTC-BTS,1069.0,11878.0,2.95e-05,2017-09-14T06:49:43.2,41819669.57788006
2.982e-05,1227.08969613,2.966e-05,3.05e-05,2.965e-05,2.786e-05,BTC-BTS,1070.0,11879.0,2.944e-05,2017-09-14T06:50:15.28,41819329.48543331
2.981e-05,1227.85699178,2.965e-05,3.05e-05,2.965e-05,2.786e-05,BTC-BTS,1071.0,11881.0,2.943e-05,2017-09-14T06:50:51.88,41845115.8993604
2.981e-05,1227.85699178,2.965e-05,3.05e-05,2.965e-05,2.786e-05,BTC-BTS,1071.0,11881.0,2.943e-05,2017-09-14T06:51:18.693,41845115.8993604
2.963e-05,1227.72912564,2.962e-05,3.05e-05,2.963e-05,2.786e-05,BTC-BTS,1067.0,11882.0,2.942e-05,2017-09-14T06:51:43.773,41840124.34062292
2.982e-05,1227.94389947,2.963e-05,3.05e-05,2.963e-05,2.786e-05,BTC-BTS,1066.0,11879.0,2.943e-05,2017-09-14T06:52:09.357,41847350.52147897
2.982e-05,1228.09134534,2.965e-05,3.05e-05,2.963e-05,2.786e-05,BTC-BTS,1067.0,11878.0,2.961e-05,2017-09-14T06:52:42.5,41852306.99707551
2.982e-05,1225.86748108,2.964e-05,3.05e-05,2.964e-05,2.786e-05,BTC-BTS,1066.0,11883.0,2.944e-05,2017-09-14T06:53:09.313,41777102.11354053
2.982e-05,1225.9662978,2.969e-05,3.05e-05,2.969e-05,2.786e-05,BTC-BTS,1069.0,11882.0,2.9600000000000005e-05,2017-09-14T06:53:33.393,41780409.8623136
2.969e-05,1226.49097349,2.964e-05,3.05e-05,2.969e-05,2.786e-05,BTC-BTS,1069.0,11884.0,2.959e-05,2017-09-14T06:53:44.863,41798066.32349666
2.969e-05,1226.49315338,2.964e-05,3.05e-05,2.969e-05,2.786e-05,BTC-BTS,1069.0,11884.0,2.959e-05,2017-09-14T06:54:24.633,41798138.60671573
2.965e-05,1226.09072149,2.964e-05,3.05e-05,2.965e-05,2.786e-05,BTC-BTS,1068.0,11885.0,2.959e-05,2017-09-14T06:54:54.84,41784536.37471246
2.981e-05,1227.63531807,2.965e-05,3.05e-05,2.969e-05,2.786e-05,BTC-BTS,1070.0,11882.0,2.9600000000000005e-05,2017-09-14T06:55:30.563,41836510.82757209
2.981e-05,1226.05522043,2.969e-05,3.05e-05,2.969e-05,2.786e-05,BTC-BTS,1075.0,11885.0,2.965e-05,2017-09-14T06:55:55.783,41783171.71544468
2.981e-05,1226.05522043,2.969e-05,3.05e-05,2.969e-05,2.786e-05,BTC-BTS,1075.0,11885.0,2.965e-05,2017-09-14T06:55:55.783,41783171.71544468
2.981e-05,1226.0059612,2.969e-05,3.05e-05,2.969e-05,2.786e-05,BTC-BTS,1075.0,11885.0,2.965e-05,2017-09-14T06:56:35.46,41781505.59092608
2.981e-05,1226.23041468,2.969e-05,3.05e-05,2.969e-05,2.786e-05,BTC-BTS,1077.0,11887.0,2.961e-05,2017-09-14T06:57:22.027,41789056.84434621
2.981e-05,1226.84080205,2.97e-05,3.05e-05,2.981e-05,2.786e-05,BTC-BTS,1077.0,11888.0,2.965e-05,2017-09-14T06:58:02.28,41809555.39086046
2.982e-05,1226.49104618,2.981e-05,3.05e-05,2.981e-05,2.786e-05,BTC-BTS,1079.0,11887.0,2.962e-05,2017-09-14T06:58:31.797,41797688.08637305
