Ask,BaseVolume,Bid,High,Last,Low,Market,OpenBuyOrders,OpenSellOrders,PrevDay,TimeStamp,Volume
2.68e-06,82.54333494,2.66e-06,2.83e-06,2.67e-06,2.6e-06,BTC-BURST,638.0,5205.0,2.82e-06,2017-09-14T06:22:42.873,30449669.04097663
2.69e-06,82.54333494,2.65e-06,2.83e-06,2.67e-06,2.6e-06,BTC-BURST,638.0,5205.0,2.82e-06,2017-09-14T06:23:22.113,30449669.04097663
2.67e-06,82.54333494,2.65e-06,2.83e-06,2.67e-06,2.6e-06,BTC-BURST,638.0,5205.0,2.82e-06,2017-09-14T06:23:57.9,30449669.04097663
2.67e-06,82.57095186,2.65e-06,2.83e-06,2.67e-06,2.6e-06,BTC-BURST,710.0,5207.0,2.82e-06,2017-09-14T06:24:02.603,30460100.57260399
2.67e-06,82.57095186,2.65e-06,2.83e-06,2.67e-06,2.6e-06,BTC-BURST,710.0,5207.0,2.82e-06,2017-09-14T06:24:02.603,30460100.57260399
2.67e-06,82.57095186,2.65e-06,2.83e-06,2.67e-06,2.6e-06,BTC-BURST,710.0,5207.0,2.82e-06,2017-09-14T06:24:02.603,30460100.57260399
2.67e-06,82.57095186,2.65e-06,2.83e-06,2.67e-06,2.6e-06,BTC-BURST,710.0,5207.0,2.82e-06,2017-09-14T06:24:02.603,30460100.57260399
2.67e-06,82.57095186,2.65e-06,2.83e-06,2.67e-06,2.6e-06,BTC-BURST,710.0,5207.0,2.82e-06,2017-09-14T06:24:02.603,30460100.57260399
2.67e-06,82.57095186,2.65e-06,2.83e-06,2.67e-06,2.6e-06,BTC-BURST,710.0,5207.0,2.82e-06,2017-09-14T06:24:02.603,30460100.57260399
2.67e-06,82.57095186,2.65e-06,2.83e-06,2.67e-06,2.6e-06,BTC-BURST,710.0,5207.0,2.82e-06,2017-09-14T06:24:02.603,30460100.57260399
2.67e-06,82.57095186,2.65e-06,2.83e-06,2.67e-06,2.6e-06,BTC-BURST,710.0,5207.0,2.82e-06,2017-09-14T06:24:02.603,30460100.57260399
2.67e-06,82.6174908,2.66e-06,2.83e-06,2.66e-06,2.6e-06,BTC-BURST,716.0,5207.0,2.83e-06,2017-09-14T06:28:25.95,30477908.36056622
2.66e-06,82.72561894,2.65e-06,2.83e-06,2.66e-06,2.6e-06,BTC-BURST,715.0,5208.0,2.83e-06,2017-09-14T06:28:47.593,30518558.04075399
2.67e-06,82.81967519999998,2.65e-06,2.83e-06,2.67e-06,2.6e-06,BTC-BURST,715.0,5205.0,2.83e-06,2017-09-14T06:29:17.457,30553809.85879071
2.69e-06,82.91737395,2.66e-06,2.83e-06,2.67e-06,2.6e-06,BTC-BURST,716.0,5205.0,2.83e-06,2017-09-14T06:29:32.41,30590401.1535188
2.69e-06,82.91737395,2.67e-06,2.83e-06,2.67e-06,2.6e-06,BTC-BURST,716.0,5205.0,2.83e-06,2017-09-14T06:29:59.773,30590401.1535188
2.7000000000000004e-06,82.91584246,2.67e-06,2.83e-06,2.69e-06,2.6e-06,BTC-BURST,651.0,5204.0,2.82e-06,2017-09-14T06:30:46.78,30590556.5422903
2.69e-06,82.93236812,2.67e-06,2.83e-06,2.7000000000000004e-06,2.6e-06,BTC-BURST,643.0,5203.0,2.82e-06,2017-09-14T06:31:14.703,30596677.16493075
2.71e-06,82.96097956,2.67e-06,2.83e-06,2.69e-06,2.6e-06,BTC-BURST,644.0,5202.0,2.82e-06,2017-09-14T06:31:41.27,30607313.3907225
2.7000000000000004e-06,82.96097956,2.68e-06,2.83e-06,2.69e-06,2.6e-06,BTC-BURST,644.0,5202.0,2.82e-06,2017-09-14T06:31:51.71,30607313.3907225
