Ask,BaseVolume,Bid,High,Last,Low,Market,OpenBuyOrders,OpenSellOrders,PrevDay,TimeStamp,Volume
8.36e-06,528.49126852,8.09e-06,1.221e-05,8.22e-06,7.000000000000003e-06,BTC-CANN,663.0,4642.0,7.12e-06,2017-09-14T06:22:48.077,54375793.25763691
8.24e-06,528.3612489,8.1e-06,1.221e-05,8.1e-06,7.000000000000003e-06,BTC-CANN,660.0,4642.0,7.11e-06,2017-09-14T06:23:24.77,54357454.27160417
8.27e-06,528.43282466,8.09e-06,1.221e-05,8.1e-06,7.000000000000003e-06,BTC-CANN,659.0,4643.0,7.11e-06,2017-09-14T06:24:00.947,54366290.78590355
8.24e-06,528.43768466,8.1e-06,1.221e-05,8.1e-06,7.000000000000003e-06,BTC-CANN,662.0,4641.0,7.11e-06,2017-09-14T06:24:28.793,54366890.78590355
8.22e-06,528.45235803,8.2e-06,1.221e-05,8.24e-06,7.000000000000003e-06,BTC-CANN,663.0,4643.0,7.11e-06,2017-09-14T06:24:59.69,54368671.53553617
8.34e-06,528.45235803,8.21e-06,1.221e-05,8.24e-06,7.000000000000003e-06,BTC-CANN,663.0,4643.0,7.11e-06,2017-09-14T06:25:31.66,54368671.53553617
8.35e-06,528.50453361,8.21e-06,1.221e-05,8.33e-06,7.000000000000003e-06,BTC-CANN,663.0,4643.0,7.11e-06,2017-09-14T06:25:59.93,54374935.11142506
8.31e-06,528.47902016,8.21e-06,1.221e-05,8.34e-06,7.000000000000003e-06,BTC-CANN,665.0,4643.0,7.21e-06,2017-09-14T06:26:26.42,54371359.09057996
8.25e-06,529.26144357,8.02e-06,1.221e-05,8.26e-06,7.000000000000003e-06,BTC-CANN,654.0,4644.0,7.21e-06,2017-09-14T06:26:57,54468077.02932161
8.2e-06,529.26144357,8.02e-06,1.221e-05,8.26e-06,7.000000000000003e-06,BTC-CANN,654.0,4644.0,7.21e-06,2017-09-14T06:27:26.317,54468077.02932161
8.13e-06,529.26144357,8.01e-06,1.221e-05,8.26e-06,7.000000000000003e-06,BTC-CANN,654.0,4644.0,7.21e-06,2017-09-14T06:27:52.29,54468077.02932161
8.11e-06,529.26712757,8.02e-06,1.221e-05,8.12e-06,7.000000000000003e-06,BTC-CANN,652.0,4643.0,7.21e-06,2017-09-14T06:28:29.95,54468777.02932161
8.36e-06,529.26793857,8.04e-06,1.221e-05,8.11e-06,7.000000000000003e-06,BTC-CANN,653.0,4646.0,7.21e-06,2017-09-14T06:28:58.983,54468877.02932161
8.34e-06,529.26793857,8.07e-06,1.221e-05,8.11e-06,7.000000000000003e-06,BTC-CANN,653.0,4646.0,7.21e-06,2017-09-14T06:29:28.363,54468877.02932161
8.31e-06,529.26793857,8.15e-06,1.221e-05,8.11e-06,7.000000000000003e-06,BTC-CANN,653.0,4646.0,7.21e-06,2017-09-14T06:29:50.163,54468877.02932161
8.26e-06,529.26793857,8.15e-06,1.221e-05,8.11e-06,7.000000000000003e-06,BTC-CANN,653.0,4646.0,7.21e-06,2017-09-14T06:30:25.137,54468877.02932161
8.23e-06,529.26793857,8.15e-06,1.221e-05,8.11e-06,7.000000000000003e-06,BTC-CANN,653.0,4646.0,7.21e-06,2017-09-14T06:30:44.59,54468877.02932161
8.36e-06,529.26793857,8.15e-06,1.221e-05,8.11e-06,7.000000000000003e-06,BTC-CANN,653.0,4646.0,7.21e-06,2017-09-14T06:31:17.89,54468877.02932161
8.32e-06,529.26793857,8.16e-06,1.221e-05,8.11e-06,7.000000000000003e-06,BTC-CANN,653.0,4646.0,7.21e-06,2017-09-14T06:31:43.723,54468877.02932161
8.27e-06,529.26793857,8.17e-06,1.221e-05,8.11e-06,7.000000000000003e-06,BTC-CANN,653.0,4646.0,7.21e-06,2017-09-14T06:32:07.867,54468877.02932161
8.24e-06,529.26106544,8.15e-06,1.221e-05,8.15e-06,7.000000000000003e-06,BTC-CANN,659.0,4647.0,7.11e-06,2017-09-14T06:32:39.793,54467649.86891204
8.24e-06,529.46923697,8.17e-06,1.221e-05,8.24e-06,7.000000000000003e-06,BTC-CANN,658.0,4646.0,7.11e-06,2017-09-14T06:33:13.767,54493179.13720472
8.24e-06,529.46923697,8.17e-06,1.221e-05,8.24e-06,7.000000000000003e-06,BTC-CANN,658.0,4646.0,7.11e-06,2017-09-14T06:33:13.767,54493179.13720472
