Ask,BaseVolume,Bid,High,Last,Low,Market,OpenBuyOrders,OpenSellOrders,PrevDay,TimeStamp,Volume
1.27e-06,14.858503699999998,1.26e-06,1.29e-06,1.27e-06,1.2e-06,BTC-COVAL,324.0,3951.0,1.25e-06,2017-09-14T04:47:29.543,11930672.22883093
1.27e-06,14.858503699999998,1.26e-06,1.29e-06,1.27e-06,1.2e-06,BTC-COVAL,324.0,3951.0,1.25e-06,2017-09-14T04:47:29.543,11930672.22883093
1.27e-06,14.858503699999998,1.26e-06,1.29e-06,1.27e-06,1.2e-06,BTC-COVAL,324.0,3951.0,1.25e-06,2017-09-14T04:47:29.543,11930672.22883093
1.27e-06,14.858503699999998,1.26e-06,1.29e-06,1.27e-06,1.2e-06,BTC-COVAL,324.0,3951.0,1.25e-06,2017-09-14T04:47:29.543,11930672.22883093
1.27e-06,14.858503699999998,1.26e-06,1.29e-06,1.27e-06,1.2e-06,BTC-COVAL,324.0,3951.0,1.25e-06,2017-09-14T04:47:29.543,11930672.22883093
1.27e-06,14.858503699999998,1.26e-06,1.29e-06,1.27e-06,1.2e-06,BTC-COVAL,324.0,3951.0,1.25e-06,2017-09-14T04:47:29.543,11930672.22883093
1.27e-06,14.858503699999998,1.26e-06,1.29e-06,1.27e-06,1.2e-06,BTC-COVAL,324.0,3951.0,1.25e-06,2017-09-14T04:47:29.543,11930672.22883093
1.27e-06,14.858503699999998,1.26e-06,1.29e-06,1.27e-06,1.2e-06,BTC-COVAL,324.0,3951.0,1.25e-06,2017-09-14T04:47:29.543,11930672.22883093
1.27e-06,14.858503699999998,1.26e-06,1.29e-06,1.27e-06,1.2e-06,BTC-COVAL,324.0,3951.0,1.25e-06,2017-09-14T04:47:29.543,11930672.22883093
1.27e-06,14.858503699999998,1.26e-06,1.29e-06,1.27e-06,1.2e-06,BTC-COVAL,324.0,3951.0,1.25e-06,2017-09-14T04:47:29.543,11930672.22883093
1.27e-06,14.34383321,1.26e-06,1.29e-06,1.27e-06,1.2e-06,BTC-COVAL,322.0,3952.0,1.26e-06,2017-09-14T05:47:33.073,11519779.68181461
