Ask,BaseVolume,Bid,High,Last,Low,Market,OpenBuyOrders,OpenSellOrders,PrevDay,TimeStamp,Volume
3.78e-06,456.17459744,3.77e-06,3.93e-06,3.78e-06,3.66e-06,BTC-DGB,1835.0,19927.0,3.79e-06,2017-09-14T05:43:25.48,120837357.49529389
3.79e-06,456.19679792,3.77e-06,3.93e-06,3.78e-06,3.66e-06,BTC-DGB,1835.0,19924.0,3.78e-06,2017-09-14T05:43:49.5,120843228.8432805
3.79e-06,456.07830362,3.77e-06,3.93e-06,3.79e-06,3.66e-06,BTC-DGB,1833.0,19925.0,3.78e-06,2017-09-14T05:44:18.177,120811869.13101232
3.79e-06,456.42382122,3.78e-06,3.93e-06,3.79e-06,3.66e-06,BTC-DGB,1836.0,19925.0,3.78e-06,2017-09-14T05:44:40.4,120903036.1045806
3.79e-06,456.43044102,3.78e-06,3.93e-06,3.78e-06,3.66e-06,BTC-DGB,1838.0,19928.0,3.79e-06,2017-09-14T05:45:11.25,120904788.28585042
3.81e-06,457.27863045,3.8e-06,3.93e-06,3.8e-06,3.66e-06,BTC-DGB,1839.0,19917.0,3.78e-06,2017-09-14T05:45:42.363,121128076.33915932
3.81e-06,456.77877719,3.8e-06,3.93e-06,3.81e-06,3.66e-06,BTC-DGB,1840.0,19919.0,3.78e-06,2017-09-14T05:46:06.54,120995810.8802554
3.81e-06,456.79455046,3.8e-06,3.93e-06,3.81e-06,3.66e-06,BTC-DGB,1840.0,19919.0,3.78e-06,2017-09-14T05:46:35.733,120999946.2311367
3.81e-06,456.17026065,3.8e-06,3.93e-06,3.81e-06,3.66e-06,BTC-DGB,1843.0,19919.0,3.78e-06,2017-09-14T05:47:01.753,120834744.77518272
3.81e-06,456.08894645,3.8e-06,3.93e-06,3.81e-06,3.66e-06,BTC-DGB,1829.0,19920.0,3.77e-06,2017-09-14T05:47:27.883,120812901.82334442
3.81e-06,456.79678039999993,3.8e-06,3.93e-06,3.81e-06,3.66e-06,BTC-DGB,1821.0,19918.0,3.77e-06,2017-09-14T05:47:47.09,120998679.84863085
3.82e-06,457.45482117,3.8e-06,3.93e-06,3.82e-06,3.66e-06,BTC-DGB,1815.0,19912.0,3.75e-06,2017-09-14T05:48:13.33,121170450.19669811
3.82e-06,457.45482117,3.8e-06,3.93e-06,3.82e-06,3.66e-06,BTC-DGB,1815.0,19912.0,3.75e-06,2017-09-14T05:48:13.33,121170450.19669811
3.82e-06,457.45482117,3.8e-06,3.93e-06,3.82e-06,3.66e-06,BTC-DGB,1815.0,19912.0,3.75e-06,2017-09-14T05:48:13.33,121170450.19669811
3.82e-06,457.38600702,3.8e-06,3.93e-06,3.82e-06,3.66e-06,BTC-DGB,1813.0,19918.0,3.75e-06,2017-09-14T05:49:34.703,121152031.44237366
3.82e-06,457.78900331,3.8e-06,3.93e-06,3.82e-06,3.66e-06,BTC-DGB,1814.0,19916.0,3.75e-06,2017-09-14T05:49:49.863,121256978.12452535
3.81e-06,458.05687441,3.8e-06,3.93e-06,3.8e-06,3.66e-06,BTC-DGB,1814.0,19918.0,3.76e-06,2017-09-14T05:50:11.273,121327238.63307068
3.81e-06,457.85299771,3.8e-06,3.93e-06,3.8e-06,3.66e-06,BTC-DGB,1815.0,19919.0,3.75e-06,2017-09-14T05:50:34.903,121272789.08577213
3.81e-06,458.12255352,3.8e-06,3.93e-06,3.81e-06,3.66e-06,BTC-DGB,1815.0,19919.0,3.74e-06,2017-09-14T05:51:28.553,121342251.61009204
3.82e-06,458.59070788,3.8e-06,3.93e-06,3.82e-06,3.66e-06,BTC-DGB,1817.0,19920.0,3.74e-06,2017-09-14T05:51:54.527,121465022.11648664
3.82e-06,458.89889406,3.8e-06,3.93e-06,3.82e-06,3.66e-06,BTC-DGB,1817.0,19913.0,3.73e-06,2017-09-14T05:52:32.487,121543368.36983392
3.83e-06,459.08303909,3.82e-06,3.93e-06,3.82e-06,3.66e-06,BTC-DGB,1829.0,19896.0,3.72e-06,2017-09-14T05:53:14.323,121591561.34830134
3.83e-06,459.70603955,3.82e-06,3.93e-06,3.83e-06,3.66e-06,BTC-DGB,1829.0,19887.0,3.73e-06,2017-09-14T05:53:49.767,121754282.20525493
3.83e-06,457.6319929,3.82e-06,3.93e-06,3.83e-06,3.66e-06,BTC-DGB,1811.0,19888.0,3.7000000000000006e-06,2017-09-14T05:54:15.1,121194660.96181788
3.83e-06,457.71856438,3.82e-06,3.93e-06,3.82e-06,3.66e-06,BTC-DGB,1823.0,19882.0,3.72e-06,2017-09-14T05:55:10.077,121216140.04430136
3.82e-06,458.20382539,3.8e-06,3.93e-06,3.82e-06,3.66e-06,BTC-DGB,1828.0,19884.0,3.72e-06,2017-09-14T05:55:43.41,121343078.88669696
3.82e-06,457.99828305,3.8e-06,3.93e-06,3.8e-06,3.66e-06,BTC-DGB,1830.0,19899.0,3.73e-06,2017-09-14T05:56:15.433,121287211.49109907
3.83e-06,457.98269198,3.8e-06,3.93e-06,3.83e-06,3.66e-06,BTC-DGB,1831.0,19897.0,3.73e-06,2017-09-14T05:56:29.873,121282397.7218888
3.82e-06,458.13919808,3.8e-06,3.93e-06,3.8e-06,3.66e-06,BTC-DGB,1834.0,19900.0,3.73e-06,2017-09-14T05:57:35.523,121323138.09118351
