Ask,BaseVolume,Bid,High,Last,Low,Market,OpenBuyOrders,OpenSellOrders,PrevDay,TimeStamp,Volume
3.6e-07,70.76847545,3.5e-07,3.6e-07,3.6e-07,3.4e-07,BTC-DOGE,945.0,10532.0,3.6e-07,2017-09-14T06:23:10.567,200673870.46629563
3.6e-07,71.30503068,3.5e-07,3.6e-07,3.6e-07,3.4e-07,BTC-DOGE,945.0,10532.0,3.5e-07,2017-09-14T06:24:04.197,202163669.29211983
3.6e-07,71.30503068,3.5e-07,3.6e-07,3.6e-07,3.4e-07,BTC-DOGE,945.0,10532.0,3.5e-07,2017-09-14T06:24:04.197,202163669.29211983
3.6e-07,71.30503068,3.5e-07,3.6e-07,3.6e-07,3.4e-07,BTC-DOGE,945.0,10532.0,3.5e-07,2017-09-14T06:24:04.197,202163669.29211983
3.6e-07,71.30503068,3.5e-07,3.6e-07,3.6e-07,3.4e-07,BTC-DOGE,945.0,10532.0,3.5e-07,2017-09-14T06:24:04.197,202163669.29211983
3.6e-07,71.30503068,3.5e-07,3.6e-07,3.6e-07,3.4e-07,BTC-DOGE,945.0,10532.0,3.5e-07,2017-09-14T06:24:04.197,202163669.29211983
3.6e-07,71.15569589,3.5e-07,3.6e-07,3.6e-07,3.4e-07,BTC-DOGE,948.0,10534.0,3.6e-07,2017-09-14T06:27:03.017,201752351.93040332
3.6e-07,71.15569589,3.5e-07,3.6e-07,3.6e-07,3.4e-07,BTC-DOGE,948.0,10534.0,3.6e-07,2017-09-14T06:27:03.017,201752351.9304033
3.6e-07,71.15569589,3.5e-07,3.6e-07,3.6e-07,3.4e-07,BTC-DOGE,948.0,10534.0,3.6e-07,2017-09-14T06:27:02.89,201752351.93040332
3.6e-07,71.15569589,3.5e-07,3.6e-07,3.6e-07,3.4e-07,BTC-DOGE,948.0,10534.0,3.6e-07,2017-09-14T06:27:03.017,201752351.9304033
3.6e-07,71.15569589,3.5e-07,3.6e-07,3.6e-07,3.4e-07,BTC-DOGE,948.0,10534.0,3.6e-07,2017-09-14T06:27:03.017,201752351.93040332
3.6e-07,71.15569589,3.5e-07,3.6e-07,3.6e-07,3.4e-07,BTC-DOGE,948.0,10534.0,3.6e-07,2017-09-14T06:27:03.017,201752351.9304033
3.6e-07,71.15569589,3.5e-07,3.6e-07,3.6e-07,3.4e-07,BTC-DOGE,948.0,10534.0,3.6e-07,2017-09-14T06:27:03.017,201752351.93040332
3.6e-07,71.15569589,3.5e-07,3.6e-07,3.6e-07,3.4e-07,BTC-DOGE,948.0,10534.0,3.6e-07,2017-09-14T06:27:03.017,201752351.9304033
3.6e-07,71.15569589,3.5e-07,3.6e-07,3.6e-07,3.4e-07,BTC-DOGE,948.0,10534.0,3.6e-07,2017-09-14T06:27:03.017,201752351.93040332
3.6e-07,71.22851334,3.5e-07,3.6e-07,3.6e-07,3.4e-07,BTC-DOGE,946.0,10533.0,3.6e-07,2017-09-14T06:31:03.937,201953806.13699868
3.6e-07,71.25921113,3.5e-07,3.6e-07,3.5e-07,3.4e-07,BTC-DOGE,948.0,10534.0,3.6e-07,2017-09-14T06:31:22.953,202041856.2899148
