Ask,BaseVolume,Bid,High,Last,Low,Market,OpenBuyOrders,OpenSellOrders,PrevDay,TimeStamp,Volume
1.1e-05,1370.81242332,1.083e-05,1.683e-05,1.1e-05,6.05e-06,BTC-DOPE,509.0,1844.0,6.18e-06,2017-09-14T06:23:59.463,116632546.65114246
1.1e-05,1370.81242332,1.088e-05,1.683e-05,1.1e-05,6.05e-06,BTC-DOPE,509.0,1844.0,6.18e-06,2017-09-14T06:24:27.607,116632546.65114246
1.103e-05,1370.86276724,1.082e-05,1.683e-05,1.103e-05,6.05e-06,BTC-DOPE,509.0,1845.0,6.18e-06,2017-09-14T06:24:48.75,116637110.93712388
1.103e-05,1370.86380356,1.082e-05,1.683e-05,1.082e-05,6.05e-06,BTC-DOPE,508.0,1847.0,6.18e-06,2017-09-14T06:25:25.13,116637205.81959522
1.121e-05,1371.74080773,1.104e-05,1.683e-05,1.104e-05,6.05e-06,BTC-DOPE,512.0,1845.0,6.18e-06,2017-09-14T06:25:48.053,116716714.07130544
1.118e-05,1371.74080773,1.105e-05,1.683e-05,1.104e-05,6.05e-06,BTC-DOPE,512.0,1845.0,6.18e-06,2017-09-14T06:26:27.653,116716714.07130544
1.118e-05,1371.74080773,1.103e-05,1.683e-05,1.104e-05,6.05e-06,BTC-DOPE,512.0,1845.0,6.18e-06,2017-09-14T06:27:02.25,116716714.07130544
1.116e-05,1371.74080773,1.103e-05,1.683e-05,1.104e-05,6.05e-06,BTC-DOPE,512.0,1845.0,6.18e-06,2017-09-14T06:27:11.643,116716714.07130544
1.116e-05,1371.74080773,1.103e-05,1.683e-05,1.104e-05,6.05e-06,BTC-DOPE,512.0,1845.0,6.18e-06,2017-09-14T06:27:11.643,116716714.07130544
1.116e-05,1371.74080773,1.104e-05,1.683e-05,1.104e-05,6.05e-06,BTC-DOPE,512.0,1845.0,6.18e-06,2017-09-14T06:28:35.623,116716714.07130544
1.116e-05,1371.74080773,1.108e-05,1.683e-05,1.104e-05,6.05e-06,BTC-DOPE,512.0,1845.0,6.18e-06,2017-09-14T06:29:03.953,116716714.07130544
1.114e-05,1371.69246983,1.108e-05,1.683e-05,1.11e-05,6.05e-06,BTC-DOPE,509.0,1851.0,6.11e-06,2017-09-14T06:29:30.927,116708760.38362338
1.11e-05,1371.69311169,1.104e-05,1.683e-05,1.108e-05,6.05e-06,BTC-DOPE,508.0,1852.0,6.11e-06,2017-09-14T06:29:48.973,116708818.31391884
1.11e-05,1371.70136476,1.103e-05,1.683e-05,1.103e-05,6.05e-06,BTC-DOPE,507.0,1850.0,6.18e-06,2017-09-14T06:30:27.51,116709508.65742432
1.11e-05,1371.79664537,1.103e-05,1.683e-05,1.103e-05,6.05e-06,BTC-DOPE,507.0,1850.0,6.18e-06,2017-09-14T06:30:48.67,116718146.97275186
1.109e-05,1371.79760283,1.106e-05,1.683e-05,1.103e-05,6.05e-06,BTC-DOPE,508.0,1849.0,6.18e-06,2017-09-14T06:31:21.063,116718233.77830784
1.109e-05,1371.83383473,1.103e-05,1.683e-05,1.103e-05,6.05e-06,BTC-DOPE,508.0,1849.0,6.18e-06,2017-09-14T06:31:45.63,116721518.34874824
1.102e-05,1371.88436087,1.082e-05,1.683e-05,1.103e-05,6.05e-06,BTC-DOPE,507.0,1851.0,6.18e-06,2017-09-14T06:32:04.85,116726099.14196746
