Ask,BaseVolume,Bid,High,Last,Low,Market,OpenBuyOrders,OpenSellOrders,PrevDay,TimeStamp,Volume
2.507e-05,7.32926318,2.453e-05,2.6000000000000002e-05,2.506e-05,2.3199999999999998e-05,BTC-EFL,198.0,1325.0,2.5e-05,2017-09-14T05:01:02.683,298690.67037499
2.507e-05,7.32926318,2.453e-05,2.6e-05,2.506e-05,2.32e-05,BTC-EFL,198.0,1325.0,2.5e-05,2017-09-14T05:01:02.683,298690.67037499
2.499e-05,7.32926318,2.452e-05,2.6000000000000002e-05,2.506e-05,2.3199999999999998e-05,BTC-EFL,198.0,1325.0,2.5e-05,2017-09-14T05:44:21.24,298690.67037499
2.493e-05,7.32926318,2.452e-05,2.6e-05,2.506e-05,2.32e-05,BTC-EFL,198.0,1325.0,2.5e-05,2017-09-14T05:44:43.37,298690.67037499
2.491e-05,7.32926318,2.453e-05,2.6000000000000002e-05,2.506e-05,2.3199999999999998e-05,BTC-EFL,198.0,1325.0,2.5e-05,2017-09-14T05:45:05.857,298690.67037499
2.49e-05,7.32926318,2.453e-05,2.6e-05,2.506e-05,2.32e-05,BTC-EFL,198.0,1325.0,2.5e-05,2017-09-14T05:45:37.177,298690.67037499
2.489e-05,7.32926318,2.453e-05,2.6000000000000002e-05,2.506e-05,2.3199999999999998e-05,BTC-EFL,198.0,1325.0,2.5e-05,2017-09-14T05:45:59.743,298690.67037499
2.488e-05,7.32926318,2.453e-05,2.6e-05,2.506e-05,2.32e-05,BTC-EFL,198.0,1325.0,2.5e-05,2017-09-14T05:46:18.84,298690.67037499
2.504e-05,7.24059502,2.452e-05,2.6000000000000002e-05,2.452e-05,2.3199999999999998e-05,BTC-EFL,198.0,1325.0,2.509e-05,2017-09-14T05:47:04.787,295146.18667352
2.497e-05,7.24059502,2.452e-05,2.6e-05,2.452e-05,2.32e-05,BTC-EFL,198.0,1325.0,2.509e-05,2017-09-14T05:47:28.713,295146.18667352
2.495e-05,7.24059502,2.452e-05,2.6000000000000002e-05,2.452e-05,2.3199999999999998e-05,BTC-EFL,198.0,1325.0,2.509e-05,2017-09-14T05:47:40.7,295146.18667352
2.495e-05,7.24059502,2.452e-05,2.6e-05,2.452e-05,2.32e-05,BTC-EFL,198.0,1325.0,2.509e-05,2017-09-14T05:47:40.7,295146.18667352
