Ask,BaseVolume,Bid,High,Last,Low,Market,OpenBuyOrders,OpenSellOrders,PrevDay,TimeStamp,Volume
5.123e-05,148.12822079,5.055e-05,7e-05,5.055e-05,4.634e-05,BTC-EGC,714.0,2305.0,6.386e-05,2017-09-14T06:23:05.063,2702533.08243468
5.124e-05,148.12822079,5.055e-05,7e-05,5.055e-05,4.634e-05,BTC-EGC,714.0,2305.0,6.386e-05,2017-09-14T06:23:42.693,2702533.08243468
5.124e-05,147.97157046,5.055e-05,7e-05,5.124e-05,4.634e-05,BTC-EGC,717.0,2308.0,6.31e-05,2017-09-14T06:24:10.667,2700133.62823432
5.124e-05,147.97157046,5.055e-05,7e-05,5.124e-05,4.634e-05,BTC-EGC,717.0,2308.0,6.31e-05,2017-09-14T06:24:10.667,2700133.62823432
5.124e-05,147.97157046,5.056e-05,7e-05,5.124e-05,4.634e-05,BTC-EGC,717.0,2308.0,6.31e-05,2017-09-14T06:25:17.283,2700133.62823432
5.124e-05,147.97157046,5.056e-05,7e-05,5.124e-05,4.634e-05,BTC-EGC,717.0,2308.0,6.31e-05,2017-09-14T06:25:17.283,2700133.62823432
5.123e-05,147.97157046,5.056e-05,7e-05,5.124e-05,4.634e-05,BTC-EGC,717.0,2308.0,6.31e-05,2017-09-14T06:26:28.17,2700133.62823432
5.123e-05,147.97157046,5.056e-05,7e-05,5.124e-05,4.634e-05,BTC-EGC,717.0,2308.0,6.31e-05,2017-09-14T06:26:28.17,2700133.62823432
5.123e-05,147.97157046,5.056e-05,7e-05,5.124e-05,4.634e-05,BTC-EGC,717.0,2308.0,6.31e-05,2017-09-14T06:26:28.17,2700133.62823432
5.123e-05,147.97157046,5.055e-05,7e-05,5.124e-05,4.634e-05,BTC-EGC,717.0,2308.0,6.31e-05,2017-09-14T06:27:38.613,2700133.62823432
5.123e-05,147.38998038,5.053e-05,7e-05,5.055e-05,4.634e-05,BTC-EGC,719.0,2311.0,6.369e-05,2017-09-14T06:28:07.18,2691029.88831706
5.123e-05,147.38998038,5.053e-05,7e-05,5.055e-05,4.634e-05,BTC-EGC,719.0,2311.0,6.369e-05,2017-09-14T06:28:07.18,2691029.88831706
5.122e-05,147.68328289,5.05e-05,7e-05,5.05e-05,4.634e-05,BTC-EGC,716.0,2310.0,6.369e-05,2017-09-14T06:29:14,2696835.53470007
5.12e-05,147.68328289,5.05e-05,7e-05,5.05e-05,4.634e-05,BTC-EGC,716.0,2310.0,6.369e-05,2017-09-14T06:29:50.177,2696835.53470007
5.12e-05,147.68328289,5.05e-05,7e-05,5.05e-05,4.634e-05,BTC-EGC,716.0,2310.0,6.369e-05,2017-09-14T06:29:50.177,2696835.53470007
5.121e-05,147.68328289,5.05e-05,7e-05,5.05e-05,4.634e-05,BTC-EGC,716.0,2310.0,6.369e-05,2017-09-14T06:30:38.027,2696835.53470007
5.12e-05,147.68328289,5.05e-05,7e-05,5.05e-05,4.634e-05,BTC-EGC,716.0,2310.0,6.369e-05,2017-09-14T06:31:07.343,2696835.53470007
5.12e-05,147.68328289,5.05e-05,7e-05,5.05e-05,4.634e-05,BTC-EGC,716.0,2310.0,6.369e-05,2017-09-14T06:31:07.343,2696835.53470007
5.121e-05,147.68328289,5.05e-05,7e-05,5.05e-05,4.634e-05,BTC-EGC,716.0,2310.0,6.369e-05,2017-09-14T06:31:51.693,2696835.53470007
5.1e-05,147.68328289,5.05e-05,7e-05,5.05e-05,4.634e-05,BTC-EGC,716.0,2310.0,6.369e-05,2017-09-14T06:32:17.32,2696835.53470007
5.1e-05,146.83136273,5.05e-05,7e-05,5.05e-05,4.634e-05,BTC-EGC,720.0,2313.0,6.305e-05,2017-09-14T06:32:51.717,2683375.91295215
5.1e-05,146.83136273,5.05e-05,7e-05,5.05e-05,4.634e-05,BTC-EGC,720.0,2313.0,6.305e-05,2017-09-14T06:32:51.717,2683375.91295215
5.1e-05,146.83136273,5.05e-05,7e-05,5.05e-05,4.634e-05,BTC-EGC,720.0,2313.0,6.305e-05,2017-09-14T06:32:51.717,2683375.91295215
5.1e-05,146.83136273,5.05e-05,7e-05,5.05e-05,4.634e-05,BTC-EGC,720.0,2313.0,6.305e-05,2017-09-14T06:32:51.717,2683375.91295215
5.1e-05,146.83136273,5.05e-05,7e-05,5.05e-05,4.634e-05,BTC-EGC,720.0,2313.0,6.305e-05,2017-09-14T06:32:51.717,2683375.91295215
5.1e-05,146.83136273,5.05e-05,7e-05,5.05e-05,4.634e-05,BTC-EGC,720.0,2313.0,6.305e-05,2017-09-14T06:32:51.717,2683375.91295215
5.123e-05,146.83136273,5.05e-05,7e-05,5.05e-05,4.634e-05,BTC-EGC,720.0,2313.0,6.305e-05,2017-09-14T06:36:01.567,2683375.91295215
5.122e-05,146.83136273,5.05e-05,7e-05,5.05e-05,4.634e-05,BTC-EGC,720.0,2313.0,6.305e-05,2017-09-14T06:36:33.63,2683375.91295215
5.121e-05,146.83136273,5.05e-05,7e-05,5.05e-05,4.634e-05,BTC-EGC,720.0,2313.0,6.305e-05,2017-09-14T06:36:51.947,2683375.91295215
5.12e-05,146.83136273,5.051e-05,7e-05,5.05e-05,4.634e-05,BTC-EGC,720.0,2313.0,6.305e-05,2017-09-14T06:37:56.267,2683375.91295215
5.122e-05,146.83136273,5.051e-05,7e-05,5.05e-05,4.634e-05,BTC-EGC,720.0,2313.0,6.305e-05,2017-09-14T06:38:23.787,2683375.91295215
5.121e-05,146.33206839,5.051e-05,7e-05,5.051e-05,4.634e-05,BTC-EGC,721.0,2313.0,6.307e-05,2017-09-14T06:38:57.193,2675512.57356894
5.12e-05,146.33206839,5.051e-05,7e-05,5.051e-05,4.634e-05,BTC-EGC,721.0,2313.0,6.307e-05,2017-09-14T06:39:18.463,2675512.57356894
5.121e-05,146.33206839,5.051e-05,7e-05,5.051e-05,4.634e-05,BTC-EGC,721.0,2313.0,6.307e-05,2017-09-14T06:39:49.717,2675512.57356894
5.121e-05,146.33206839,5.051e-05,7e-05,5.051e-05,4.634e-05,BTC-EGC,721.0,2313.0,6.307e-05,2017-09-14T06:40:11.267,2675512.57356894
5.12e-05,146.33206839,5.051e-05,7e-05,5.051e-05,4.634e-05,BTC-EGC,721.0,2313.0,6.307e-05,2017-09-14T06:40:20.627,2675512.57356894
5.122e-05,146.33206839,5.051e-05,7e-05,5.051e-05,4.634e-05,BTC-EGC,721.0,2313.0,6.307e-05,2017-09-14T06:41:14.773,2675512.57356894
5.122e-05,146.33206839,5.051e-05,7e-05,5.051e-05,4.634e-05,BTC-EGC,721.0,2313.0,6.307e-05,2017-09-14T06:41:36.15,2675512.57356894
5.121e-05,146.33206839,5.051e-05,7e-05,5.051e-05,4.634e-05,BTC-EGC,721.0,2313.0,6.307e-05,2017-09-14T06:42:08.45,2675512.57356894
5.122e-05,146.33206839,5.051e-05,7e-05,5.051e-05,4.634e-05,BTC-EGC,721.0,2313.0,6.307e-05,2017-09-14T06:42:40.313,2675512.57356894
5.123e-05,143.85330548,5.051e-05,7e-05,5.123e-05,4.634e-05,BTC-EGC,723.0,2314.0,6.131e-05,2017-09-14T06:43:17.583,2635527.77184262
5.122e-05,143.85330548,5.051e-05,7e-05,5.123e-05,4.634e-05,BTC-EGC,723.0,2314.0,6.131e-05,2017-09-14T06:44:04.73,2635527.77184262
5.122e-05,143.85330548,5.051e-05,7e-05,5.123e-05,4.634e-05,BTC-EGC,723.0,2314.0,6.131e-05,2017-09-14T06:44:04.73,2635527.77184262
5.12e-05,143.85330548,5.051e-05,7e-05,5.123e-05,4.634e-05,BTC-EGC,723.0,2314.0,6.131e-05,2017-09-14T06:45:14.86,2635527.77184262
5.12e-05,143.85330548,5.051e-05,7e-05,5.123e-05,4.634e-05,BTC-EGC,723.0,2314.0,6.131e-05,2017-09-14T06:45:14.86,2635527.77184262
