Ask,BaseVolume,Bid,High,Last,Low,Market,OpenBuyOrders,OpenSellOrders,PrevDay,TimeStamp,Volume
1.032e-05,630.34761854,1.02e-05,1.49e-05,1.02e-05,7.41e-06,BTC-EMC2,287.0,2774.0,7.63e-06,2017-09-14T06:23:20.13,54988580.50551549
1.032e-05,631.50414358,1.015e-05,1.49e-05,1.034e-05,7.41e-06,BTC-EMC2,285.0,2769.0,7.63e-06,2017-09-14T06:24:05.15,55101041.74191112
1.029e-05,631.6449415,1.018e-05,1.49e-05,1.018e-05,7.41e-06,BTC-EMC2,291.0,2775.0,7.63e-06,2017-09-14T06:24:35.34,55114866.4299788
1.026e-05,631.70279717,1.0199999999999999e-05,1.49e-05,1.026e-05,7.41e-06,BTC-EMC2,294.0,2777.0,7.63e-06,2017-09-14T06:25:02.063,55120533.79566572
1.019e-05,631.93691396,1.018e-05,1.49e-05,1.019e-05,7.41e-06,BTC-EMC2,293.0,2777.0,7.63e-06,2017-09-14T06:25:30.24,55143491.44191342
1.0199999999999999e-05,632.43194682,1.016e-05,1.49e-05,1.0199999999999999e-05,7.41e-06,BTC-EMC2,293.0,2773.0,7.63e-06,2017-09-14T06:25:58.103,55192161.53812155
1e-05,633.92320012,9.99e-06,1.49e-05,9.99e-06,7.41e-06,BTC-EMC2,291.0,2774.0,7.63e-06,2017-09-14T06:26:24.95,55340906.24598777
9.99e-06,633.99045941,9.85e-06,1.49e-05,9.99e-06,7.41e-06,BTC-EMC2,291.0,2777.0,7.63e-06,2017-09-14T06:27:01.033,55347635.97661413
9.97e-06,634.32053766,9.88e-06,1.49e-05,9.97e-06,7.41e-06,BTC-EMC2,290.0,2777.0,7.63e-06,2017-09-14T06:27:33.317,55380933.52501351
9.97e-06,634.42959029,9.85e-06,1.49e-05,9.84e-06,7.41e-06,BTC-EMC2,292.0,2772.0,7.63e-06,2017-09-14T06:27:55.337,55392016.10999534
9.97e-06,634.46296229,9.86e-06,1.49e-05,9.97e-06,7.41e-06,BTC-EMC2,293.0,2775.0,7.63e-06,2017-09-14T06:28:19.59,55395363.35416321
9.98e-06,634.59053317,9.97e-06,1.49e-05,9.98e-06,7.41e-06,BTC-EMC2,298.0,2784.0,7.63e-06,2017-09-14T06:29:05.813,55408146.01636745
9.98e-06,634.76245443,9.87e-06,1.49e-05,9.98e-06,7.41e-06,BTC-EMC2,296.0,2779.0,7.63e-06,2017-09-14T06:29:33.143,55425382.8913075
9.99e-06,635.17169303,9.88e-06,1.49e-05,1e-05,7.41e-06,BTC-EMC2,296.0,2777.0,7.63e-06,2017-09-14T06:29:52.85,55466337.0888725
9.95e-06,635.77788607,9.91e-06,1.49e-05,9.9e-06,7.41e-06,BTC-EMC2,296.0,2781.0,7.63e-06,2017-09-14T06:30:28.417,55527087.47429929
1.0199999999999999e-05,635.92502628,9.95e-06,1.49e-05,1e-05,7.41e-06,BTC-EMC2,299.0,2777.0,7.43e-06,2017-09-14T06:30:54.187,55541053.14025344
1.02e-05,635.84172959,9.98e-06,1.49e-05,9.98e-06,7.41e-06,BTC-EMC2,300.0,2779.0,7.43e-06,2017-09-14T06:31:20.3,55528906.07495516
1.0199999999999999e-05,635.87904104,1.001e-05,1.49e-05,9.99e-06,7.41e-06,BTC-EMC2,303.0,2780.0,7.43e-06,2017-09-14T06:31:46.66,55532640.95557908
1.02e-05,635.9004209,1.004e-05,1.49e-05,1.004e-05,7.41e-06,BTC-EMC2,302.0,2784.0,7.43e-06,2017-09-14T06:32:12.85,55534756.57086074
1.044e-05,636.61988393,1.04e-05,1.49e-05,1.04e-05,7.41e-06,BTC-EMC2,301.0,2774.0,7.43e-06,2017-09-14T06:32:51.2,55604761.43489186
