Ask,BaseVolume,Bid,High,Last,Low,Market,OpenBuyOrders,OpenSellOrders,PrevDay,TimeStamp,Volume
0.07116994,3992.01721108,0.0711,0.07200000000000001,0.07101001,0.068,BTC-ETH,3641.0,13115.0,0.07000001,2017-09-14T05:02:01.03,56903.27493773
0.0711,3889.06602223,0.07096000000000001,0.07200000000000001,0.07096000000000001,0.068,BTC-ETH,3615.0,13089.0,0.0699,2017-09-14T05:43:54.733,55441.39446599
0.07087,3896.8387839,0.070647,0.07200000000000001,0.07109997,0.068,BTC-ETH,3568.0,13079.0,0.0699,2017-09-14T05:44:20.52,55550.97979279
0.070647,3898.07429389,0.07063744,0.07200000000000001,0.07063744,0.068,BTC-ETH,3569.0,13077.0,0.07,2017-09-14T05:44:42.18,55568.44637631
0.07064699,3897.96194975,0.07063744,0.07200000000000001,0.07063744,0.068,BTC-ETH,3583.0,13082.0,0.07031498,2017-09-14T05:45:16.267,55566.81127659
0.070647,3897.63603196,0.07063744,0.07200000000000001,0.070647,0.068,BTC-ETH,3597.0,13082.0,0.07004101,2017-09-14T05:45:46.21,55562.14077436
0.070517,3899.16593027,0.0705,0.07200000000000001,0.070517,0.068,BTC-ETH,3584.0,13117.0,0.07005101,2017-09-14T05:46:10.807,55583.72451304
0.0711398,3899.17384399,0.0705,0.07200000000000001,0.07050017,0.068,BTC-ETH,3612.0,13085.0,0.070314,2017-09-14T05:46:40.157,55583.80124530001
0.07113887,3899.12554184,0.0705,0.07200000000000001,0.07050003,0.068,BTC-ETH,3614.0,13089.0,0.07005101,2017-09-14T05:47:05.723,55583.10965795
0.0705,3899.18757492,0.07048512,0.07200000000000001,0.0705,0.068,BTC-ETH,3614.0,13086.0,0.070314,2017-09-14T05:47:18.18,55583.93286581
0.0705,3898.12600786,0.07048512,0.07200000000000001,0.07048512,0.068,BTC-ETH,3616.0,13086.0,0.07005102,2017-09-14T05:47:42.59,55568.75816326
0.07048512,3897.78551299,0.07047543,0.07200000000000001,0.07048512,0.068,BTC-ETH,3612.0,13089.0,0.07005102,2017-09-14T05:48:06.627,55563.89442542
