Ask,BaseVolume,Bid,High,Last,Low,Market,OpenBuyOrders,OpenSellOrders,PrevDay,TimeStamp,Volume
1.9399999999999997e-05,97.92993525,1.924e-05,2.612e-05,1.924e-05,1.8e-05,BTC-FLO,347.0,1676.0,1.969e-05,2017-09-14T06:23:30.303,4597219.22902582
1.939e-05,97.92993525,1.924e-05,2.612e-05,1.924e-05,1.8e-05,BTC-FLO,347.0,1676.0,1.969e-05,2017-09-14T06:24:34.45,4597219.22902582
1.939e-05,97.92993525,1.924e-05,2.612e-05,1.924e-05,1.8e-05,BTC-FLO,347.0,1676.0,1.969e-05,2017-09-14T06:24:34.45,4597219.22902582
1.944e-05,97.78870431,1.924e-05,2.612e-05,1.939e-05,1.8e-05,BTC-FLO,348.0,1676.0,1.979e-05,2017-09-14T06:25:30.613,4589994.37557997
1.938e-05,97.78870431,1.924e-05,2.612e-05,1.939e-05,1.8e-05,BTC-FLO,348.0,1676.0,1.979e-05,2017-09-14T06:25:37.677,4589994.37557997
1.938e-05,97.78870431,1.924e-05,2.612e-05,1.939e-05,1.8e-05,BTC-FLO,348.0,1676.0,1.979e-05,2017-09-14T06:25:37.677,4589994.37557997
1.937e-05,97.78870431,1.924e-05,2.612e-05,1.939e-05,1.8e-05,BTC-FLO,348.0,1676.0,1.979e-05,2017-09-14T06:26:45.843,4589994.37557997
1.937e-05,97.78894082,1.924e-05,2.612e-05,1.924e-05,1.8e-05,BTC-FLO,348.0,1676.0,1.979e-05,2017-09-14T06:27:28.55,4590011.16452333
1.936e-05,97.78894082,1.924e-05,2.612e-05,1.924e-05,1.8e-05,BTC-FLO,348.0,1676.0,1.979e-05,2017-09-14T06:27:46.913,4590011.16452333
1.936e-05,97.78894082,1.924e-05,2.612e-05,1.924e-05,1.8e-05,BTC-FLO,348.0,1676.0,1.979e-05,2017-09-14T06:27:46.913,4590011.16452333
1.935e-05,97.78894082,1.924e-05,2.612e-05,1.924e-05,1.8e-05,BTC-FLO,348.0,1676.0,1.979e-05,2017-09-14T06:28:51.453,4590011.16452333
1.935e-05,97.81865239,1.92e-05,2.612e-05,1.92e-05,1.8e-05,BTC-FLO,346.0,1676.0,1.979e-05,2017-09-14T06:29:21.55,4591557.05976264
1.934e-05,97.81865239,1.92e-05,2.612e-05,1.92e-05,1.8e-05,BTC-FLO,346.0,1676.0,1.979e-05,2017-09-14T06:29:53.867,4591557.05976264
1.934e-05,97.81865239,1.92e-05,2.612e-05,1.92e-05,1.8e-05,BTC-FLO,346.0,1676.0,1.979e-05,2017-09-14T06:29:53.867,4591557.05976264
1.933e-05,97.81865239,1.92e-05,2.612e-05,1.92e-05,1.8e-05,BTC-FLO,346.0,1676.0,1.979e-05,2017-09-14T06:30:57.373,4591557.05976264
1.933e-05,97.81865239,1.92e-05,2.612e-05,1.92e-05,1.8e-05,BTC-FLO,346.0,1676.0,1.979e-05,2017-09-14T06:30:57.373,4591557.05976264
1.933e-05,97.81790919,1.92e-05,2.612e-05,1.933e-05,1.8e-05,BTC-FLO,346.0,1678.0,1.948e-05,2017-09-14T06:31:34.16,4591519.38543047
1.932e-05,97.81790919,1.92e-05,2.612e-05,1.933e-05,1.8e-05,BTC-FLO,346.0,1678.0,1.948e-05,2017-09-14T06:31:58.52,4591519.38543047
1.942e-05,97.81790919,1.92e-05,2.612e-05,1.933e-05,1.8e-05,BTC-FLO,346.0,1678.0,1.948e-05,2017-09-14T06:32:53.73,4591519.38543047
1.931e-05,97.81790919,1.92e-05,2.612e-05,1.933e-05,1.8e-05,BTC-FLO,346.0,1678.0,1.948e-05,2017-09-14T06:33:03,4591519.38543047
1.931e-05,97.81790919,1.92e-05,2.612e-05,1.933e-05,1.8e-05,BTC-FLO,346.0,1678.0,1.948e-05,2017-09-14T06:33:03,4591519.38543047
1.93e-05,97.81790919,1.92e-05,2.612e-05,1.933e-05,1.8e-05,BTC-FLO,346.0,1678.0,1.948e-05,2017-09-14T06:34:06.863,4591519.38543047
1.93e-05,97.81790919,1.92e-05,2.612e-05,1.933e-05,1.8e-05,BTC-FLO,346.0,1678.0,1.948e-05,2017-09-14T06:34:06.863,4591519.38543047
1.929e-05,97.81790919,1.92e-05,2.612e-05,1.933e-05,1.8e-05,BTC-FLO,346.0,1678.0,1.948e-05,2017-09-14T06:35:10.92,4591519.38543047
1.929e-05,97.81790919,1.92e-05,2.612e-05,1.933e-05,1.8e-05,BTC-FLO,346.0,1678.0,1.948e-05,2017-09-14T06:35:10.92,4591519.38543047
1.928e-05,97.81790919,1.92e-05,2.612e-05,1.933e-05,1.8e-05,BTC-FLO,346.0,1678.0,1.948e-05,2017-09-14T06:36:13.003,4591519.38543047
1.928e-05,97.81790919,1.92e-05,2.612e-05,1.933e-05,1.8e-05,BTC-FLO,346.0,1678.0,1.948e-05,2017-09-14T06:36:13.003,4591519.38543047
1.927e-05,97.81790919,1.919e-05,2.612e-05,1.933e-05,1.8e-05,BTC-FLO,346.0,1678.0,1.948e-05,2017-09-14T06:37:16.387,4591519.38543047
1.927e-05,97.81790919,1.919e-05,2.612e-05,1.933e-05,1.8e-05,BTC-FLO,346.0,1678.0,1.948e-05,2017-09-14T06:37:16.387,4591519.38543047
1.926e-05,97.81790919,1.919e-05,2.612e-05,1.933e-05,1.8e-05,BTC-FLO,346.0,1678.0,1.948e-05,2017-09-14T06:38:18.91,4591519.38543047
1.926e-05,97.81790919,1.919e-05,2.612e-05,1.933e-05,1.8e-05,BTC-FLO,346.0,1678.0,1.948e-05,2017-09-14T06:38:18.91,4591519.38543047
1.925e-05,97.81790919,1.919e-05,2.612e-05,1.933e-05,1.8e-05,BTC-FLO,346.0,1678.0,1.948e-05,2017-09-14T06:39:23.057,4591519.38543047
1.925e-05,97.81790919,1.919e-05,2.612e-05,1.933e-05,1.8e-05,BTC-FLO,346.0,1678.0,1.948e-05,2017-09-14T06:39:23.057,4591519.38543047
1.938e-05,97.81790919,1.919e-05,2.612e-05,1.933e-05,1.8e-05,BTC-FLO,346.0,1678.0,1.948e-05,2017-09-14T06:40:15.22,4591519.38543047
1.924e-05,97.81790919,1.919e-05,2.612e-05,1.933e-05,1.8e-05,BTC-FLO,346.0,1678.0,1.948e-05,2017-09-14T06:40:24.173,4591519.38543047
1.924e-05,97.81790919,1.919e-05,2.612e-05,1.933e-05,1.8e-05,BTC-FLO,346.0,1678.0,1.948e-05,2017-09-14T06:40:24.173,4591519.38543047
1.923e-05,97.81642726,1.919e-05,2.612e-05,1.923e-05,1.8e-05,BTC-FLO,346.0,1678.0,1.948e-05,2017-09-14T06:41:41.23,4591443.97857407
1.923e-05,97.81642726,1.919e-05,2.612e-05,1.923e-05,1.8e-05,BTC-FLO,346.0,1678.0,1.948e-05,2017-09-14T06:41:41.23,4591443.97857407
1.922e-05,97.81642726,1.919e-05,2.612e-05,1.923e-05,1.8e-05,BTC-FLO,346.0,1678.0,1.948e-05,2017-09-14T06:42:30.92,4591443.97857407
1.938e-05,97.81642726,1.919e-05,2.612e-05,1.923e-05,1.8e-05,BTC-FLO,346.0,1678.0,1.948e-05,2017-09-14T06:43:25.067,4591443.97857407
1.92e-05,97.81642726,1.919e-05,2.612e-05,1.923e-05,1.8e-05,BTC-FLO,346.0,1678.0,1.948e-05,2017-09-14T06:44:38.653,4591443.97857407
1.92e-05,97.81642726,1.919e-05,2.612e-05,1.923e-05,1.8e-05,BTC-FLO,346.0,1678.0,1.948e-05,2017-09-14T06:44:38.653,4591443.97857407
1.938e-05,97.59473414,1.919e-05,2.612e-05,1.92e-05,1.8e-05,BTC-FLO,346.0,1679.0,1.944e-05,2017-09-14T06:45:30.783,4580055.35603135
1.938e-05,97.53888373,1.919e-05,2.612e-05,1.919e-05,1.8e-05,BTC-FLO,345.0,1678.0,1.985e-05,2017-09-14T06:45:39.74,4577266.50770146
1.938e-05,97.53888373,1.919e-05,2.612e-05,1.919e-05,1.8e-05,BTC-FLO,345.0,1678.0,1.985e-05,2017-09-14T06:45:39.74,4577266.50770146
1.938e-05,97.53888373,1.919e-05,2.612e-05,1.919e-05,1.8e-05,BTC-FLO,345.0,1678.0,1.985e-05,2017-09-14T06:45:39.74,4577266.50770146
1.938e-05,97.53888373,1.919e-05,2.612e-05,1.919e-05,1.8e-05,BTC-FLO,345.0,1678.0,1.985e-05,2017-09-14T06:45:39.74,4577266.50770146
1.938e-05,97.53319143,1.919e-05,2.612e-05,1.919e-05,1.8e-05,BTC-FLO,344.0,1678.0,1.949e-05,2017-09-14T06:47:39.407,4576975.80802756
1.938e-05,97.53319143,1.919e-05,2.612e-05,1.919e-05,1.8e-05,BTC-FLO,344.0,1678.0,1.949e-05,2017-09-14T06:47:39.407,4576975.80802756
1.938e-05,98.19123344,1.919e-05,2.612e-05,1.919e-05,1.8e-05,BTC-FLO,344.0,1678.0,1.949e-05,2017-09-14T06:48:39.477,4611266.68935696
1.938e-05,98.19123344,1.919e-05,2.612e-05,1.919e-05,1.8e-05,BTC-FLO,344.0,1678.0,1.949e-05,2017-09-14T06:48:39.477,4611266.68935696
1.938e-05,98.19123344,1.919e-05,2.612e-05,1.919e-05,1.8e-05,BTC-FLO,344.0,1678.0,1.949e-05,2017-09-14T06:48:39.477,4611266.68935696
1.938e-05,98.00964653,1.919e-05,2.612e-05,1.919e-05,1.8e-05,BTC-FLO,345.0,1678.0,1.944e-05,2017-09-14T06:50:16.063,4601931.78926149
1.94e-05,98.00964653,1.919e-05,2.612e-05,1.919e-05,1.8e-05,BTC-FLO,345.0,1678.0,1.944e-05,2017-09-14T06:50:57.753,4601931.78926149
1.9399999999999997e-05,98.08888794,1.919e-05,2.612e-05,1.919e-05,1.8e-05,BTC-FLO,345.0,1677.0,1.947e-05,2017-09-14T06:51:04.96,4606063.27967221
1.94e-05,98.08888794,1.919e-05,2.612e-05,1.919e-05,1.8e-05,BTC-FLO,345.0,1677.0,1.947e-05,2017-09-14T06:51:04.96,4606063.27967221
1.9399999999999997e-05,98.08888794,1.919e-05,2.612e-05,1.919e-05,1.8e-05,BTC-FLO,345.0,1677.0,1.947e-05,2017-09-14T06:51:04.96,4606063.27967221
1.94e-05,98.08888794,1.919e-05,2.612e-05,1.919e-05,1.8e-05,BTC-FLO,345.0,1677.0,1.947e-05,2017-09-14T06:51:04.96,4606063.27967221
1.9399999999999997e-05,98.08888794,1.919e-05,2.612e-05,1.919e-05,1.8e-05,BTC-FLO,345.0,1677.0,1.947e-05,2017-09-14T06:51:04.96,4606063.27967221
1.94e-05,98.08888794,1.919e-05,2.612e-05,1.919e-05,1.8e-05,BTC-FLO,345.0,1677.0,1.947e-05,2017-09-14T06:51:04.96,4606063.27967221
1.9399999999999997e-05,98.08888794,1.919e-05,2.612e-05,1.919e-05,1.8e-05,BTC-FLO,345.0,1677.0,1.947e-05,2017-09-14T06:51:04.96,4606063.27967221
1.94e-05,98.08888794,1.919e-05,2.612e-05,1.919e-05,1.8e-05,BTC-FLO,345.0,1677.0,1.947e-05,2017-09-14T06:51:04.96,4606063.27967221
1.9399999999999997e-05,98.08888794,1.919e-05,2.612e-05,1.919e-05,1.8e-05,BTC-FLO,345.0,1677.0,1.947e-05,2017-09-14T06:51:04.897,4606063.27967221
1.94e-05,98.08888794,1.919e-05,2.612e-05,1.919e-05,1.8e-05,BTC-FLO,345.0,1677.0,1.947e-05,2017-09-14T06:51:04.96,4606063.27967221
1.9399999999999997e-05,98.08888794,1.919e-05,2.612e-05,1.919e-05,1.8e-05,BTC-FLO,345.0,1677.0,1.947e-05,2017-09-14T06:51:04.96,4606063.27967221
1.94e-05,98.08888794,1.919e-05,2.612e-05,1.919e-05,1.8e-05,BTC-FLO,345.0,1677.0,1.947e-05,2017-09-14T06:51:04.96,4606063.27967221
