Ask,BaseVolume,Bid,High,Last,Low,Market,OpenBuyOrders,OpenSellOrders,PrevDay,TimeStamp,Volume
1.154e-05,6.16928843,1.141e-05,1.191e-05,1.141e-05,1.122e-05,BTC-FTC,438.0,5314.0,1.17e-05,2017-09-14T06:20:24.84,535644.4997281
1.154e-05,6.16928843,1.141e-05,1.191e-05,1.141e-05,1.122e-05,BTC-FTC,438.0,5314.0,1.17e-05,2017-09-14T06:20:24.84,535644.4997281
1.153e-05,6.16928843,1.141e-05,1.191e-05,1.141e-05,1.122e-05,BTC-FTC,438.0,5314.0,1.17e-05,2017-09-14T06:24:33.827,535644.4997281
1.153e-05,6.16928843,1.141e-05,1.191e-05,1.141e-05,1.122e-05,BTC-FTC,438.0,5314.0,1.17e-05,2017-09-14T06:24:33.827,535644.4997281
1.153e-05,6.16928843,1.141e-05,1.191e-05,1.141e-05,1.122e-05,BTC-FTC,438.0,5314.0,1.17e-05,2017-09-14T06:24:33.827,535644.4997281
1.153e-05,6.16928843,1.141e-05,1.191e-05,1.141e-05,1.122e-05,BTC-FTC,438.0,5314.0,1.17e-05,2017-09-14T06:24:33.827,535644.4997281
1.153e-05,6.16928843,1.141e-05,1.191e-05,1.141e-05,1.122e-05,BTC-FTC,438.0,5314.0,1.17e-05,2017-09-14T06:24:33.827,535644.4997281
1.153e-05,6.16928843,1.141e-05,1.191e-05,1.141e-05,1.122e-05,BTC-FTC,438.0,5314.0,1.17e-05,2017-09-14T06:24:33.827,535644.4997281
1.152e-05,6.21893514,1.137e-05,1.191e-05,1.137e-05,1.122e-05,BTC-FTC,436.0,5315.0,1.17e-05,2017-09-14T06:27:34.193,540008.85225624
1.152e-05,6.22058908,1.138e-05,1.191e-05,1.137e-05,1.122e-05,BTC-FTC,436.0,5315.0,1.17e-05,2017-09-14T06:28:05.633,540154.31792986
1.152e-05,6.22058908,1.138e-05,1.191e-05,1.137e-05,1.122e-05,BTC-FTC,436.0,5315.0,1.17e-05,2017-09-14T06:28:05.79,540154.31792986
1.152e-05,6.22058908,1.138e-05,1.191e-05,1.137e-05,1.122e-05,BTC-FTC,436.0,5315.0,1.17e-05,2017-09-14T06:28:05.79,540154.31792986
1.152e-05,6.22058908,1.138e-05,1.191e-05,1.137e-05,1.122e-05,BTC-FTC,436.0,5315.0,1.17e-05,2017-09-14T06:28:05.79,540154.31792986
1.152e-05,6.22058908,1.149e-05,1.191e-05,1.137e-05,1.122e-05,BTC-FTC,436.0,5315.0,1.17e-05,2017-09-14T06:29:42.897,540154.31792986
1.152e-05,6.22058908,1.149e-05,1.191e-05,1.137e-05,1.122e-05,BTC-FTC,436.0,5315.0,1.17e-05,2017-09-14T06:29:42.897,540154.31792986
1.152e-05,6.22058908,1.149e-05,1.191e-05,1.137e-05,1.122e-05,BTC-FTC,436.0,5315.0,1.17e-05,2017-09-14T06:29:42.897,540154.31792986
1.152e-05,6.22058908,1.149e-05,1.191e-05,1.137e-05,1.122e-05,BTC-FTC,436.0,5315.0,1.17e-05,2017-09-14T06:29:42.897,540154.31792986
1.152e-05,6.22058908,1.149e-05,1.191e-05,1.137e-05,1.122e-05,BTC-FTC,436.0,5315.0,1.17e-05,2017-09-14T06:29:42.897,540154.31792986
1.152e-05,6.22058908,1.149e-05,1.191e-05,1.137e-05,1.122e-05,BTC-FTC,436.0,5315.0,1.17e-05,2017-09-14T06:29:42.897,540154.31792986
1.152e-05,6.21027051,1.149e-05,1.191e-05,1.149e-05,1.122e-05,BTC-FTC,439.0,5315.0,1.17e-05,2017-09-14T06:32:23.197,539274.54694907
1.152e-05,6.21027051,1.149e-05,1.191e-05,1.149e-05,1.122e-05,BTC-FTC,439.0,5315.0,1.17e-05,2017-09-14T06:32:23.197,539274.54694907
1.152e-05,6.21027051,1.149e-05,1.191e-05,1.149e-05,1.122e-05,BTC-FTC,439.0,5315.0,1.17e-05,2017-09-14T06:32:23.197,539274.54694907
1.152e-05,6.21027051,1.149e-05,1.191e-05,1.149e-05,1.122e-05,BTC-FTC,439.0,5315.0,1.17e-05,2017-09-14T06:32:23.197,539274.54694907
1.152e-05,6.21027051,1.149e-05,1.191e-05,1.149e-05,1.122e-05,BTC-FTC,439.0,5315.0,1.17e-05,2017-09-14T06:32:23.197,539274.54694907
1.152e-05,6.21027051,1.149e-05,1.191e-05,1.149e-05,1.122e-05,BTC-FTC,439.0,5315.0,1.17e-05,2017-09-14T06:32:23.197,539274.54694907
1.152e-05,6.21027051,1.149e-05,1.191e-05,1.149e-05,1.122e-05,BTC-FTC,439.0,5315.0,1.17e-05,2017-09-14T06:32:23.197,539274.54694907
1.152e-05,6.21027051,1.149e-05,1.191e-05,1.149e-05,1.122e-05,BTC-FTC,439.0,5315.0,1.17e-05,2017-09-14T06:32:23.197,539274.54694907
1.149e-05,6.21088407,1.138e-05,1.191e-05,1.149e-05,1.122e-05,BTC-FTC,438.0,5316.0,1.17e-05,2017-09-14T06:36:48.557,539327.94717268
1.149e-05,6.21088407,1.137e-05,1.191e-05,1.149e-05,1.122e-05,BTC-FTC,438.0,5316.0,1.17e-05,2017-09-14T06:37:15.277,539327.94717268
