Ask,BaseVolume,Bid,High,Last,Low,Market,OpenBuyOrders,OpenSellOrders,PrevDay,TimeStamp,Volume
5.44e-06,59.2327909,5.38e-06,5.65e-06,5.44e-06,4.98e-06,BTC-FUN,231.0,3403.0,5.52e-06,2017-09-14T06:23:18.253,11123280.10929153
5.44e-06,59.2327909,5.37e-06,5.65e-06,5.44e-06,4.98e-06,BTC-FUN,231.0,3403.0,5.52e-06,2017-09-14T06:23:55.43,11123280.10929153
5.44e-06,59.2327909,5.37e-06,5.65e-06,5.44e-06,4.98e-06,BTC-FUN,231.0,3403.0,5.52e-06,2017-09-14T06:23:55.43,11123280.10929153
5.44e-06,59.2327909,5.38e-06,5.65e-06,5.44e-06,4.98e-06,BTC-FUN,231.0,3403.0,5.52e-06,2017-09-14T06:24:42.327,11123280.10929153
5.44e-06,59.2327909,5.37e-06,5.65e-06,5.44e-06,4.98e-06,BTC-FUN,231.0,3403.0,5.52e-06,2017-09-14T06:25:25.427,11123280.10929153
5.44e-06,59.2327909,5.38e-06,5.65e-06,5.44e-06,4.98e-06,BTC-FUN,231.0,3403.0,5.52e-06,2017-09-14T06:26:01.587,11123280.10929153
5.44e-06,59.2327909,5.38e-06,5.65e-06,5.44e-06,4.98e-06,BTC-FUN,231.0,3403.0,5.52e-06,2017-09-14T06:26:01.587,11123280.10929153
5.44e-06,59.2327909,5.37e-06,5.65e-06,5.44e-06,4.98e-06,BTC-FUN,231.0,3403.0,5.52e-06,2017-09-14T06:26:43.92,11123280.10929153
5.44e-06,59.2327909,5.38e-06,5.65e-06,5.44e-06,4.98e-06,BTC-FUN,231.0,3403.0,5.52e-06,2017-09-14T06:27:25.99,11123280.10929153
5.44e-06,59.2327909,5.37e-06,5.65e-06,5.44e-06,4.98e-06,BTC-FUN,231.0,3403.0,5.52e-06,2017-09-14T06:28:06.587,11123280.10929153
5.44e-06,59.18948279,5.37e-06,5.65e-06,5.44e-06,4.98e-06,BTC-FUN,261.0,3405.0,5.52e-06,2017-09-14T06:28:12.12,11115412.69442731
5.44e-06,59.18948279,5.38e-06,5.65e-06,5.44e-06,4.98e-06,BTC-FUN,261.0,3405.0,5.52e-06,2017-09-14T06:28:46.327,11115412.69442731
5.44e-06,59.18948279,5.37e-06,5.65e-06,5.44e-06,4.98e-06,BTC-FUN,261.0,3405.0,5.52e-06,2017-09-14T06:29:25.957,11115412.69442731
5.44e-06,59.18948279,5.37e-06,5.65e-06,5.44e-06,4.98e-06,BTC-FUN,261.0,3405.0,5.52e-06,2017-09-14T06:29:25.957,11115412.69442731
5.44e-06,59.18948279,5.38e-06,5.65e-06,5.44e-06,4.98e-06,BTC-FUN,261.0,3405.0,5.52e-06,2017-09-14T06:30:05.1,11115412.69442731
5.44e-06,59.18948279,5.37e-06,5.65e-06,5.44e-06,4.98e-06,BTC-FUN,261.0,3405.0,5.52e-06,2017-09-14T06:30:42.217,11115412.69442731
5.44e-06,59.18948279,5.38e-06,5.65e-06,5.44e-06,4.98e-06,BTC-FUN,261.0,3405.0,5.52e-06,2017-09-14T06:31:22.393,11115412.69442731
5.44e-06,59.18948279,5.38e-06,5.65e-06,5.44e-06,4.98e-06,BTC-FUN,261.0,3405.0,5.52e-06,2017-09-14T06:31:22.393,11115412.69442731
5.44e-06,59.18948279,5.37e-06,5.65e-06,5.44e-06,4.98e-06,BTC-FUN,261.0,3405.0,5.52e-06,2017-09-14T06:32:04.897,11115412.69442731
5.44e-06,59.18948279,5.38e-06,5.65e-06,5.44e-06,4.98e-06,BTC-FUN,261.0,3405.0,5.52e-06,2017-09-14T06:32:46.2,11115412.69442731
5.44e-06,59.18948279,5.37e-06,5.65e-06,5.44e-06,4.98e-06,BTC-FUN,261.0,3405.0,5.52e-06,2017-09-14T06:33:28.127,11115412.69442731
5.44e-06,59.18948279,5.37e-06,5.65e-06,5.44e-06,4.98e-06,BTC-FUN,261.0,3405.0,5.52e-06,2017-09-14T06:33:28.127,11115412.69442731
5.44e-06,59.18948279,5.38e-06,5.65e-06,5.44e-06,4.98e-06,BTC-FUN,261.0,3405.0,5.52e-06,2017-09-14T06:34:11.553,11115412.69442731
5.44e-06,59.18948279,5.37e-06,5.65e-06,5.44e-06,4.98e-06,BTC-FUN,261.0,3405.0,5.52e-06,2017-09-14T06:34:47.48,11115412.69442731
5.44e-06,59.18948279,5.38e-06,5.65e-06,5.44e-06,4.98e-06,BTC-FUN,261.0,3405.0,5.52e-06,2017-09-14T06:35:25.623,11115412.69442731
5.44e-06,59.18948279,5.38e-06,5.65e-06,5.44e-06,4.98e-06,BTC-FUN,261.0,3405.0,5.52e-06,2017-09-14T06:35:25.623,11115412.69442731
5.44e-06,59.18948279,5.37e-06,5.65e-06,5.44e-06,4.98e-06,BTC-FUN,261.0,3405.0,5.52e-06,2017-09-14T06:36:09.05,11115412.69442731
5.44e-06,59.18948279,5.37e-06,5.65e-06,5.44e-06,4.98e-06,BTC-FUN,261.0,3405.0,5.52e-06,2017-09-14T06:36:09.05,11115412.69442731
5.44e-06,59.18948279,5.38e-06,5.65e-06,5.44e-06,4.98e-06,BTC-FUN,261.0,3405.0,5.52e-06,2017-09-14T06:37:17.213,11115412.69442731
5.44e-06,59.18948279,5.37e-06,5.65e-06,5.44e-06,4.98e-06,BTC-FUN,261.0,3405.0,5.52e-06,2017-09-14T06:37:58.61,11115412.69442731
5.44e-06,59.18948279,5.37e-06,5.65e-06,5.44e-06,4.98e-06,BTC-FUN,261.0,3405.0,5.52e-06,2017-09-14T06:37:58.61,11115412.69442731
