Ask,BaseVolume,Bid,High,Last,Low,Market,OpenBuyOrders,OpenSellOrders,PrevDay,TimeStamp,Volume
9.93e-06,20.57003451,9.92e-06,1.206e-05,9.93e-06,9.53e-06,BTC-GCR,121.0,3325.0,9.79e-06,2017-09-14T06:22:55.86,1892288.43473729
9.93e-06,20.57003451,9.92e-06,1.206e-05,9.93e-06,9.53e-06,BTC-GCR,121.0,3325.0,9.79e-06,2017-09-14T06:22:55.86,1892288.43473729
9.93e-06,20.57003451,9.92e-06,1.206e-05,9.93e-06,9.53e-06,BTC-GCR,121.0,3325.0,9.79e-06,2017-09-14T06:22:55.86,1892288.43473729
9.93e-06,20.57003451,9.92e-06,1.206e-05,9.93e-06,9.53e-06,BTC-GCR,121.0,3325.0,9.79e-06,2017-09-14T06:22:55.86,1892288.43473729
9.93e-06,20.57003451,9.92e-06,1.206e-05,9.93e-06,9.53e-06,BTC-GCR,121.0,3325.0,9.79e-06,2017-09-14T06:22:55.86,1892288.43473729
9.93e-06,20.57003451,9.92e-06,1.206e-05,9.93e-06,9.53e-06,BTC-GCR,121.0,3325.0,9.79e-06,2017-09-14T06:22:55.86,1892288.43473729
9.93e-06,20.57003451,9.92e-06,1.206e-05,9.93e-06,9.53e-06,BTC-GCR,121.0,3325.0,9.79e-06,2017-09-14T06:22:55.86,1892288.43473729
9.93e-06,20.57003451,9.92e-06,1.206e-05,9.93e-06,9.53e-06,BTC-GCR,121.0,3325.0,9.79e-06,2017-09-14T06:22:55.86,1892288.43473729
9.93e-06,20.57003451,9.92e-06,1.206e-05,9.93e-06,9.53e-06,BTC-GCR,121.0,3325.0,9.79e-06,2017-09-14T06:22:55.86,1892288.43473729
9.93e-06,20.55923947,9.92e-06,1.206e-05,9.93e-06,9.53e-06,BTC-GCR,124.0,3313.0,9.67e-06,2017-09-14T06:27:57.053,1891136.54487683
9.93e-06,20.55923947,9.92e-06,1.206e-05,9.93e-06,9.53e-06,BTC-GCR,124.0,3313.0,9.67e-06,2017-09-14T06:27:57.053,1891136.54487683
9.93e-06,20.55923947,9.92e-06,1.206e-05,9.93e-06,9.53e-06,BTC-GCR,124.0,3313.0,9.67e-06,2017-09-14T06:27:57.053,1891136.54487683
9.93e-06,20.55923947,9.92e-06,1.206e-05,9.93e-06,9.53e-06,BTC-GCR,124.0,3313.0,9.67e-06,2017-09-14T06:27:57.053,1891136.54487683
9.93e-06,20.55923947,9.92e-06,1.206e-05,9.93e-06,9.53e-06,BTC-GCR,124.0,3313.0,9.67e-06,2017-09-14T06:27:57.053,1891136.54487683
9.93e-06,20.55923947,9.92e-06,1.206e-05,9.93e-06,9.53e-06,BTC-GCR,124.0,3313.0,9.67e-06,2017-09-14T06:27:57.053,1891136.54487683
9.93e-06,20.55923947,9.92e-06,1.206e-05,9.93e-06,9.53e-06,BTC-GCR,124.0,3313.0,9.67e-06,2017-09-14T06:27:57.053,1891136.54487683
9.93e-06,20.55923947,9.92e-06,1.206e-05,9.93e-06,9.53e-06,BTC-GCR,124.0,3313.0,9.67e-06,2017-09-14T06:27:57.053,1891136.54487683
9.93e-06,20.55923947,9.92e-06,1.206e-05,9.93e-06,9.53e-06,BTC-GCR,124.0,3313.0,9.67e-06,2017-09-14T06:27:57.053,1891136.54487683
9.93e-06,20.55923947,9.92e-06,1.206e-05,9.93e-06,9.53e-06,BTC-GCR,124.0,3313.0,9.67e-06,2017-09-14T06:27:57.053,1891136.54487683
9.93e-06,20.55923947,9.92e-06,1.206e-05,9.93e-06,9.53e-06,BTC-GCR,124.0,3313.0,9.67e-06,2017-09-14T06:27:57.053,1891136.54487683
9.93e-06,20.55923947,9.92e-06,1.206e-05,9.93e-06,9.53e-06,BTC-GCR,124.0,3313.0,9.67e-06,2017-09-14T06:27:57.053,1891136.54487683
9.94e-06,20.60859619,9.92e-06,1.206e-05,9.93e-06,9.53e-06,BTC-GCR,124.0,3319.0,9.67e-06,2017-09-14T06:33:54.787,1896107.0109443
9.94e-06,20.60859619,9.92e-06,1.206e-05,9.93e-06,9.53e-06,BTC-GCR,124.0,3319.0,9.67e-06,2017-09-14T06:33:54.787,1896107.0109443
1.008e-05,20.80825526,9.92e-06,1.206e-05,1.009e-05,9.53e-06,BTC-GCR,124.0,3281.0,9.67e-06,2017-09-14T06:34:54.247,1915959.40186067
1.008e-05,20.80825526,9.93e-06,1.206e-05,1.009e-05,9.53e-06,BTC-GCR,124.0,3281.0,9.67e-06,2017-09-14T06:35:26.75,1915959.40186067
1.008e-05,20.80825526,9.93e-06,1.206e-05,1.009e-05,9.53e-06,BTC-GCR,124.0,3281.0,9.67e-06,2017-09-14T06:35:26.75,1915959.40186067
1.009e-05,20.80825526,9.93e-06,1.206e-05,1.009e-05,9.53e-06,BTC-GCR,124.0,3281.0,9.67e-06,2017-09-14T06:36:15.753,1915959.40186067
1.009e-05,20.80825526,9.93e-06,1.206e-05,1.009e-05,9.53e-06,BTC-GCR,124.0,3281.0,9.67e-06,2017-09-14T06:36:15.753,1915959.40186067
1.009e-05,20.80825526,9.95e-06,1.206e-05,1.009e-05,9.53e-06,BTC-GCR,124.0,3281.0,9.67e-06,2017-09-14T06:37:13.98,1915959.40186067
1.009e-05,20.80825526,9.95e-06,1.206e-05,1.009e-05,9.53e-06,BTC-GCR,124.0,3281.0,9.67e-06,2017-09-14T06:37:13.98,1915959.40186067
1.009e-05,20.80825526,9.95e-06,1.206e-05,1.009e-05,9.53e-06,BTC-GCR,124.0,3281.0,9.67e-06,2017-09-14T06:37:13.98,1915959.40186067
1.009e-05,20.80825526,9.95e-06,1.206e-05,1.009e-05,9.53e-06,BTC-GCR,124.0,3281.0,9.67e-06,2017-09-14T06:37:13.98,1915959.40186067
1.009e-05,20.80825526,9.95e-06,1.206e-05,1.009e-05,9.53e-06,BTC-GCR,124.0,3281.0,9.67e-06,2017-09-14T06:37:13.98,1915959.40186067
1.009e-05,20.80825526,9.95e-06,1.206e-05,1.009e-05,9.53e-06,BTC-GCR,124.0,3281.0,9.67e-06,2017-09-14T06:37:13.98,1915959.40186067
1.009e-05,20.80825526,9.95e-06,1.206e-05,1.009e-05,9.53e-06,BTC-GCR,124.0,3281.0,9.67e-06,2017-09-14T06:37:13.98,1915959.40186067
1.009e-05,20.80825526,9.95e-06,1.206e-05,1.009e-05,9.53e-06,BTC-GCR,124.0,3281.0,9.67e-06,2017-09-14T06:37:13.98,1915959.40186067
1.009e-05,20.80825526,9.95e-06,1.206e-05,1.009e-05,9.53e-06,BTC-GCR,124.0,3281.0,9.67e-06,2017-09-14T06:37:13.98,1915959.40186067
1.009e-05,20.80825526,9.95e-06,1.206e-05,1.009e-05,9.53e-06,BTC-GCR,124.0,3281.0,9.67e-06,2017-09-14T06:37:13.98,1915959.40186067
1.009e-05,20.80825526,9.95e-06,1.206e-05,1.009e-05,9.53e-06,BTC-GCR,124.0,3281.0,9.67e-06,2017-09-14T06:37:13.98,1915959.40186067
1.009e-05,20.80825526,9.95e-06,1.206e-05,1.009e-05,9.53e-06,BTC-GCR,124.0,3281.0,9.67e-06,2017-09-14T06:37:13.98,1915959.40186067
1.009e-05,20.81823025,9.95e-06,1.206e-05,1.009e-05,9.53e-06,BTC-GCR,128.0,3281.0,9.67e-06,2017-09-14T06:43:40.727,1916948.00443748
1.009e-05,20.81823025,9.95e-06,1.206e-05,1.009e-05,9.53e-06,BTC-GCR,128.0,3281.0,9.67e-06,2017-09-14T06:43:40.727,1916948.00443748
1.009e-05,20.81823025,9.95e-06,1.206e-05,1.009e-05,9.53e-06,BTC-GCR,128.0,3281.0,9.67e-06,2017-09-14T06:43:40.727,1916948.00443748
1.009e-05,20.81823025,9.95e-06,1.206e-05,1.009e-05,9.53e-06,BTC-GCR,128.0,3281.0,9.67e-06,2017-09-14T06:43:40.727,1916948.00443748
1.009e-05,20.81823025,9.95e-06,1.206e-05,1.009e-05,9.53e-06,BTC-GCR,128.0,3281.0,9.67e-06,2017-09-14T06:43:40.727,1916948.00443748
1.009e-05,20.81823025,9.95e-06,1.206e-05,1.009e-05,9.53e-06,BTC-GCR,128.0,3281.0,9.67e-06,2017-09-14T06:43:40.727,1916948.00443748
1.009e-05,20.81823025,9.95e-06,1.206e-05,1.009e-05,9.53e-06,BTC-GCR,128.0,3281.0,9.67e-06,2017-09-14T06:43:40.727,1916948.00443748
1.009e-05,20.81823025,9.95e-06,1.206e-05,1.009e-05,9.53e-06,BTC-GCR,128.0,3281.0,9.67e-06,2017-09-14T06:43:40.727,1916948.00443748
1.009e-05,20.81823025,9.95e-06,1.206e-05,1.009e-05,9.53e-06,BTC-GCR,128.0,3281.0,9.67e-06,2017-09-14T06:43:40.727,1916948.00443748
1.009e-05,20.81823025,9.95e-06,1.206e-05,1.009e-05,9.53e-06,BTC-GCR,128.0,3281.0,9.67e-06,2017-09-14T06:43:40.727,1916948.00443748
1.009e-05,20.81823025,9.95e-06,1.206e-05,1.009e-05,9.53e-06,BTC-GCR,128.0,3281.0,9.67e-06,2017-09-14T06:43:40.727,1916948.00443748
1.009e-05,20.81823025,9.95e-06,1.206e-05,1.009e-05,9.53e-06,BTC-GCR,128.0,3281.0,9.67e-06,2017-09-14T06:43:40.727,1916948.00443748
1.009e-05,20.81823025,9.95e-06,1.206e-05,1.009e-05,9.53e-06,BTC-GCR,128.0,3281.0,9.67e-06,2017-09-14T06:43:40.727,1916948.00443748
1.009e-05,20.81823025,9.96e-06,1.206e-05,1.009e-05,9.53e-06,BTC-GCR,128.0,3281.0,9.67e-06,2017-09-14T06:50:23.39,1916948.00443748
1.009e-05,20.83818025,9.96e-06,1.206e-05,1.009e-05,9.53e-06,BTC-GCR,126.0,3282.0,9.67e-06,2017-09-14T06:50:45.55,1918925.2095911
1.009e-05,20.83818025,9.95e-06,1.206e-05,1.009e-05,9.53e-06,BTC-GCR,126.0,3282.0,9.67e-06,2017-09-14T06:51:09.833,1918925.2095911
1.009e-05,20.83818025,9.95e-06,1.206e-05,1.009e-05,9.53e-06,BTC-GCR,126.0,3282.0,9.67e-06,2017-09-14T06:51:09.833,1918925.2095911
1.009e-05,20.83818025,1e-05,1.206e-05,1.009e-05,9.53e-06,BTC-GCR,126.0,3282.0,9.67e-06,2017-09-14T06:51:56.167,1918925.2095911
1.009e-05,20.83818025,1e-05,1.206e-05,1.009e-05,9.53e-06,BTC-GCR,126.0,3282.0,9.67e-06,2017-09-14T06:51:56.167,1918925.2095911
1.009e-05,20.83818025,1.001e-05,1.206e-05,1.009e-05,9.53e-06,BTC-GCR,126.0,3282.0,9.67e-06,2017-09-14T06:53:13.737,1918925.2095911
1.009e-05,20.83818025,1.001e-05,1.206e-05,1.009e-05,9.53e-06,BTC-GCR,126.0,3282.0,9.67e-06,2017-09-14T06:53:13.737,1918925.2095911
1.009e-05,20.83818025,1.001e-05,1.206e-05,1.009e-05,9.53e-06,BTC-GCR,126.0,3282.0,9.67e-06,2017-09-14T06:53:13.737,1918925.2095911
1.009e-05,20.85813025,1.001e-05,1.206e-05,1.009e-05,9.53e-06,BTC-GCR,129.0,3283.0,9.67e-06,2017-09-14T06:54:33.027,1920902.41474472
1.009e-05,20.85813025,1.002e-05,1.206e-05,1.009e-05,9.53e-06,BTC-GCR,129.0,3283.0,9.67e-06,2017-09-14T06:55:06.2,1920902.41474472
1.009e-05,20.85813025,1.002e-05,1.206e-05,1.009e-05,9.53e-06,BTC-GCR,129.0,3283.0,9.67e-06,2017-09-14T06:55:06.2,1920902.41474472
1.009e-05,20.85813025,1.002e-05,1.206e-05,1.009e-05,9.53e-06,BTC-GCR,129.0,3283.0,9.67e-06,2017-09-14T06:55:06.2,1920902.41474472
1.009e-05,20.85813025,1.002e-05,1.206e-05,1.009e-05,9.53e-06,BTC-GCR,129.0,3283.0,9.67e-06,2017-09-14T06:55:06.2,1920902.41474472
1.002e-05,20.85913024,1e-05,1.206e-05,1.002e-05,9.53e-06,BTC-GCR,129.0,3282.0,9.67e-06,2017-09-14T06:56:42.693,1921002.21514392
