Ask,BaseVolume,Bid,High,Last,Low,Market,OpenBuyOrders,OpenSellOrders,PrevDay,TimeStamp,Volume
6.911e-05,218.83303827,6.848e-05,7.059e-05,6.848e-05,6.45e-05,BTC-GNT,661.0,9706.0,6.671e-05,2017-09-14T06:23:18.033,3236150.76849556
6.899e-05,218.83303827,6.852e-05,7.059e-05,6.848e-05,6.45e-05,BTC-GNT,661.0,9706.0,6.671e-05,2017-09-14T06:24:07.167,3236150.76849556
6.9e-05,218.83303827,6.852e-05,7.059e-05,6.848e-05,6.45e-05,BTC-GNT,661.0,9706.0,6.671e-05,2017-09-14T06:24:28.78,3236150.76849556
6.852e-05,218.56089642,6.848e-05,7.059e-05,6.852e-05,6.45e-05,BTC-GNT,660.0,9706.0,6.723e-05,2017-09-14T06:24:45.92,3232080.0143235
6.9e-05,218.60152931,6.852e-05,7.059e-05,6.852e-05,6.45e-05,BTC-GNT,660.0,9706.0,6.723e-05,2017-09-14T06:25:21.223,3232673.02220441
6.885e-05,218.61880783,6.852e-05,7.059e-05,6.852e-05,6.45e-05,BTC-GNT,660.0,9706.0,6.723e-05,2017-09-14T06:26:04.18,3232925.18987141
6.867e-05,218.61880783,6.852e-05,7.059e-05,6.852e-05,6.45e-05,BTC-GNT,660.0,9706.0,6.723e-05,2017-09-14T06:26:29.53,3232925.18987141
6.867e-05,218.62466199,6.852e-05,7.059e-05,6.852e-05,6.45e-05,BTC-GNT,661.0,9706.0,6.731e-05,2017-09-14T06:27:03,3233010.36519268
6.885e-05,218.60411096,6.848e-05,7.059e-05,6.848e-05,6.45e-05,BTC-GNT,661.0,9705.0,6.731e-05,2017-09-14T06:27:29.457,3232703.39652631
6.868e-05,218.60411096,6.848e-05,7.059e-05,6.848e-05,6.45e-05,BTC-GNT,661.0,9705.0,6.731e-05,2017-09-14T06:28:01.413,3232703.39652631
6.865e-05,218.60411096,6.848e-05,7.059e-05,6.848e-05,6.45e-05,BTC-GNT,661.0,9705.0,6.731e-05,2017-09-14T06:28:07.243,3232703.39652631
6.864e-05,218.63722864,6.848e-05,7.059e-05,6.848e-05,6.45e-05,BTC-GNT,663.0,9705.0,6.724e-05,2017-09-14T06:29:05.877,3233186.71274948
6.873e-05,218.65861633,6.848e-05,7.059e-05,6.848e-05,6.45e-05,BTC-GNT,663.0,9708.0,6.724e-05,2017-09-14T06:29:33.707,3233499.03312703
6.866e-05,218.65861633,6.848e-05,7.059e-05,6.848e-05,6.45e-05,BTC-GNT,663.0,9708.0,6.724e-05,2017-09-14T06:29:46.507,3233499.03312703
6.866e-05,218.65862642,6.848e-05,7.059e-05,6.866e-05,6.45e-05,BTC-GNT,666.0,9704.0,6.724e-05,2017-09-14T06:30:08.18,3233499.18016915
6.866e-05,218.65862642,6.848e-05,7.059e-05,6.866e-05,6.45e-05,BTC-GNT,666.0,9704.0,6.724e-05,2017-09-14T06:30:08.18,3233499.18016915
6.885e-05,218.80356042,6.849e-05,7.059e-05,6.884e-05,6.45e-05,BTC-GNT,667.0,9703.0,6.73e-05,2017-09-14T06:31:26.267,3235606.64365881
6.885e-05,218.80356042,6.849e-05,7.059e-05,6.884e-05,6.45e-05,BTC-GNT,667.0,9703.0,6.73e-05,2017-09-14T06:31:26.267,3235606.64365881
6.885e-05,218.80356042,6.849e-05,7.059e-05,6.884e-05,6.45e-05,BTC-GNT,667.0,9703.0,6.73e-05,2017-09-14T06:31:26.267,3235606.64365881
6.884e-05,218.80356042,6.849e-05,7.059e-05,6.884e-05,6.45e-05,BTC-GNT,667.0,9703.0,6.73e-05,2017-09-14T06:32:26.587,3235606.64365881
6.885e-05,218.80356042,6.849e-05,7.059e-05,6.884e-05,6.45e-05,BTC-GNT,667.0,9703.0,6.73e-05,2017-09-14T06:33:27.297,3235606.64365881
6.885e-05,218.80356042,6.849e-05,7.059e-05,6.884e-05,6.45e-05,BTC-GNT,667.0,9703.0,6.73e-05,2017-09-14T06:33:27.297,3235606.64365881
6.850000000000001e-05,218.72505196,6.848e-05,7.059e-05,6.850000000000001e-05,6.45e-05,BTC-GNT,668.0,9708.0,6.724e-05,2017-09-14T06:34:08.583,3234433.55654489
6.850000000000001e-05,218.72505196,6.849e-05,7.059e-05,6.850000000000001e-05,6.45e-05,BTC-GNT,668.0,9708.0,6.724e-05,2017-09-14T06:34:49.323,3234433.55654489
6.885e-05,218.57160116,6.849e-05,7.059e-05,6.850000000000001e-05,6.45e-05,BTC-GNT,667.0,9705.0,6.728e-05,2017-09-14T06:35:21.843,3232148.07141344
6.848e-05,218.95920092,6.843e-05,7.059e-05,6.848e-05,6.45e-05,BTC-GNT,663.0,9708.0,6.728e-05,2017-09-14T06:36:02.597,3237808.07096585
6.848e-05,219.0448194,6.844e-05,7.059e-05,6.848e-05,6.45e-05,BTC-GNT,661.0,9707.0,6.728e-05,2017-09-14T06:36:20.85,3239058.34095302
6.848e-05,219.04481940000002,6.844e-05,7.059e-05,6.848e-05,6.45e-05,BTC-GNT,661.0,9707.0,6.728e-05,2017-09-14T06:36:20.647,3239058.34095302
6.848e-05,219.05466311,6.844e-05,7.059e-05,6.848e-05,6.45e-05,BTC-GNT,659.0,9704.0,6.724e-05,2017-09-14T06:37:14.997,3239201.08125306
6.848e-05,219.0812091,6.844e-05,7.059e-05,6.848e-05,6.45e-05,BTC-GNT,660.0,9705.0,6.724e-05,2017-09-14T06:37:57.5,3239588.72720826
6.848e-05,219.0812091,6.844e-05,7.059e-05,6.848e-05,6.45e-05,BTC-GNT,660.0,9705.0,6.724e-05,2017-09-14T06:37:57.5,3239588.72720826
6.848e-05,219.0812091,6.844e-05,7.059e-05,6.848e-05,6.45e-05,BTC-GNT,660.0,9705.0,6.724e-05,2017-09-14T06:37:57.453,3239588.72720826
6.848e-05,218.95993462,6.844e-05,7.059e-05,6.848e-05,6.45e-05,BTC-GNT,662.0,9710.0,6.724e-05,2017-09-14T06:39:24.9,3237771.75475778
6.848e-05,218.98046513,6.843e-05,7.059e-05,6.843e-05,6.45e-05,BTC-GNT,662.0,9710.0,6.724e-05,2017-09-14T06:39:43.577,3238071.75475778
6.847e-05,218.98046513,6.843e-05,7.059e-05,6.843e-05,6.45e-05,BTC-GNT,662.0,9710.0,6.724e-05,2017-09-14T06:40:12.313,3238071.75475778
6.847e-05,218.98046513,6.843e-05,7.059e-05,6.843e-05,6.45e-05,BTC-GNT,662.0,9710.0,6.724e-05,2017-09-14T06:40:12.313,3238071.75475778
6.847e-05,218.98046513,6.843e-05,7.059e-05,6.843e-05,6.45e-05,BTC-GNT,662.0,9710.0,6.724e-05,2017-09-14T06:40:12.313,3238071.75475778
6.847e-05,218.98046513,6.843e-05,7.059e-05,6.843e-05,6.45e-05,BTC-GNT,662.0,9710.0,6.724e-05,2017-09-14T06:40:12.313,3238071.75475778
6.847e-05,218.98046513,6.843e-05,7.059e-05,6.843e-05,6.45e-05,BTC-GNT,662.0,9710.0,6.724e-05,2017-09-14T06:40:12.313,3238071.75475778
6.843e-05,218.29693462,6.801e-05,7.059e-05,6.843e-05,6.45e-05,BTC-GNT,664.0,9709.0,6.724e-05,2017-09-14T06:42:40.547,3227903.15670599
6.843e-05,218.29239742,6.792e-05,7.059e-05,6.8e-05,6.45e-05,BTC-GNT,665.0,9709.0,6.714e-05,2017-09-14T06:43:56.993,3227827.27310221
6.843e-05,218.29300863,6.8e-05,7.059e-05,6.8e-05,6.45e-05,BTC-GNT,668.0,9709.0,6.714e-05,2017-09-14T06:44:04.79,3227836.26153577
6.843e-05,218.29300863,6.8e-05,7.059e-05,6.8e-05,6.45e-05,BTC-GNT,668.0,9709.0,6.714e-05,2017-09-14T06:44:04.79,3227836.26153577
6.843e-05,218.29300863,6.8e-05,7.059e-05,6.8e-05,6.45e-05,BTC-GNT,668.0,9709.0,6.714e-05,2017-09-14T06:44:04.79,3227836.26153577
6.843e-05,218.29300863,6.8e-05,7.059e-05,6.8e-05,6.45e-05,BTC-GNT,668.0,9709.0,6.714e-05,2017-09-14T06:44:04.79,3227836.26153577
6.843e-05,218.29300863,6.8e-05,7.059e-05,6.8e-05,6.45e-05,BTC-GNT,668.0,9709.0,6.714e-05,2017-09-14T06:44:04.79,3227836.26153577
6.843e-05,218.29300863,6.8e-05,7.059e-05,6.8e-05,6.45e-05,BTC-GNT,668.0,9709.0,6.714e-05,2017-09-14T06:44:04.79,3227836.26153577
6.843e-05,218.29300863,6.8e-05,7.059e-05,6.8e-05,6.45e-05,BTC-GNT,668.0,9709.0,6.714e-05,2017-09-14T06:44:04.79,3227836.26153577
6.843e-05,218.29300863,6.8e-05,7.059e-05,6.8e-05,6.45e-05,BTC-GNT,668.0,9709.0,6.714e-05,2017-09-14T06:44:04.79,3227836.26153577
