Ask,BaseVolume,Bid,High,Last,Low,Market,OpenBuyOrders,OpenSellOrders,PrevDay,TimeStamp,Volume
2.626e-05,16.72247225,2.553e-05,2.8300000000000014e-05,2.6000000000000002e-05,2.224e-05,BTC-GOLOS,177.0,1956.0,2.788e-05,2017-09-14T05:01:56.357,688448.95628138
2.626e-05,16.72247225,2.553e-05,2.8300000000000014e-05,2.6e-05,2.224e-05,BTC-GOLOS,177.0,1956.0,2.788e-05,2017-09-14T05:01:56.357,688448.95628138
2.626e-05,16.72247225,2.553e-05,2.8300000000000014e-05,2.6000000000000002e-05,2.224e-05,BTC-GOLOS,177.0,1956.0,2.788e-05,2017-09-14T05:01:56.357,688448.95628138
2.626e-05,16.72247225,2.553e-05,2.8300000000000014e-05,2.6e-05,2.224e-05,BTC-GOLOS,177.0,1956.0,2.788e-05,2017-09-14T05:01:56.357,688448.95628138
2.626e-05,16.70911622,2.554e-05,2.829e-05,2.6000000000000002e-05,2.224e-05,BTC-GOLOS,245.0,1981.0,2.8300000000000014e-05,2017-09-14T05:45:18.58,687977.01153845
2.623e-05,16.71061621,2.555e-05,2.829e-05,2.554e-05,2.224e-05,BTC-GOLOS,211.0,1980.0,2.8300000000000014e-05,2017-09-14T05:45:51.85,688035.74294017
2.619e-05,16.75497205,2.553e-05,2.829e-05,2.555e-05,2.224e-05,BTC-GOLOS,211.0,1981.0,2.8300000000000014e-05,2017-09-14T05:46:13.09,689771.78365369
2.618e-05,16.75497205,2.553e-05,2.829e-05,2.555e-05,2.224e-05,BTC-GOLOS,211.0,1981.0,2.8300000000000014e-05,2017-09-14T05:46:17.607,689771.78365369
2.616e-05,16.75497205,2.553e-05,2.829e-05,2.555e-05,2.224e-05,BTC-GOLOS,211.0,1981.0,2.8300000000000014e-05,2017-09-14T05:47:01.41,689771.78365369
2.616e-05,16.75497205,2.553e-05,2.829e-05,2.555e-05,2.224e-05,BTC-GOLOS,211.0,1981.0,2.8300000000000014e-05,2017-09-14T05:47:01.41,689771.78365369
2.62e-05,16.75497205,2.553e-05,2.829e-05,2.555e-05,2.224e-05,BTC-GOLOS,211.0,1981.0,2.8300000000000014e-05,2017-09-14T05:47:53.2,689771.78365369
2.625e-05,16.75497205,2.553e-05,2.829e-05,2.555e-05,2.224e-05,BTC-GOLOS,211.0,1981.0,2.8300000000000014e-05,2017-09-14T05:48:19.3,689771.78365369
