Ask,BaseVolume,Bid,High,Last,Low,Market,OpenBuyOrders,OpenSellOrders,PrevDay,TimeStamp,Volume
7.95e-06,130.04716414,7.9e-06,1.19e-05,7.95e-06,7.36e-06,BTC-GRC,263.0,2814.0,7.52e-06,2017-09-14T06:23:20.677,13884863.77568785
7.95e-06,130.07123435,7.92e-06,1.1900000000000001e-05,7.92e-06,7.36e-06,BTC-GRC,262.0,2816.0,7.52e-06,2017-09-14T06:23:59.023,13887893.77889343
7.98e-06,130.02467252,7.93e-06,1.19e-05,7.95e-06,7.36e-06,BTC-GRC,260.0,2816.0,7.52e-06,2017-09-14T06:24:14.103,13881412.64377022
8e-06,130.02531092,7.98e-06,1.1900000000000001e-05,7.98e-06,7.36e-06,BTC-GRC,263.0,2818.0,7.52e-06,2017-09-14T06:25:00.25,13881492.64377022
8.03e-06,130.17543699,8e-06,1.19e-05,8e-06,7.36e-06,BTC-GRC,261.0,2815.0,7.52e-06,2017-09-14T06:25:32.553,13900217.0668645
8.09e-06,130.27226779,8e-06,1.1900000000000001e-05,8e-06,7.36e-06,BTC-GRC,260.0,2814.0,7.52e-06,2017-09-14T06:25:55.883,13912277.72788312
8.08e-06,130.28194007,8e-06,1.19e-05,8e-06,7.36e-06,BTC-GRC,264.0,2817.0,7.52e-06,2017-09-14T06:26:31.98,13913486.7638932
8.05e-06,130.28194007,8e-06,1.1900000000000001e-05,8e-06,7.36e-06,BTC-GRC,264.0,2817.0,7.52e-06,2017-09-14T06:26:50.547,13913486.7638932
8.08e-06,130.28994007,8e-06,1.19e-05,8e-06,7.36e-06,BTC-GRC,263.0,2816.0,7.52e-06,2017-09-14T06:27:17.66,13914486.7638932
8.09e-06,130.3418391,8.08e-06,1.1900000000000001e-05,8.08e-06,7.36e-06,BTC-GRC,263.0,2816.0,7.52e-06,2017-09-14T06:28:04.29,13920909.91297334
8.1e-06,130.3586667,8.08e-06,1.19e-05,8.08e-06,7.36e-06,BTC-GRC,264.0,2815.0,7.52e-06,2017-09-14T06:28:38.607,13922990.70510411
8.1e-06,130.36453119,8.09e-06,1.1900000000000001e-05,8.09e-06,7.36e-06,BTC-GRC,266.0,2816.0,7.52e-06,2017-09-14T06:29:06.297,13923716.35321939
8.1e-06,130.37570203,8.09e-06,1.19e-05,8.09e-06,7.36e-06,BTC-GRC,266.0,2816.0,7.52e-06,2017-09-14T06:29:33.393,13925097.17569334
8.1e-06,130.43371677,8.08e-06,1.1900000000000001e-05,8.09e-06,7.36e-06,BTC-GRC,264.0,2816.0,7.52e-06,2017-09-14T06:29:39.083,13932268.344165899
8.11e-06,130.56766288,8.1e-06,1.19e-05,8.1e-06,7.36e-06,BTC-GRC,265.0,2812.0,7.52e-06,2017-09-14T06:30:31.043,13948806.38258336
8.11e-06,130.61801229,8.09e-06,1.1900000000000001e-05,8.09e-06,7.36e-06,BTC-GRC,264.0,2802.0,7.52e-06,2017-09-14T06:31:01.297,13955019.39531428
8.11e-06,130.78383222,8.09e-06,1.19e-05,8.09e-06,7.36e-06,BTC-GRC,264.0,2801.0,7.52e-06,2017-09-14T06:31:12.127,13975516.29667142
8.11e-06,130.78383222,8.1e-06,1.1900000000000001e-05,8.09e-06,7.36e-06,BTC-GRC,264.0,2801.0,7.52e-06,2017-09-14T06:31:34.253,13975516.29667142
8.11e-06,130.78383222,8.1e-06,1.19e-05,8.09e-06,7.36e-06,BTC-GRC,264.0,2801.0,7.52e-06,2017-09-14T06:31:34.253,13975516.29667142
8.11e-06,131.00536191,8.1e-06,1.1900000000000001e-05,8.11e-06,7.36e-06,BTC-GRC,264.0,2785.0,7.52e-06,2017-09-14T06:32:45.51,14002840.03493377
8.11e-06,131.00755498,8.1e-06,1.19e-05,8.1e-06,7.36e-06,BTC-GRC,265.0,2786.0,7.52e-06,2017-09-14T06:33:06.89,14003110.78514963
8.11e-06,131.00755498,8.1e-06,1.1900000000000001e-05,8.1e-06,7.36e-06,BTC-GRC,265.0,2786.0,7.52e-06,2017-09-14T06:33:06.89,14003110.78514963
8.11e-06,131.10277625,8.1e-06,1.19e-05,8.11e-06,7.36e-06,BTC-GRC,264.0,2786.0,7.52e-06,2017-09-14T06:34:17.63,14014852.00342028
8.12e-06,131.50014604,8.11e-06,1.1900000000000001e-05,8.11e-06,7.36e-06,BTC-GRC,265.0,2786.0,7.53e-06,2017-09-14T06:34:55.213,14063797.96488825
8.12e-06,131.74151079,8.11e-06,1.19e-05,8.12e-06,7.36e-06,BTC-GRC,264.0,2788.0,7.53e-06,2017-09-14T06:35:30.5,14093522.68850894
8.12e-06,132.36882403,8.11e-06,1.1900000000000001e-05,8.12e-06,7.36e-06,BTC-GRC,264.0,2787.0,7.53e-06,2017-09-14T06:35:43.813,14170778.01717062
8.12e-06,132.36882403,8.11e-06,1.19e-05,8.12e-06,7.36e-06,BTC-GRC,264.0,2787.0,7.53e-06,2017-09-14T06:35:43.813,14170778.01717062
8.12e-06,132.36882403,8.11e-06,1.1900000000000001e-05,8.12e-06,7.36e-06,BTC-GRC,264.0,2787.0,7.53e-06,2017-09-14T06:35:43.813,14170778.01717062
8.12e-06,132.9093848,8.11e-06,1.19e-05,8.12e-06,7.36e-06,BTC-GRC,264.0,2789.0,7.53e-06,2017-09-14T06:37:31.043,14237349.54328538
