Ask,BaseVolume,Bid,High,Last,Low,Market,OpenBuyOrders,OpenSellOrders,PrevDay,TimeStamp,Volume
3.9899999999999994e-05,202.36841204,3.950000000000001e-05,4.8899999999999996e-05,3.9899999999999994e-05,3.950000000000001e-05,BTC-GRS,470.0,1933.0,4.113e-05,2017-09-14T05:43:16.197,4567455.58588977
3.991e-05,202.37381503,3.99e-05,4.89e-05,3.99e-05,3.950000000000001e-05,BTC-GRS,478.0,1932.0,4.114e-05,2017-09-14T05:43:44.39,4567605.62177441
3.992e-05,202.39830029,3.991e-05,4.8899999999999996e-05,3.991e-05,3.950000000000001e-05,BTC-GRS,479.0,1931.0,4.114e-05,2017-09-14T05:44:20.067,4568219.13408017
4.001e-05,202.59896375,3.992e-05,4.89e-05,3.992e-05,3.950000000000001e-05,BTC-GRS,480.0,1929.0,4.114e-05,2017-09-14T05:44:48.667,4573245.77396034
4.001e-05,202.6008438,3.992e-05,4.8899999999999996e-05,4.001e-05,3.950000000000001e-05,BTC-GRS,476.0,1929.0,4.114e-05,2017-09-14T05:45:07.92,4573292.76366479
4.013e-05,202.60084851,3.992e-05,4.89e-05,4.001e-05,3.950000000000001e-05,BTC-GRS,477.0,1928.0,4.114e-05,2017-09-14T05:45:33.207,4573292.88139836
4.013e-05,202.60084851,4.001e-05,4.8899999999999996e-05,4.001e-05,3.950000000000001e-05,BTC-GRS,477.0,1928.0,4.114e-05,2017-09-14T05:46:06.027,4573292.88139836
4.013e-05,202.81660832,4.001e-05,4.89e-05,4.001e-05,3.950000000000001e-05,BTC-GRS,474.0,1928.0,4.114e-05,2017-09-14T05:46:35.5,4578669.54408931
4.013e-05,202.81660832,4.005e-05,4.8899999999999996e-05,4.001e-05,3.950000000000001e-05,BTC-GRS,474.0,1928.0,4.114e-05,2017-09-14T05:46:53.69,4578669.54408931
4.014e-05,202.84162608,4.013e-05,4.89e-05,4.013e-05,3.950000000000001e-05,BTC-GRS,467.0,1927.0,4.114e-05,2017-09-14T05:47:17.553,4579292.96229191
4.032e-05,202.93174735,4.016e-05,4.8899999999999996e-05,4.014e-05,3.950000000000001e-05,BTC-GRS,459.0,1927.0,4.114e-05,2017-09-14T05:47:40.7,4581538.13607809
4.032e-05,202.93174735,4.019e-05,4.89e-05,4.014e-05,3.950000000000001e-05,BTC-GRS,459.0,1927.0,4.114e-05,2017-09-14T05:48:07.923,4581538.13607809
4.032e-05,202.93174735,4.022e-05,4.8899999999999996e-05,4.014e-05,3.950000000000001e-05,BTC-GRS,459.0,1927.0,4.114e-05,2017-09-14T05:48:19.58,4581538.13607809
4.081e-05,202.93161933,4.033e-05,4.89e-05,4.032e-05,3.950000000000001e-05,BTC-GRS,427.0,1926.0,4.115e-05,2017-09-14T05:49:13.733,4581535.27750313
4.0799999999999996e-05,202.93161933,4.022e-05,4.8899999999999996e-05,4.032e-05,3.950000000000001e-05,BTC-GRS,427.0,1926.0,4.115e-05,2017-09-14T05:49:36.673,4581535.27750313
4.08e-05,202.93161933,4.05e-05,4.89e-05,4.032e-05,3.950000000000001e-05,BTC-GRS,427.0,1926.0,4.115e-05,2017-09-14T05:49:45.597,4581535.27750313
4.0799999999999996e-05,202.93161933,4.05e-05,4.8899999999999996e-05,4.032e-05,3.950000000000001e-05,BTC-GRS,427.0,1926.0,4.115e-05,2017-09-14T05:49:45.41,4581535.27750313
4.19e-05,203.37394682,4.15e-05,4.89e-05,4.1e-05,3.950000000000001e-05,BTC-GRS,425.0,1920.0,4.155e-05,2017-09-14T05:50:57.017,4592315.91407436
4.1899999999999995e-05,203.39462749,4.15e-05,4.8899999999999996e-05,4.15e-05,3.950000000000001e-05,BTC-GRS,424.0,1921.0,4.155e-05,2017-09-14T05:51:42.32,4592814.24372319
4.192e-05,203.40077798,4.19e-05,4.89e-05,4.19e-05,3.950000000000001e-05,BTC-GRS,425.0,1920.0,4.155e-05,2017-09-14T05:51:56.933,4592961.03358868
4.192e-05,203.40077798,4.1899999999999995e-05,4.8899999999999996e-05,4.1899999999999995e-05,3.950000000000001e-05,BTC-GRS,425.0,1920.0,4.155e-05,2017-09-14T05:51:56.933,4592961.03358868
4.192e-05,203.47778389,4.15e-05,4.89e-05,4.15e-05,3.950000000000001e-05,BTC-GRS,420.0,1919.0,4.155e-05,2017-09-14T05:53:04.29,4594807.82196645
4.192e-05,203.47778389,4.15e-05,4.8899999999999996e-05,4.15e-05,3.950000000000001e-05,BTC-GRS,420.0,1919.0,4.155e-05,2017-09-14T05:53:04.29,4594807.82196645
4.192e-05,203.47778389,4.17e-05,4.89e-05,4.15e-05,3.950000000000001e-05,BTC-GRS,420.0,1919.0,4.155e-05,2017-09-14T05:53:58.987,4594807.82196645
