Ask,BaseVolume,Bid,High,Last,Low,Market,OpenBuyOrders,OpenSellOrders,PrevDay,TimeStamp,Volume
6.13e-05,116.87232372,6.062e-05,6.427e-05,6.13e-05,5.820000000000001e-05,BTC-LBC,307.0,8572.0,6.12e-05,2017-09-14T05:01:58.2,1918690.81559919
6.13e-05,113.7973231,6.063e-05,6.427e-05,6.063e-05,5.820000000000001e-05,BTC-LBC,310.0,8570.0,6.111e-05,2017-09-14T05:43:59.94,1869326.06804998
6.13e-05,113.80590083,6.062e-05,6.427e-05,6.13e-05,5.820000000000001e-05,BTC-LBC,308.0,8574.0,6.123e-05,2017-09-14T05:44:24.77,1869465.95798388
6.131e-05,113.80590083,6.066e-05,6.427e-05,6.13e-05,5.820000000000001e-05,BTC-LBC,308.0,8574.0,6.123e-05,2017-09-14T05:44:51.37,1869465.95798388
6.125e-05,113.80590083,6.066e-05,6.427e-05,6.13e-05,5.820000000000001e-05,BTC-LBC,308.0,8574.0,6.123e-05,2017-09-14T05:45:19.58,1869465.95798388
6.139e-05,113.74649114,6.068e-05,6.427e-05,6.066e-05,5.820000000000001e-05,BTC-LBC,309.0,8574.0,6.111e-05,2017-09-14T05:45:52.757,1868494.18630022
6.133e-05,113.72173827,6.07e-05,6.427e-05,6.069e-05,5.820000000000001e-05,BTC-LBC,312.0,8574.0,6.113e-05,2017-09-14T05:46:15.387,1868089.92010245
6.126e-05,113.72347367,6.069e-05,6.427e-05,6.126e-05,5.820000000000001e-05,BTC-LBC,311.0,8576.0,6.113e-05,2017-09-14T05:46:43.533,1868118.24858828
6.119e-05,113.72347367,6.069e-05,6.427e-05,6.126e-05,5.820000000000001e-05,BTC-LBC,311.0,8576.0,6.113e-05,2017-09-14T05:47:07.427,1868118.24858828
6.13e-05,113.95503877,6.123e-05,6.427e-05,6.123e-05,5.820000000000001e-05,BTC-LBC,313.0,8573.0,6.117e-05,2017-09-14T05:47:17.273,1871901.63833908
6.13e-05,113.95503877,6.123e-05,6.427e-05,6.123e-05,5.820000000000001e-05,BTC-LBC,313.0,8573.0,6.117e-05,2017-09-14T05:47:17.273,1871901.63833908
6.13e-05,113.93208686,6.123e-05,6.427e-05,6.123e-05,5.820000000000001e-05,BTC-LBC,316.0,8572.0,6.11e-05,2017-09-14T05:48:11.8,1871526.08575332
6.13e-05,114.03323185,6.123e-05,6.427e-05,6.13e-05,5.820000000000001e-05,BTC-LBC,314.0,8571.0,6.11e-05,2017-09-14T05:48:34.617,1873176.08575332
6.13e-05,114.04331438,6.123e-05,6.427e-05,6.13e-05,5.820000000000001e-05,BTC-LBC,315.0,8571.0,6.11e-05,2017-09-14T05:49:13.64,1873340.56438301
6.13e-05,114.04331438,6.123e-05,6.427e-05,6.13e-05,5.820000000000001e-05,BTC-LBC,315.0,8571.0,6.11e-05,2017-09-14T05:49:13.64,1873340.56438301
6.122e-05,114.04471691,6.071e-05,6.427e-05,6.123e-05,5.820000000000001e-05,BTC-LBC,315.0,8571.0,6.11e-05,2017-09-14T05:50:04.883,1873363.47031242
6.122e-05,114.04471691,6.069e-05,6.427e-05,6.123e-05,5.820000000000001e-05,BTC-LBC,315.0,8571.0,6.11e-05,2017-09-14T05:50:09.523,1873363.47031242
6.122e-05,114.04471691,6.069e-05,6.427e-05,6.123e-05,5.820000000000001e-05,BTC-LBC,315.0,8571.0,6.11e-05,2017-09-14T05:50:09.93,1873363.47031242
6.122e-05,113.89086199,6.069e-05,6.427e-05,6.069e-05,5.820000000000001e-05,BTC-LBC,317.0,8574.0,6.0899999999999996e-05,2017-09-14T05:51:43.37,1870839.66093582
6.122e-05,113.89086199,6.069e-05,6.427e-05,6.069e-05,5.820000000000001e-05,BTC-LBC,317.0,8574.0,6.09e-05,2017-09-14T05:51:43.167,1870839.66093582
6.121e-05,113.89086199,6.069e-05,6.427e-05,6.069e-05,5.820000000000001e-05,BTC-LBC,317.0,8574.0,6.0899999999999996e-05,2017-09-14T05:52:18.22,1870839.66093582
6.121e-05,113.89086199,6.069e-05,6.427e-05,6.069e-05,5.820000000000001e-05,BTC-LBC,317.0,8574.0,6.09e-05,2017-09-14T05:52:18.22,1870839.66093582
6.121e-05,112.54565923,6.069e-05,6.427e-05,6.069e-05,5.820000000000001e-05,BTC-LBC,332.0,8575.0,6.071e-05,2017-09-14T05:53:49.03,1848718.969992
6.121e-05,112.54565923,6.069e-05,6.427e-05,6.069e-05,5.820000000000001e-05,BTC-LBC,332.0,8575.0,6.071e-05,2017-09-14T05:53:48.78,1848718.969992
6.121e-05,112.54565923,6.069e-05,6.427e-05,6.069e-05,5.820000000000001e-05,BTC-LBC,332.0,8575.0,6.071e-05,2017-09-14T05:53:48.78,1848718.969992
6.121e-05,112.54565923,6.071e-05,6.427e-05,6.069e-05,5.820000000000001e-05,BTC-LBC,332.0,8575.0,6.071e-05,2017-09-14T05:55:30.673,1848718.969992
6.121e-05,111.79480712,6.072e-05,6.427e-05,6.072e-05,5.820000000000001e-05,BTC-LBC,342.0,8573.0,6.093e-05,2017-09-14T05:55:58.383,1836367.57123465
6.12e-05,111.79480712,6.072e-05,6.427e-05,6.072e-05,5.820000000000001e-05,BTC-LBC,342.0,8573.0,6.093e-05,2017-09-14T05:56:56.22,1836367.57123465
6.122e-05,112.33275064,6.07e-05,6.427e-05,6.123e-05,5.820000000000001e-05,BTC-LBC,342.0,8570.0,6.057e-05,2017-09-14T05:57:43.917,1845158.74205822
6.123e-05,112.39753994,6.073e-05,6.427e-05,6.123e-05,5.820000000000001e-05,BTC-LBC,344.0,8571.0,6.057e-05,2017-09-14T05:58:12.687,1846213.95329953
6.123e-05,112.39753994,6.075e-05,6.427e-05,6.123e-05,5.820000000000001e-05,BTC-LBC,344.0,8571.0,6.057e-05,2017-09-14T05:58:16.92,1846213.95329953
6.122e-05,112.40772093,6.074e-05,6.427e-05,6.122e-05,5.820000000000001e-05,BTC-LBC,346.0,8572.0,6.057e-05,2017-09-14T05:59:14.23,1846380.25511236
6.122e-05,112.40126136,6.074e-05,6.427e-05,6.122e-05,5.820000000000001e-05,BTC-LBC,348.0,8572.0,6.057e-05,2017-09-14T05:59:54.767,1846270.37408509
6.122e-05,112.38851021,6.074e-05,6.427e-05,6.074e-05,5.820000000000001e-05,BTC-LBC,346.0,8570.0,6.089e-05,2017-09-14T06:00:23.507,1846061.06158946
6.121e-05,112.27399657,6.07e-05,6.427e-05,6.074e-05,5.820000000000001e-05,BTC-LBC,343.0,8573.0,6.058e-05,2017-09-14T06:01:19.64,1844193.19030772
6.12e-05,112.27399657,6.069e-05,6.427e-05,6.074e-05,5.820000000000001e-05,BTC-LBC,343.0,8573.0,6.058e-05,2017-09-14T06:01:25.36,1844193.19030772
6.12e-05,112.27399657,6.069e-05,6.427e-05,6.074e-05,5.820000000000001e-05,BTC-LBC,343.0,8573.0,6.058e-05,2017-09-14T06:01:25.36,1844193.19030772
6.12e-05,112.27399657,6.069e-05,6.427e-05,6.074e-05,5.820000000000001e-05,BTC-LBC,343.0,8573.0,6.058e-05,2017-09-14T06:01:25.36,1844193.19030772
6.12e-05,112.27399657,6.069e-05,6.427e-05,6.074e-05,5.820000000000001e-05,BTC-LBC,343.0,8573.0,6.058e-05,2017-09-14T06:01:25.36,1844193.19030772
6.12e-05,112.27399657,6.074e-05,6.427e-05,6.074e-05,5.820000000000001e-05,BTC-LBC,343.0,8573.0,6.058e-05,2017-09-14T06:04:16.213,1844193.19030772
6.12e-05,112.27399657,6.074e-05,6.427e-05,6.074e-05,5.820000000000001e-05,BTC-LBC,343.0,8573.0,6.058e-05,2017-09-14T06:04:16.213,1844193.19030772
6.12e-05,112.27399657,6.074e-05,6.427e-05,6.074e-05,5.820000000000001e-05,BTC-LBC,343.0,8573.0,6.058e-05,2017-09-14T06:04:16.213,1844193.19030772
6.12e-05,112.27399657,6.074e-05,6.427e-05,6.074e-05,5.820000000000001e-05,BTC-LBC,343.0,8573.0,6.058e-05,2017-09-14T06:04:16.213,1844193.19030772
6.12e-05,112.28612502,6.069e-05,6.427e-05,6.069e-05,5.820000000000001e-05,BTC-LBC,341.0,8570.0,6.059e-05,2017-09-14T06:06:21.11,1844392.79999038
6.12e-05,112.28612502,6.069e-05,6.427e-05,6.069e-05,5.820000000000001e-05,BTC-LBC,341.0,8570.0,6.059e-05,2017-09-14T06:06:21.11,1844392.79999038
6.119e-05,112.28612502,6.075e-05,6.427e-05,6.069e-05,5.820000000000001e-05,BTC-LBC,341.0,8570.0,6.059e-05,2017-09-14T06:07:37.98,1844392.79999038
6.119e-05,112.28612502,6.075e-05,6.427e-05,6.069e-05,5.820000000000001e-05,BTC-LBC,341.0,8570.0,6.059e-05,2017-09-14T06:07:37.98,1844392.79999038
6.119e-05,112.28612502,6.075e-05,6.427e-05,6.069e-05,5.820000000000001e-05,BTC-LBC,341.0,8570.0,6.059e-05,2017-09-14T06:07:37.98,1844392.79999038
6.119e-05,112.28612502,6.075e-05,6.427e-05,6.069e-05,5.820000000000001e-05,BTC-LBC,341.0,8570.0,6.059e-05,2017-09-14T06:07:37.98,1844392.79999038
6.122e-05,112.26034474,6.075e-05,6.427e-05,6.075e-05,5.820000000000001e-05,BTC-LBC,346.0,8569.0,6.13e-05,2017-09-14T06:09:42.093,1843969.153153
6.122e-05,112.26361493,6.075e-05,6.427e-05,6.122e-05,5.820000000000001e-05,BTC-LBC,346.0,8570.0,6.13e-05,2017-09-14T06:09:52.83,1844022.57023933
6.121e-05,112.26361493,6.075e-05,6.427e-05,6.122e-05,5.820000000000001e-05,BTC-LBC,346.0,8570.0,6.13e-05,2017-09-14T06:10:37.257,1844022.57023933
