Ask,BaseVolume,Bid,High,Last,Low,Market,OpenBuyOrders,OpenSellOrders,PrevDay,TimeStamp,Volume
1.75e-05,1293.00941433,1.74e-05,1.75e-05,1.743e-05,7.16e-06,BTC-LMC,638.0,2899.0,7.48e-06,2017-09-14T05:02:01.043,102929596.32855396
1.75e-05,1293.00941433,1.74e-05,1.75e-05,1.743e-05,7.16e-06,BTC-LMC,638.0,2899.0,7.48e-06,2017-09-14T05:02:01.043,102929596.32855396
1.75e-05,1293.00941433,1.74e-05,1.75e-05,1.743e-05,7.16e-06,BTC-LMC,638.0,2899.0,7.48e-06,2017-09-14T05:02:01.043,102929596.32855396
1.75e-05,1293.00941433,1.74e-05,1.75e-05,1.743e-05,7.16e-06,BTC-LMC,638.0,2899.0,7.48e-06,2017-09-14T05:02:01.043,102929596.32855396
1.703e-05,1302.82705217,1.66e-05,1.774e-05,1.703e-05,7.16e-06,BTC-LMC,626.0,2882.0,7.42e-06,2017-09-14T05:45:23.05,103401956.28737082
1.692e-05,1307.34209868,1.667e-05,1.774e-05,1.667e-05,7.16e-06,BTC-LMC,626.0,2886.0,7.42e-06,2017-09-14T05:45:50.833,103669716.51655604
1.6899999999999994e-05,1308.85948668,1.667e-05,1.774e-05,1.667e-05,7.16e-06,BTC-LMC,624.0,2884.0,7.42e-06,2017-09-14T05:46:16.027,103759682.72192226
1.6899999999999994e-05,1310.04339672,1.6800000000000002e-05,1.774e-05,1.67e-05,7.16e-06,BTC-LMC,626.0,2883.0,7.42e-06,2017-09-14T05:46:44.69,103830380.38469444
1.6800000000000002e-05,1311.85620964,1.67e-05,1.774e-05,1.67e-05,7.16e-06,BTC-LMC,622.0,2879.0,7.42e-06,2017-09-14T05:47:08.6,103938109.17561246
1.719e-05,1314.86362913,1.705e-05,1.774e-05,1.705e-05,7.16e-06,BTC-LMC,624.0,2872.0,7.42e-06,2017-09-14T05:47:29.04,104116472.52520408
1.74e-05,1317.67412593,1.73e-05,1.774e-05,1.73e-05,7.16e-06,BTC-LMC,626.0,2868.0,7.42e-06,2017-09-14T05:47:54.657,104280085.31681694
1.779e-05,1321.61798144,1.775e-05,1.779e-05,1.775e-05,7.16e-06,BTC-LMC,626.0,2861.0,7.42e-06,2017-09-14T05:48:18.957,104502839.27855021
1.786e-05,1327.28554805,1.785e-05,1.788e-05,1.785e-05,7.16e-06,BTC-LMC,622.0,2849.0,7.42e-06,2017-09-14T05:48:48.18,104822567.87081292
1.75e-05,1328.78637888,1.733e-05,1.788e-05,1.75e-05,7.16e-06,BTC-LMC,617.0,2863.0,7.42e-06,2017-09-14T05:49:16.577,104907270.84745523
1.75e-05,1330.61152473,1.735e-05,1.788e-05,1.735e-05,7.16e-06,BTC-LMC,620.0,2860.0,7.42e-06,2017-09-14T05:49:39.783,105011421.76019172
1.735e-05,1332.51321158,1.696e-05,1.788e-05,1.735e-05,7.16e-06,BTC-LMC,631.0,2850.0,7.42e-06,2017-09-14T05:50:05.32,105119879.97486845
1.699e-05,1334.00894714,1.67e-05,1.788e-05,1.699e-05,7.16e-06,BTC-LMC,618.0,2846.0,7.42e-06,2017-09-14T05:50:32.653,105206257.93652284
1.7e-05,1337.16587503,1.699e-05,1.788e-05,1.7e-05,7.16e-06,BTC-LMC,629.0,2846.0,7.42e-06,2017-09-14T05:51:00.8,105391779.2167198
1.682e-05,1343.5238852,1.681e-05,1.788e-05,1.682e-05,7.16e-06,BTC-LMC,624.0,2840.0,7.36e-06,2017-09-14T05:51:43.883,105754975.26422928
1.698e-05,1344.02036151,1.6899999999999994e-05,1.788e-05,1.682e-05,7.16e-06,BTC-LMC,636.0,2843.0,7.36e-06,2017-09-14T05:52:08.107,105784463.55952756
1.7199999999999998e-05,1346.10233866,1.702e-05,1.788e-05,1.722e-05,7.16e-06,BTC-LMC,637.0,2845.0,7.36e-06,2017-09-14T05:52:50.257,105906569.2247412
1.7199999999999998e-05,1346.42223301,1.707e-05,1.788e-05,1.704e-05,7.16e-06,BTC-LMC,631.0,2848.0,7.36e-06,2017-09-14T05:53:16.887,105925175.96358506
1.713e-05,1346.75430358,1.7e-05,1.788e-05,1.704e-05,7.16e-06,BTC-LMC,632.0,2849.0,7.36e-06,2017-09-14T05:54:03.13,105944558.60715774
1.748e-05,1350.80998767,1.702e-05,1.788e-05,1.7199999999999998e-05,7.16e-06,BTC-LMC,631.0,2833.0,7.36e-06,2017-09-14T05:54:42.23,106180578.40074806
1.714e-05,1351.49175491,1.708e-05,1.788e-05,1.719e-05,7.16e-06,BTC-LMC,634.0,2842.0,7.36e-06,2017-09-14T05:55:18.267,106220567.04562771
1.719e-05,1352.44539095,1.708e-05,1.788e-05,1.708e-05,7.16e-06,BTC-LMC,637.0,2851.0,7.36e-06,2017-09-14T05:55:53.18,106276306.20422275
1.666e-05,1356.62703174,1.651e-05,1.788e-05,1.667e-05,7.16e-06,BTC-LMC,619.0,2854.0,7.36e-06,2017-09-14T05:56:32.23,106526079.92916755
1.619e-05,1359.27392006,1.616e-05,1.788e-05,1.619e-05,7.16e-06,BTC-LMC,616.0,2858.0,7.37e-06,2017-09-14T05:57:05.88,106686694.6322662
1.669e-05,1362.37605194,1.647e-05,1.788e-05,1.669e-05,7.16e-06,BTC-LMC,629.0,2864.0,7.37e-06,2017-09-14T05:57:44.883,106876908.89740168
1.697e-05,1364.39539339,1.6899999999999994e-05,1.788e-05,1.6899999999999994e-05,7.16e-06,BTC-LMC,641.0,2864.0,7.37e-06,2017-09-14T05:58:12.11,106996962.8122687
1.682e-05,1370.36637456,1.67e-05,1.788e-05,1.67e-05,7.16e-06,BTC-LMC,640.0,2862.0,7.37e-06,2017-09-14T05:58:55.617,107348846.8962988
1.689e-05,1372.24398667,1.682e-05,1.788e-05,1.689e-05,7.16e-06,BTC-LMC,650.0,2864.0,7.37e-06,2017-09-14T05:59:26.98,107460789.18366034
1.681e-05,1373.71861371,1.66e-05,1.788e-05,1.681e-05,7.16e-06,BTC-LMC,652.0,2869.0,7.37e-06,2017-09-14T06:00:08.72,107548718.63179757
1.679e-05,1373.6475531,1.655e-05,1.788e-05,1.655e-05,7.16e-06,BTC-LMC,651.0,2874.0,7.33e-06,2017-09-14T06:00:49.23,107468540.12107572
1.669e-05,1373.7474715,1.657e-05,1.788e-05,1.657e-05,7.16e-06,BTC-LMC,652.0,2880.0,7.33e-06,2017-09-14T06:01:19.153,107474571.22822934
1.6800000000000002e-05,1375.09486221,1.67e-05,1.788e-05,1.6800000000000002e-05,7.16e-06,BTC-LMC,648.0,2873.0,7.33e-06,2017-09-14T06:01:54.91,107555982.21950908
1.679e-05,1375.85883766,1.67e-05,1.788e-05,1.67e-05,7.16e-06,BTC-LMC,648.0,2875.0,7.33e-06,2017-09-14T06:02:24.57,107601662.82636096
1.684e-05,1376.78112498,1.67e-05,1.788e-05,1.67e-05,7.16e-06,BTC-LMC,650.0,2870.0,7.400000000000001e-06,2017-09-14T06:02:52.623,107656805.92711484
1.7e-05,1379.88266408,1.682e-05,1.788e-05,1.7e-05,7.16e-06,BTC-LMC,651.0,2859.0,7.33e-06,2017-09-14T06:03:49.147,107839898.7049522
1.7e-05,1383.33531959,1.689e-05,1.788e-05,1.7e-05,7.16e-06,BTC-LMC,657.0,2865.0,7.33e-06,2017-09-14T06:04:39.78,108043562.73682928
1.7e-05,1388.85718182,1.689e-05,1.788e-05,1.7e-05,7.16e-06,BTC-LMC,655.0,2862.0,7.33e-06,2017-09-14T06:05:14.677,108368476.92689648
1.706e-05,1389.36597789,1.7e-05,1.788e-05,1.7e-05,7.16e-06,BTC-LMC,662.0,2859.0,7.33e-06,2017-09-14T06:05:44.947,108398417.73237558
1.708e-05,1390.61107892,1.692e-05,1.788e-05,1.708e-05,7.16e-06,BTC-LMC,660.0,2863.0,7.33e-06,2017-09-14T06:06:14.45,108471630.9958145
1.7e-05,1390.61107892,1.692e-05,1.788e-05,1.708e-05,7.16e-06,BTC-LMC,660.0,2863.0,7.33e-06,2017-09-14T06:06:30.563,108471630.9958145
1.706e-05,1390.63476693,1.693e-05,1.788e-05,1.706e-05,7.16e-06,BTC-LMC,654.0,2868.0,7.37e-06,2017-09-14T06:07:06.273,108469261.27455698
1.706e-05,1390.88429023,1.701e-05,1.788e-05,1.701e-05,7.16e-06,BTC-LMC,660.0,2875.0,7.37e-06,2017-09-14T06:07:52.483,108483933.62298
1.7e-05,1392.46270648,1.698e-05,1.788e-05,1.701e-05,7.16e-06,BTC-LMC,652.0,2874.0,7.37e-06,2017-09-14T06:08:14.453,108576863.478505
1.705e-05,1394.74655218,1.695e-05,1.788e-05,1.705e-05,7.16e-06,BTC-LMC,661.0,2874.0,7.37e-06,2017-09-14T06:08:50.38,108711419.94831537
1.705e-05,1395.37391683,1.6899999999999994e-05,1.788e-05,1.684e-05,7.16e-06,BTC-LMC,672.0,2875.0,7.37e-06,2017-09-14T06:09:10.633,108748314.79103784
1.704e-05,1395.72027763,1.701e-05,1.788e-05,1.701e-05,7.16e-06,BTC-LMC,682.0,2879.0,7.37e-06,2017-09-14T06:09:45.577,108768681.8587794
1.698e-05,1395.64310934,1.684e-05,1.788e-05,1.684e-05,7.16e-06,BTC-LMC,681.0,2880.0,7.33e-06,2017-09-14T06:10:14.63,108737816.59744447
1.698e-05,1395.76422738,1.684e-05,1.788e-05,1.684e-05,7.16e-06,BTC-LMC,683.0,2880.0,7.33e-06,2017-09-14T06:10:39.303,108744993.93491694
1.697e-05,1396.30171217,1.684e-05,1.788e-05,1.684e-05,7.16e-06,BTC-LMC,680.0,2876.0,7.33e-06,2017-09-14T06:11:08.56,108776911.08536844
1.684e-05,1396.58841503,1.674e-05,1.788e-05,1.674e-05,7.16e-06,BTC-LMC,679.0,2881.0,7.33e-06,2017-09-14T06:11:29.36,108793960.9519899
1.672e-05,1396.60387214,1.67e-05,1.788e-05,1.672e-05,7.16e-06,BTC-LMC,671.0,2885.0,7.33e-06,2017-09-14T06:11:55.253,108787420.53322719
1.672e-05,1396.67890433,1.67e-05,1.788e-05,1.672e-05,7.16e-06,BTC-LMC,676.0,2883.0,7.299999999999999e-06,2017-09-14T06:12:25.977,108788955.78869736
1.677e-05,1396.69650461,1.673e-05,1.788e-05,1.677e-05,7.16e-06,BTC-LMC,684.0,2881.0,7.299999999999999e-06,2017-09-14T06:12:57.043,108782102.75072023
1.683e-05,1397.16241452,1.677e-05,1.788e-05,1.677e-05,7.16e-06,BTC-LMC,683.0,2877.0,7.299999999999999e-06,2017-09-14T06:13:21.11,108809910.65026644
1.6800000000000002e-05,1397.97265555,1.677e-05,1.788e-05,1.695e-05,7.16e-06,BTC-LMC,679.0,2875.0,7.23e-06,2017-09-14T06:13:43.55,108850233.3740144
1.694e-05,1398.03725699,1.6800000000000002e-05,1.788e-05,1.672e-05,7.16e-06,BTC-LMC,682.0,2876.0,7.33e-06,2017-09-14T06:14:22.65,108847474.28237692
1.7e-05,1398.58716944,1.694e-05,1.788e-05,1.6800000000000002e-05,7.16e-06,BTC-LMC,683.0,2870.0,7.33e-06,2017-09-14T06:14:52.107,108878967.11907122
1.694e-05,1398.67155138,1.6800000000000002e-05,1.788e-05,1.6800000000000002e-05,7.16e-06,BTC-LMC,682.0,2872.0,7.33e-06,2017-09-14T06:15:23.033,108883948.8261564
1.7199999999999998e-05,1400.45372969,1.7100000000000002e-05,1.788e-05,1.7100000000000002e-05,7.16e-06,BTC-LMC,682.0,2855.0,7.33e-06,2017-09-14T06:15:49.973,108988417.37909593
1.721e-05,1401.898274,1.7199999999999998e-05,1.788e-05,1.7199999999999998e-05,7.16e-06,BTC-LMC,682.0,2855.0,7.33e-06,2017-09-14T06:16:14.103,109072546.84220006
1.738e-05,1402.44871961,1.73e-05,1.788e-05,1.729e-05,7.16e-06,BTC-LMC,685.0,2848.0,7.33e-06,2017-09-14T06:16:36.7,109104453.67444576
1.739e-05,1403.88029158,1.738e-05,1.788e-05,1.738e-05,7.16e-06,BTC-LMC,684.0,2842.0,7.33e-06,2017-09-14T06:17:10.5,109186814.60766418
1.739e-05,1404.3562354,1.731e-05,1.788e-05,1.739e-05,7.16e-06,BTC-LMC,685.0,2846.0,7.33e-06,2017-09-14T06:17:39.82,109213347.44015472
1.738e-05,1406.29423093,1.731e-05,1.788e-05,1.73e-05,7.16e-06,BTC-LMC,681.0,2853.0,7.33e-06,2017-09-14T06:18:06.667,109325245.49017194
1.735e-05,1406.63762339,1.731e-05,1.788e-05,1.738e-05,7.16e-06,BTC-LMC,683.0,2854.0,7.33e-06,2017-09-14T06:18:27.793,109345003.39984684
1.73e-05,1407.62222005,1.701e-05,1.788e-05,1.701e-05,7.16e-06,BTC-LMC,682.0,2857.0,7.33e-06,2017-09-14T06:19:01.313,109401306.70301396
1.724e-05,1407.72728333,1.705e-05,1.788e-05,1.725e-05,7.16e-06,BTC-LMC,688.0,2863.0,7.33e-06,2017-09-14T06:19:32.833,109407471.91899578
1.723e-05,1407.76309798,1.705e-05,1.788e-05,1.724e-05,7.16e-06,BTC-LMC,690.0,2863.0,7.33e-06,2017-09-14T06:19:56.243,109409563.6829628
1.724e-05,1408.17953535,1.723e-05,1.788e-05,1.723e-05,7.16e-06,BTC-LMC,691.0,2861.0,7.33e-06,2017-09-14T06:20:22.81,109433941.31164646
1.723e-05,1408.25873219,1.706e-05,1.788e-05,1.723e-05,7.16e-06,BTC-LMC,693.0,2866.0,7.33e-06,2017-09-14T06:21:09.41,109438537.59762856
1.721e-05,1408.5714783,1.706e-05,1.788e-05,1.707e-05,7.16e-06,BTC-LMC,689.0,2864.0,7.33e-06,2017-09-14T06:21:44.023,109456833.2189125
1.73e-05,1411.07973163,1.721e-05,1.788e-05,1.73e-05,7.16e-06,BTC-LMC,695.0,2856.0,7.33e-06,2017-09-14T06:22:33.903,109602810.99025685
1.707e-05,1411.85494027,1.706e-05,1.788e-05,1.706e-05,7.16e-06,BTC-LMC,691.0,2861.0,7.25e-06,2017-09-14T06:22:55.987,109647722.77300254
1.7199999999999998e-05,1412.05779618,1.719e-05,1.788e-05,1.7100000000000002e-05,7.16e-06,BTC-LMC,692.0,2864.0,7.25e-06,2017-09-14T06:23:32.27,109659530.50167248
1.715e-05,1412.35879756,1.7100000000000002e-05,1.788e-05,1.706e-05,7.16e-06,BTC-LMC,688.0,2870.0,7.25e-06,2017-09-14T06:24:06.947,109677083.66838609
1.7199999999999998e-05,1413.49817122,1.715e-05,1.788e-05,1.719e-05,7.16e-06,BTC-LMC,693.0,2862.0,7.25e-06,2017-09-14T06:24:38.2,109743390.50542387
1.718e-05,1415.12821891,1.705e-05,1.788e-05,1.718e-05,7.16e-06,BTC-LMC,691.0,2865.0,7.25e-06,2017-09-14T06:25:07.457,109838578.78631462
1.705e-05,1415.31179792,1.701e-05,1.788e-05,1.705e-05,7.16e-06,BTC-LMC,690.0,2869.0,7.25e-06,2017-09-14T06:25:33.007,109849336.80428009
1.704e-05,1415.62733573,1.7e-05,1.788e-05,1.704e-05,7.16e-06,BTC-LMC,687.0,2869.0,7.25e-06,2017-09-14T06:26:06.277,109867598.88035911
1.718e-05,1415.9947945999998,1.706e-05,1.788e-05,1.718e-05,7.16e-06,BTC-LMC,695.0,2865.0,7.25e-06,2017-09-14T06:26:32.497,109889149.64866576
1.717e-05,1417.3076832999998,1.706e-05,1.788e-05,1.706e-05,7.16e-06,BTC-LMC,692.0,2868.0,7.25e-06,2017-09-14T06:27:09.173,109966037.67094845
1.706e-05,1417.65599087,1.705e-05,1.788e-05,1.706e-05,7.16e-06,BTC-LMC,691.0,2873.0,7.25e-06,2017-09-14T06:27:40.02,109984172.2737075
1.7e-05,1418.67904544,1.686e-05,1.788e-05,1.7e-05,7.16e-06,BTC-LMC,682.0,2878.0,7.25e-06,2017-09-14T06:28:07.04,110044583.73910764
