Ask,BaseVolume,Bid,High,Last,Low,Market,OpenBuyOrders,OpenSellOrders,PrevDay,TimeStamp,Volume
0.015899899999999998,1415.41616534,0.01582519,0.016,0.01582519,0.01534083,BTC-LTC,2297.0,7363.0,0.015609999999999999,2017-09-14T05:43:21.337,90006.15244085
0.015899899999999998,1415.71235861,0.01582519,0.016,0.01582519,0.01534083,BTC-LTC,2295.0,7363.0,0.01561,2017-09-14T05:43:48.14,90024.85525661
0.015899899999999998,1415.71235861,0.01582519,0.016,0.01582519,0.01534083,BTC-LTC,2295.0,7363.0,0.015609999999999999,2017-09-14T05:43:48.14,90024.85525661
0.015899899999999998,1415.69027758,0.01582519,0.016,0.01582519,0.01534083,BTC-LTC,2296.0,7363.0,0.01567,2017-09-14T05:44:52.183,90023.38339044
0.01589987,1415.42894156,0.01582519,0.016,0.01582519,0.01534083,BTC-LTC,2296.0,7364.0,0.01567,2017-09-14T05:45:22.923,90006.10842905
0.01580301,1414.99139908,0.01580002,0.016,0.01580002,0.01534083,BTC-LTC,2293.0,7366.0,0.01569499,2017-09-14T05:45:52.837,89977.94263737
0.01580301,1415.18207481,0.0158,0.016,0.0158,0.01534083,BTC-LTC,2289.0,7361.0,0.01569499,2017-09-14T05:46:14.12,89990.00412909
0.01580301,1417.28656786,0.0158,0.016,0.0158,0.01534083,BTC-LTC,2294.0,7359.0,0.01567,2017-09-14T05:46:46.017,90123.17230666
0.01580301,1418.147891,0.0158,0.016,0.01580301,0.01534083,BTC-LTC,2291.0,7353.0,0.01567,2017-09-14T05:47:03.6,90177.42404448
0.01580301,1418.46876432,0.0158,0.016,0.0158,0.01534083,BTC-LTC,2289.0,7349.0,0.01567,2017-09-14T05:47:32.807,90197.68949216
0.01580301,1419.14921457,0.0157823,0.016,0.0157823,0.01534083,BTC-LTC,2286.0,7348.0,0.01567,2017-09-14T05:47:54.953,90240.79734764
0.01580301,1419.76742284,0.0157823,0.016,0.0157823,0.01534083,BTC-LTC,2286.0,7348.0,0.01569899,2017-09-14T05:48:19.52,90279.96306019
0.01580301,1420.08852491,0.015801,0.016,0.015801,0.01534083,BTC-LTC,2285.0,7349.0,0.01569899,2017-09-14T05:48:48.07,90300.30356899
0.01578247,1420.48424306,0.0157823,0.016,0.0157823,0.01534083,BTC-LTC,2282.0,7348.0,0.01567,2017-09-14T05:49:17.92,90325.27362176
0.01578247,1420.85160168,0.0157823,0.016,0.0157823,0.01534083,BTC-LTC,2286.0,7350.0,0.01567,2017-09-14T05:49:39.737,90348.51369897
0.01580301,1421.31309287,0.01578247,0.016,0.01578247,0.01534083,BTC-LTC,2287.0,7348.0,0.01567,2017-09-14T05:50:05.29,90377.68155533
0.01578231,1419.9169322999999,0.0157823,0.016,0.0157823,0.01534083,BTC-LTC,2288.0,7350.0,0.01567,2017-09-14T05:50:31.013,90288.56378848
0.01578231,1420.78681531,0.0157823,0.016,0.0157823,0.01534083,BTC-LTC,2289.0,7350.0,0.01568899,2017-09-14T05:51:01.3,90343.41900482
0.01578231,1422.71562557,0.0157823,0.016,0.0157823,0.01534083,BTC-LTC,2291.0,7348.0,0.01561053,2017-09-14T05:51:43.73,90465.61678621
0.01578231,1423.09956392,0.0157823,0.016,0.0157823,0.01534083,BTC-LTC,2294.0,7348.0,0.01561001,2017-09-14T05:52:09.577,90489.78028922
