Ask,BaseVolume,Bid,High,Last,Low,Market,OpenBuyOrders,OpenSellOrders,PrevDay,TimeStamp,Volume
6.06e-06,38.98061784,6.05e-06,6.49e-06,6.05e-06,5.6e-06,BTC-MUSIC,618.0,6502.0,5.97e-06,2017-09-14T06:21:59.29,6563325.33277097
6.06e-06,38.98061784,6.05e-06,6.49e-06,6.05e-06,5.6e-06,BTC-MUSIC,618.0,6502.0,5.97e-06,2017-09-14T06:21:59.29,6563325.33277097
6.06e-06,38.98061784,6.05e-06,6.49e-06,6.05e-06,5.6e-06,BTC-MUSIC,618.0,6502.0,5.97e-06,2017-09-14T06:21:59.29,6563325.33277097
6.07e-06,38.94953109,6.06e-06,6.49e-06,6.06e-06,5.6e-06,BTC-MUSIC,616.0,6502.0,5.98e-06,2017-09-14T06:25:04.61,6558120.81622743
6.07e-06,38.94953109,6.06e-06,6.49e-06,6.06e-06,5.6e-06,BTC-MUSIC,616.0,6502.0,5.98e-06,2017-09-14T06:25:04.61,6558120.81622743
6.07e-06,38.94953109,6.06e-06,6.49e-06,6.06e-06,5.6e-06,BTC-MUSIC,616.0,6502.0,5.98e-06,2017-09-14T06:25:04.61,6558120.81622743
6.07e-06,38.94953109,6.06e-06,6.49e-06,6.06e-06,5.6e-06,BTC-MUSIC,616.0,6502.0,5.98e-06,2017-09-14T06:25:04.61,6558120.81622743
6.07e-06,38.95014378,6.06e-06,6.49e-06,6.06e-06,5.6e-06,BTC-MUSIC,620.0,6502.0,5.98e-06,2017-09-14T06:26:50.39,6558221.92026134
6.07e-06,38.95173898,6.06e-06,6.49e-06,6.06e-06,5.6e-06,BTC-MUSIC,620.0,6502.0,5.98e-06,2017-09-14T06:27:15.613,6558485.15565452
6.07e-06,38.9577393,6.06e-06,6.49e-06,6.06e-06,5.6e-06,BTC-MUSIC,620.0,6502.0,5.98e-06,2017-09-14T06:28:05.463,6559475.30855559
6.07e-06,38.9577393,6.06e-06,6.49e-06,6.06e-06,5.6e-06,BTC-MUSIC,620.0,6502.0,5.98e-06,2017-09-14T06:28:05.463,6559475.30855559
6.07e-06,38.9577393,6.06e-06,6.49e-06,6.06e-06,5.6e-06,BTC-MUSIC,620.0,6502.0,5.98e-06,2017-09-14T06:28:05.557,6559475.30855559
6.07e-06,38.9577393,6.06e-06,6.49e-06,6.06e-06,5.6e-06,BTC-MUSIC,620.0,6502.0,5.98e-06,2017-09-14T06:28:05.557,6559475.30855559
6.07e-06,38.9577393,6.06e-06,6.49e-06,6.06e-06,5.6e-06,BTC-MUSIC,620.0,6502.0,5.98e-06,2017-09-14T06:28:05.557,6559475.30855559
6.07e-06,38.95916261,6.06e-06,6.49e-06,6.07e-06,5.6e-06,BTC-MUSIC,620.0,6504.0,5.98e-06,2017-09-14T06:30:35.043,6559709.79171869
6.07e-06,38.95601388,6.06e-06,6.49e-06,6.06e-06,5.6e-06,BTC-MUSIC,620.0,6505.0,5.98e-06,2017-09-14T06:30:54.593,6559164.69658344
6.07e-06,38.95601388,6.06e-06,6.49e-06,6.06e-06,5.6e-06,BTC-MUSIC,620.0,6505.0,5.98e-06,2017-09-14T06:30:54.593,6559164.69658344
6.07e-06,38.95601388,6.06e-06,6.49e-06,6.06e-06,5.6e-06,BTC-MUSIC,620.0,6505.0,5.98e-06,2017-09-14T06:30:54.593,6559164.69658344
6.07e-06,38.90783284,6.06e-06,6.49e-06,6.06e-06,5.6e-06,BTC-MUSIC,620.0,6503.0,5.98e-06,2017-09-14T06:31:55.88,6551106.32156848
6.07e-06,38.90882519,6.06e-06,6.49e-06,6.06e-06,5.6e-06,BTC-MUSIC,620.0,6505.0,5.99e-06,2017-09-14T06:32:37.37,6551269.00150551
6.07e-06,38.90882519,6.06e-06,6.49e-06,6.06e-06,5.6e-06,BTC-MUSIC,620.0,6505.0,5.99e-06,2017-09-14T06:32:37.37,6551269.00150551
6.07e-06,38.90882519,6.06e-06,6.49e-06,6.06e-06,5.6e-06,BTC-MUSIC,620.0,6505.0,5.99e-06,2017-09-14T06:32:37.37,6551269.00150551
6.07e-06,38.91070662,6.06e-06,6.49e-06,6.06e-06,5.6e-06,BTC-MUSIC,622.0,6508.0,5.99e-06,2017-09-14T06:34:31.273,6551578.05242417
6.07e-06,38.91070662,6.06e-06,6.49e-06,6.06e-06,5.6e-06,BTC-MUSIC,622.0,6508.0,5.99e-06,2017-09-14T06:34:31.273,6551578.05242417
6.07e-06,38.91070662,6.06e-06,6.49e-06,6.06e-06,5.6e-06,BTC-MUSIC,622.0,6508.0,5.99e-06,2017-09-14T06:34:31.273,6551578.05242417
6.07e-06,38.91070662,6.06e-06,6.49e-06,6.06e-06,5.6e-06,BTC-MUSIC,622.0,6508.0,5.99e-06,2017-09-14T06:34:31.273,6551578.05242417
6.07e-06,38.91070662,6.06e-06,6.49e-06,6.06e-06,5.6e-06,BTC-MUSIC,622.0,6508.0,5.99e-06,2017-09-14T06:34:31.273,6551578.05242417
6.07e-06,38.91070662,6.06e-06,6.49e-06,6.06e-06,5.6e-06,BTC-MUSIC,622.0,6508.0,5.99e-06,2017-09-14T06:34:31.273,6551578.05242417
6.07e-06,38.91070662,6.06e-06,6.49e-06,6.06e-06,5.6e-06,BTC-MUSIC,622.0,6508.0,5.99e-06,2017-09-14T06:34:31.273,6551578.05242417
6.07e-06,38.91070662,6.06e-06,6.49e-06,6.06e-06,5.6e-06,BTC-MUSIC,622.0,6508.0,5.99e-06,2017-09-14T06:34:31.273,6551578.05242417
6.07e-06,38.91070662,6.06e-06,6.49e-06,6.06e-06,5.6e-06,BTC-MUSIC,622.0,6508.0,5.99e-06,2017-09-14T06:34:31.273,6551578.05242417
6.07e-06,38.91070662,6.06e-06,6.49e-06,6.06e-06,5.6e-06,BTC-MUSIC,622.0,6508.0,5.99e-06,2017-09-14T06:34:31.273,6551578.05242417
6.07e-06,38.91070662,6.06e-06,6.49e-06,6.06e-06,5.6e-06,BTC-MUSIC,622.0,6508.0,5.99e-06,2017-09-14T06:34:31.273,6551578.05242417
6.07e-06,38.91070662,6.06e-06,6.49e-06,6.06e-06,5.6e-06,BTC-MUSIC,622.0,6508.0,5.99e-06,2017-09-14T06:34:31.273,6551578.05242417
6.07e-06,38.90033612,6.06e-06,6.49e-06,6.06e-06,5.6e-06,BTC-MUSIC,621.0,6507.0,6.08e-06,2017-09-14T06:40:05.077,6549861.46143789
6.07e-06,38.90033612,6.06e-06,6.49e-06,6.06e-06,5.6e-06,BTC-MUSIC,621.0,6507.0,6.08e-06,2017-09-14T06:40:05.077,6549861.46143789
6.07e-06,38.90033612,6.06e-06,6.49e-06,6.06e-06,5.6e-06,BTC-MUSIC,621.0,6507.0,6.08e-06,2017-09-14T06:40:05.077,6549861.46143789
6.07e-06,38.90033612,6.06e-06,6.49e-06,6.06e-06,5.6e-06,BTC-MUSIC,621.0,6507.0,6.08e-06,2017-09-14T06:40:05.077,6549861.46143789
