Ask,BaseVolume,Bid,High,Last,Low,Market,OpenBuyOrders,OpenSellOrders,PrevDay,TimeStamp,Volume
5.71e-06,29.14443857,5.67e-06,6.27e-06,5.67e-06,5.400000000000002e-06,BTC-PINK,305.0,2735.0,5.68e-06,2017-09-14T06:19:53.273,5115411.36828827
5.71e-06,29.14443857,5.67e-06,6.27e-06,5.67e-06,5.400000000000002e-06,BTC-PINK,305.0,2735.0,5.68e-06,2017-09-14T06:19:53.273,5115411.36828827
5.71e-06,29.14443857,5.67e-06,6.27e-06,5.67e-06,5.400000000000002e-06,BTC-PINK,305.0,2735.0,5.68e-06,2017-09-14T06:19:53.273,5115411.36828827
5.71e-06,29.14443857,5.67e-06,6.27e-06,5.67e-06,5.400000000000002e-06,BTC-PINK,305.0,2735.0,5.68e-06,2017-09-14T06:19:53.273,5115411.36828827
5.71e-06,29.14443857,5.67e-06,6.27e-06,5.67e-06,5.400000000000002e-06,BTC-PINK,305.0,2735.0,5.68e-06,2017-09-14T06:19:53.273,5115411.36828827
5.71e-06,29.14443857,5.67e-06,6.27e-06,5.67e-06,5.400000000000002e-06,BTC-PINK,305.0,2735.0,5.68e-06,2017-09-14T06:19:53.273,5115411.36828827
5.71e-06,29.14443857,5.66e-06,6.27e-06,5.67e-06,5.400000000000002e-06,BTC-PINK,305.0,2735.0,5.68e-06,2017-09-14T06:25:39.82,5115411.36828827
5.71e-06,29.14443857,5.67e-06,6.27e-06,5.67e-06,5.400000000000002e-06,BTC-PINK,305.0,2735.0,5.68e-06,2017-09-14T06:26:11.947,5115411.36828827
5.71e-06,29.14443857,5.66e-06,6.27e-06,5.67e-06,5.400000000000002e-06,BTC-PINK,305.0,2735.0,5.68e-06,2017-09-14T06:26:42.297,5115411.36828827
5.71e-06,29.14443857,5.67e-06,6.27e-06,5.67e-06,5.400000000000002e-06,BTC-PINK,305.0,2735.0,5.68e-06,2017-09-14T06:27:12.423,5115411.36828827
5.71e-06,29.14443857,5.67e-06,6.27e-06,5.67e-06,5.400000000000002e-06,BTC-PINK,305.0,2735.0,5.68e-06,2017-09-14T06:27:12.423,5115411.36828827
5.71e-06,29.14443857,5.67e-06,6.27e-06,5.67e-06,5.400000000000002e-06,BTC-PINK,305.0,2735.0,5.68e-06,2017-09-14T06:27:12.423,5115411.36828827
5.71e-06,29.14443857,5.66e-06,6.27e-06,5.67e-06,5.400000000000002e-06,BTC-PINK,305.0,2735.0,5.68e-06,2017-09-14T06:28:49.233,5115411.36828827
5.71e-06,29.14443857,5.67e-06,6.27e-06,5.67e-06,5.400000000000002e-06,BTC-PINK,305.0,2735.0,5.68e-06,2017-09-14T06:29:02.97,5115411.36828827
5.71e-06,29.14443857,5.67e-06,6.27e-06,5.67e-06,5.400000000000002e-06,BTC-PINK,305.0,2735.0,5.68e-06,2017-09-14T06:29:02.97,5115411.36828827
5.71e-06,29.14443857,5.67e-06,6.27e-06,5.67e-06,5.400000000000002e-06,BTC-PINK,305.0,2735.0,5.68e-06,2017-09-14T06:29:02.97,5115411.36828827
5.71e-06,29.14443857,5.67e-06,6.27e-06,5.67e-06,5.400000000000002e-06,BTC-PINK,305.0,2735.0,5.68e-06,2017-09-14T06:29:02.97,5115411.36828827
5.71e-06,29.14443857,5.67e-06,6.27e-06,5.67e-06,5.400000000000002e-06,BTC-PINK,305.0,2735.0,5.68e-06,2017-09-14T06:29:02.97,5115411.36828827
5.71e-06,29.15678896,5.69e-06,6.27e-06,5.71e-06,5.400000000000002e-06,BTC-PINK,307.0,2736.0,5.72e-06,2017-09-14T06:31:30.41,5117572.3329455005
5.75e-06,29.16161956,5.700000000000001e-06,6.27e-06,5.75e-06,5.400000000000002e-06,BTC-PINK,307.0,2734.0,5.72e-06,2017-09-14T06:31:44.49,5118412.96341835
5.75e-06,29.16161956,5.700000000000001e-06,6.27e-06,5.75e-06,5.400000000000002e-06,BTC-PINK,307.0,2734.0,5.72e-06,2017-09-14T06:31:44.49,5118412.96341835
5.78e-06,29.16161956,5.67e-06,6.27e-06,5.75e-06,5.400000000000002e-06,BTC-PINK,307.0,2734.0,5.72e-06,2017-09-14T06:33:04.09,5118412.96341835
5.74e-06,29.16161956,5.69e-06,6.27e-06,5.75e-06,5.400000000000002e-06,BTC-PINK,307.0,2734.0,5.72e-06,2017-09-14T06:33:34.19,5118412.96341835
5.75e-06,29.16161956,5.69e-06,6.27e-06,5.75e-06,5.400000000000002e-06,BTC-PINK,307.0,2734.0,5.72e-06,2017-09-14T06:33:42.567,5118412.96341835
5.78e-06,29.16161956,5.67e-06,6.27e-06,5.75e-06,5.400000000000002e-06,BTC-PINK,307.0,2734.0,5.72e-06,2017-09-14T06:34:39.993,5118412.96341835
5.76e-06,29.16161956,5.68e-06,6.27e-06,5.75e-06,5.400000000000002e-06,BTC-PINK,307.0,2734.0,5.72e-06,2017-09-14T06:34:59.777,5118412.96341835
5.73e-06,29.2575295,5.67e-06,6.27e-06,5.67e-06,5.400000000000002e-06,BTC-PINK,302.0,2736.0,5.68e-06,2017-09-14T06:35:31.093,5135326.04404135
5.73e-06,29.257529499999997,5.67e-06,6.27e-06,5.67e-06,5.400000000000002e-06,BTC-PINK,302.0,2736.0,5.68e-06,2017-09-14T06:35:31.093,5135326.04404135
5.75e-06,29.2575295,5.67e-06,6.27e-06,5.67e-06,5.400000000000002e-06,BTC-PINK,302.0,2736.0,5.68e-06,2017-09-14T06:36:14.927,5135326.04404135
5.75e-06,29.257529499999997,5.67e-06,6.27e-06,5.67e-06,5.400000000000002e-06,BTC-PINK,302.0,2736.0,5.68e-06,2017-09-14T06:37:09.433,5135326.04404135
5.75e-06,29.2575295,5.67e-06,6.27e-06,5.67e-06,5.400000000000002e-06,BTC-PINK,302.0,2736.0,5.68e-06,2017-09-14T06:37:34.92,5135326.04404135
5.76e-06,29.257529499999997,5.66e-06,6.27e-06,5.67e-06,5.400000000000002e-06,BTC-PINK,302.0,2736.0,5.68e-06,2017-09-14T06:37:56.563,5135326.04404135
5.76e-06,29.2575295,5.66e-06,6.27e-06,5.67e-06,5.400000000000002e-06,BTC-PINK,302.0,2736.0,5.68e-06,2017-09-14T06:37:56.5,5135326.04404135
5.75e-06,29.257529499999997,5.67e-06,6.27e-06,5.67e-06,5.400000000000002e-06,BTC-PINK,302.0,2736.0,5.68e-06,2017-09-14T06:38:57.227,5135326.04404135
5.75e-06,29.2575295,5.67e-06,6.27e-06,5.67e-06,5.400000000000002e-06,BTC-PINK,302.0,2736.0,5.68e-06,2017-09-14T06:39:31.48,5135326.04404135
5.73e-06,29.257529499999997,5.67e-06,6.27e-06,5.67e-06,5.400000000000002e-06,BTC-PINK,302.0,2736.0,5.68e-06,2017-09-14T06:39:52.293,5135326.04404135
5.73e-06,29.2575295,5.67e-06,6.27e-06,5.67e-06,5.400000000000002e-06,BTC-PINK,302.0,2736.0,5.68e-06,2017-09-14T06:39:52.293,5135326.04404135
5.75e-06,29.257529499999997,5.65e-06,6.27e-06,5.67e-06,5.400000000000002e-06,BTC-PINK,302.0,2736.0,5.68e-06,2017-09-14T06:40:53.707,5135326.04404135
5.75e-06,29.2575295,5.66e-06,6.27e-06,5.67e-06,5.400000000000002e-06,BTC-PINK,302.0,2736.0,5.68e-06,2017-09-14T06:41:23.007,5135326.04404135
5.75e-06,29.257529499999997,5.68e-06,6.27e-06,5.67e-06,5.400000000000002e-06,BTC-PINK,302.0,2736.0,5.68e-06,2017-09-14T06:41:44.167,5135326.04404135
