Ask,BaseVolume,Bid,High,Last,Low,Market,OpenBuyOrders,OpenSellOrders,PrevDay,TimeStamp,Volume
2.098e-05,375.44760781,2.097e-05,3.1e-05,2.098e-05,2.023e-05,BTC-POT,378.0,2982.0,2.1e-05,2017-09-14T05:01:07.887,15029199.46165373
2.118e-05,374.90226213,2.097e-05,3.1e-05,2.118e-05,2.023e-05,BTC-POT,375.0,2979.0,2.1e-05,2017-09-14T05:44:01.783,15003008.67554778
2.118e-05,374.90226213,2.097e-05,3.1e-05,2.118e-05,2.023e-05,BTC-POT,375.0,2979.0,2.1e-05,2017-09-14T05:44:01.783,15003008.67554778
2.118e-05,374.90226213,2.097e-05,3.1e-05,2.118e-05,2.023e-05,BTC-POT,375.0,2979.0,2.1e-05,2017-09-14T05:44:01.783,15003008.67554778
2.118e-05,374.90226213,2.097e-05,3.1e-05,2.118e-05,2.023e-05,BTC-POT,375.0,2979.0,2.1e-05,2017-09-14T05:44:01.783,15003008.67554778
2.118e-05,374.90226213,2.097e-05,3.1e-05,2.118e-05,2.023e-05,BTC-POT,375.0,2979.0,2.1e-05,2017-09-14T05:44:01.783,15003008.67554778
2.118e-05,374.99851617,2.097e-05,3.1e-05,2.097e-05,2.023e-05,BTC-POT,377.0,2980.0,2.1e-05,2017-09-14T05:46:03.883,15007598.75889161
2.118e-05,375.01514193,2.097e-05,3.1e-05,2.097e-05,2.023e-05,BTC-POT,377.0,2980.0,2.1e-05,2017-09-14T05:46:35.827,15008391.59458161
2.118e-05,375.01514193,2.097e-05,3.1e-05,2.097e-05,2.023e-05,BTC-POT,377.0,2980.0,2.1e-05,2017-09-14T05:46:35.827,15008391.59458161
2.118e-05,374.91894933,2.097e-05,3.1e-05,2.097e-05,2.023e-05,BTC-POT,376.0,2980.0,2.1e-05,2017-09-14T05:47:36.963,15003811.59458161
2.119e-05,375.10429774,2.097e-05,3.1e-05,2.119e-05,2.023e-05,BTC-POT,376.0,2975.0,2.1e-05,2017-09-14T05:47:55.437,15012558.63465948
2.119e-05,375.10429774,2.098e-05,3.1e-05,2.119e-05,2.023e-05,BTC-POT,376.0,2975.0,2.1e-05,2017-09-14T05:48:16.127,15012558.63465948
2.119e-05,375.10913021,2.097e-05,3.1e-05,2.097e-05,2.023e-05,BTC-POT,376.0,2976.0,2.1e-05,2017-09-14T05:48:44.29,15012789.07072938
2.119e-05,375.10913021,2.097e-05,3.1e-05,2.097e-05,2.023e-05,BTC-POT,376.0,2976.0,2.1e-05,2017-09-14T05:48:44.29,15012789.07072938
2.118e-05,375.10913021,2.097e-05,3.1e-05,2.097e-05,2.023e-05,BTC-POT,376.0,2976.0,2.1e-05,2017-09-14T05:49:38.267,15012789.07072938
2.122e-05,375.34151010000005,2.097e-05,3.1e-05,2.122e-05,2.023e-05,BTC-POT,378.0,2971.0,2.095e-05,2017-09-14T05:50:01.913,15023771.92607036
2.121e-05,375.39209678,2.097e-05,3.1e-05,2.122e-05,2.023e-05,BTC-POT,378.0,2971.0,2.095e-05,2017-09-14T05:50:36.59,15026156.78463157
2.121e-05,375.40007198,2.097e-05,3.1e-05,2.121e-05,2.023e-05,BTC-POT,378.0,2974.0,2.095e-05,2017-09-14T05:51:00.767,15026532.79647469
2.121e-05,375.41789877,2.097e-05,3.1e-05,2.121e-05,2.023e-05,BTC-POT,378.0,2976.0,2.095e-05,2017-09-14T05:51:17.21,15027373.28675316
2.122e-05,375.50190279,2.099e-05,3.1e-05,2.122e-05,2.023e-05,BTC-POT,379.0,2977.0,2.095e-05,2017-09-14T05:52:09.7,15031332.50151517
2.116e-05,375.62591634,2.098e-05,3.1e-05,2.116e-05,2.023e-05,BTC-POT,378.0,2977.0,2.095e-05,2017-09-14T05:52:39.8,15037173.93299493
2.129e-05,376.00085036,2.128e-05,3.1e-05,2.128e-05,2.023e-05,BTC-POT,381.0,2978.0,2.095e-05,2017-09-14T05:53:30.09,15054795.20183028
2.13e-05,376.15933181,2.128e-05,3.1e-05,2.128e-05,2.023e-05,BTC-POT,383.0,2962.0,2.095e-05,2017-09-14T05:54:08.77,15062240.4891344
2.133e-05,376.28952141,2.128e-05,3.1e-05,2.133e-05,2.023e-05,BTC-POT,365.0,2940.0,2.095e-05,2017-09-14T05:54:46.65,15068350.55831156
2.133e-05,376.32521945,2.13e-05,3.1e-05,2.13e-05,2.023e-05,BTC-POT,366.0,2938.0,2.095e-05,2017-09-14T05:55:22.22,15070017.43470003
2.13e-05,376.35506445,2.128e-05,3.1e-05,2.128e-05,2.023e-05,BTC-POT,364.0,2940.0,2.095e-05,2017-09-14T05:55:59.18,15071418.79106117
2.13e-05,376.41208771,2.128e-05,3.1e-05,2.128e-05,2.023e-05,BTC-POT,365.0,2942.0,2.095e-05,2017-09-14T05:56:34.95,15074098.27138731
2.129e-05,376.57434617,2.128e-05,3.1e-05,2.128e-05,2.023e-05,BTC-POT,366.0,2942.0,2.1e-05,2017-09-14T05:57:11.13,15081701.33117856
2.129e-05,376.68478132,2.128e-05,3.1e-05,2.128e-05,2.023e-05,BTC-POT,366.0,2942.0,2.1e-05,2017-09-14T05:57:41.057,15086890.95434481
2.129e-05,376.83422837,2.128e-05,3.1e-05,2.128e-05,2.023e-05,BTC-POT,366.0,2942.0,2.1e-05,2017-09-14T05:57:54.027,15093913.84240509
2.129e-05,376.83848437,2.128e-05,3.1e-05,2.128e-05,2.023e-05,BTC-POT,365.0,2942.0,2.1e-05,2017-09-14T05:58:26.5,15094113.84240509
2.13e-05,376.83934578,2.129e-05,3.1e-05,2.129e-05,2.023e-05,BTC-POT,366.0,2942.0,2.1e-05,2017-09-14T05:59:14.54,15094154.30325817
2.13e-05,376.83934578,2.129e-05,3.1e-05,2.129e-05,2.023e-05,BTC-POT,366.0,2942.0,2.1e-05,2017-09-14T05:59:14.54,15094154.30325817
