Ask,BaseVolume,Bid,High,Last,Low,Market,OpenBuyOrders,OpenSellOrders,PrevDay,TimeStamp,Volume
2.41e-06,60.31110742,2.4e-06,2.45e-06,2.4e-06,2.16e-06,BTC-SAFEX,400.0,6419.0,2.3e-06,2017-09-14T06:22:39.56,25956218.5091852
2.41e-06,60.31110742,2.4e-06,2.45e-06,2.4e-06,2.16e-06,BTC-SAFEX,400.0,6419.0,2.3e-06,2017-09-14T06:22:39.56,25956218.5091852
2.41e-06,60.31110742,2.4e-06,2.45e-06,2.4e-06,2.16e-06,BTC-SAFEX,400.0,6419.0,2.3e-06,2017-09-14T06:22:39.56,25956218.5091852
2.41e-06,60.31043633,2.4e-06,2.45e-06,2.4e-06,2.16e-06,BTC-SAFEX,399.0,6417.0,2.31e-06,2017-09-14T06:24:04.777,25955869.551178798
2.41e-06,60.31043633,2.4e-06,2.45e-06,2.4e-06,2.16e-06,BTC-SAFEX,399.0,6417.0,2.31e-06,2017-09-14T06:24:04.777,25955869.5511788
2.41e-06,60.31043633,2.4e-06,2.45e-06,2.4e-06,2.16e-06,BTC-SAFEX,399.0,6417.0,2.31e-06,2017-09-14T06:24:04.697,25955869.551178798
2.41e-06,60.31043633,2.4e-06,2.45e-06,2.4e-06,2.16e-06,BTC-SAFEX,399.0,6417.0,2.31e-06,2017-09-14T06:24:04.777,25955869.5511788
2.41e-06,60.31043633,2.4e-06,2.45e-06,2.4e-06,2.16e-06,BTC-SAFEX,399.0,6417.0,2.31e-06,2017-09-14T06:24:04.777,25955869.551178798
2.41e-06,60.31043633,2.4e-06,2.45e-06,2.4e-06,2.16e-06,BTC-SAFEX,399.0,6417.0,2.31e-06,2017-09-14T06:24:04.777,25955869.5511788
2.41e-06,60.31043633,2.4e-06,2.45e-06,2.4e-06,2.16e-06,BTC-SAFEX,399.0,6417.0,2.31e-06,2017-09-14T06:24:04.777,25955869.551178798
2.41e-06,60.35674041,2.4e-06,2.45e-06,2.4e-06,2.16e-06,BTC-SAFEX,399.0,6421.0,2.32e-06,2017-09-14T06:27:26.317,25975129.58836791
2.41e-06,60.35674041,2.4e-06,2.45e-06,2.4e-06,2.16e-06,BTC-SAFEX,399.0,6421.0,2.32e-06,2017-09-14T06:27:26.317,25975129.58836791
2.41e-06,60.44186672,2.4e-06,2.45e-06,2.4e-06,2.16e-06,BTC-SAFEX,399.0,6418.0,2.31e-06,2017-09-14T06:28:49.53,26010523.88710658
2.41e-06,60.44186672,2.4e-06,2.45e-06,2.4e-06,2.16e-06,BTC-SAFEX,399.0,6418.0,2.31e-06,2017-09-14T06:28:49.53,26010523.88710658
2.41e-06,60.44186672,2.4e-06,2.45e-06,2.4e-06,2.16e-06,BTC-SAFEX,399.0,6418.0,2.31e-06,2017-09-14T06:28:49.53,26010523.88710658
2.41e-06,60.44186672,2.4e-06,2.45e-06,2.4e-06,2.16e-06,BTC-SAFEX,399.0,6418.0,2.31e-06,2017-09-14T06:28:49.53,26010523.88710658
2.41e-06,60.44186672,2.4e-06,2.45e-06,2.4e-06,2.16e-06,BTC-SAFEX,399.0,6418.0,2.31e-06,2017-09-14T06:28:49.53,26010523.88710658
2.42e-06,60.565131900000004,2.4e-06,2.45e-06,2.4e-06,2.16e-06,BTC-SAFEX,400.0,6417.0,2.31e-06,2017-09-14T06:30:58.547,26061777.35405182
2.42e-06,60.5651319,2.4e-06,2.45e-06,2.4e-06,2.16e-06,BTC-SAFEX,400.0,6417.0,2.31e-06,2017-09-14T06:30:58.547,26061777.35405182
2.42e-06,60.565131900000004,2.4e-06,2.45e-06,2.4e-06,2.16e-06,BTC-SAFEX,400.0,6417.0,2.31e-06,2017-09-14T06:30:58.547,26061777.35405182
2.42e-06,60.5651319,2.4e-06,2.45e-06,2.4e-06,2.16e-06,BTC-SAFEX,400.0,6417.0,2.31e-06,2017-09-14T06:30:58.547,26061777.35405182
2.41e-06,60.565131900000004,2.4e-06,2.45e-06,2.4e-06,2.16e-06,BTC-SAFEX,400.0,6417.0,2.31e-06,2017-09-14T06:33:06.25,26061777.35405182
2.41e-06,60.5651319,2.4e-06,2.45e-06,2.4e-06,2.16e-06,BTC-SAFEX,400.0,6417.0,2.31e-06,2017-09-14T06:33:06.25,26061777.35405182
2.41e-06,60.565131900000004,2.4e-06,2.45e-06,2.4e-06,2.16e-06,BTC-SAFEX,400.0,6417.0,2.31e-06,2017-09-14T06:33:06.25,26061777.35405182
2.41e-06,60.5751069,2.4e-06,2.45e-06,2.41e-06,2.16e-06,BTC-SAFEX,399.0,6418.0,2.31e-06,2017-09-14T06:34:24.587,26065916.3582012
2.41e-06,60.5751069,2.4e-06,2.45e-06,2.41e-06,2.16e-06,BTC-SAFEX,399.0,6418.0,2.31e-06,2017-09-14T06:34:24.587,26065916.3582012
2.42e-06,60.57970423,2.4e-06,2.45e-06,2.4e-06,2.16e-06,BTC-SAFEX,399.0,6416.0,2.31e-06,2017-09-14T06:35:27.953,26067831.91503047
2.42e-06,60.77404323,2.4e-06,2.45e-06,2.4e-06,2.16e-06,BTC-SAFEX,399.0,6416.0,2.31e-06,2017-09-14T06:35:44.97,26148806.49857737
2.42e-06,60.77404323,2.4e-06,2.45e-06,2.4e-06,2.16e-06,BTC-SAFEX,399.0,6416.0,2.31e-06,2017-09-14T06:35:44.97,26148806.49857737
2.42e-06,60.77404323,2.4e-06,2.45e-06,2.4e-06,2.16e-06,BTC-SAFEX,399.0,6416.0,2.31e-06,2017-09-14T06:35:44.97,26148806.49857737
