Ask,BaseVolume,Bid,High,Last,Low,Market,OpenBuyOrders,OpenSellOrders,PrevDay,TimeStamp,Volume
6.76e-06,203.71054436,6.73e-06,6.98e-06,6.73e-06,6.37e-06,BTC-SNT,603.0,12818.0,6.54e-06,2017-09-14T05:01:18.203,30764301.1245572
6.76e-06,203.71054436,6.73e-06,6.98e-06,6.73e-06,6.37e-06,BTC-SNT,603.0,12818.0,6.54e-06,2017-09-14T05:01:18.203,30764301.1245572
6.76e-06,203.71054436,6.73e-06,6.98e-06,6.73e-06,6.37e-06,BTC-SNT,603.0,12818.0,6.54e-06,2017-09-14T05:01:18.203,30764301.1245572
6.76e-06,203.71054436,6.73e-06,6.98e-06,6.73e-06,6.37e-06,BTC-SNT,603.0,12818.0,6.54e-06,2017-09-14T05:01:18.203,30764301.1245572
6.76e-06,195.78361289,6.73e-06,6.98e-06,6.73e-06,6.37e-06,BTC-SNT,600.0,12816.0,6.44e-06,2017-09-14T05:45:15.28,29543881.94146397
6.76e-06,195.78361289,6.73e-06,6.98e-06,6.73e-06,6.37e-06,BTC-SNT,600.0,12816.0,6.44e-06,2017-09-14T05:45:15.28,29543881.94146397
6.78e-06,195.76835792,6.73e-06,6.98e-06,6.78e-06,6.37e-06,BTC-SNT,603.0,12813.0,6.4e-06,2017-09-14T05:46:21.293,29531325.26409408
6.77e-06,195.8592194,6.73e-06,6.98e-06,6.73e-06,6.37e-06,BTC-SNT,602.0,12814.0,6.4e-06,2017-09-14T05:46:28.217,29544826.22737666
6.77e-06,195.69978295,6.73e-06,6.98e-06,6.73e-06,6.37e-06,BTC-SNT,604.0,12814.0,6.42e-06,2017-09-14T05:47:11.99,29519907.38820427
6.77e-06,195.69978295,6.73e-06,6.98e-06,6.73e-06,6.37e-06,BTC-SNT,604.0,12814.0,6.42e-06,2017-09-14T05:47:11.99,29519907.38820427
6.77e-06,195.69978295,6.73e-06,6.98e-06,6.73e-06,6.37e-06,BTC-SNT,604.0,12814.0,6.42e-06,2017-09-14T05:47:11.99,29519907.38820427
6.76e-06,195.75724946,6.73e-06,6.98e-06,6.73e-06,6.37e-06,BTC-SNT,607.0,12814.0,6.42e-06,2017-09-14T05:48:26.41,29528278.50850515
6.76e-06,195.79073121,6.73e-06,6.98e-06,6.73e-06,6.37e-06,BTC-SNT,607.0,12815.0,6.42e-06,2017-09-14T05:48:38.663,29533253.50850515
6.76e-06,195.61436421,6.73e-06,6.98e-06,6.73e-06,6.37e-06,BTC-SNT,607.0,12817.0,6.44e-06,2017-09-14T05:49:13.293,29505708.87940255
6.76e-06,195.61436421,6.73e-06,6.98e-06,6.73e-06,6.37e-06,BTC-SNT,607.0,12817.0,6.44e-06,2017-09-14T05:49:13.293,29505708.87940255
6.76e-06,195.65647788,6.73e-06,6.98e-06,6.73e-06,6.37e-06,BTC-SNT,605.0,12817.0,6.45e-06,2017-09-14T05:50:11.46,29511938.23648014
6.76e-06,195.53176704,6.73e-06,6.98e-06,6.73e-06,6.37e-06,BTC-SNT,606.0,12817.0,6.45e-06,2017-09-14T05:50:34.043,29492580.94868986
6.75e-06,195.53461016,6.73e-06,6.98e-06,6.73e-06,6.37e-06,BTC-SNT,606.0,12817.0,6.45e-06,2017-09-14T05:51:00.16,29493003.4034766
6.74e-06,195.46846858,6.73e-06,6.98e-06,6.73e-06,6.37e-06,BTC-SNT,603.0,12816.0,6.5000000000000004e-06,2017-09-14T05:51:50.247,29480573.0242958
6.74e-06,195.46846858,6.73e-06,6.98e-06,6.73e-06,6.37e-06,BTC-SNT,603.0,12816.0,6.5e-06,2017-09-14T05:51:50.247,29480573.0242958
6.74e-06,195.46846858,6.73e-06,6.98e-06,6.73e-06,6.37e-06,BTC-SNT,603.0,12816.0,6.5000000000000004e-06,2017-09-14T05:51:50.247,29480573.0242958
6.74e-06,195.46846858,6.73e-06,6.98e-06,6.73e-06,6.37e-06,BTC-SNT,603.0,12816.0,6.5e-06,2017-09-14T05:51:50.247,29480573.0242958
6.73e-06,195.54891305,6.72e-06,6.98e-06,6.73e-06,6.37e-06,BTC-SNT,601.0,12814.0,6.48e-06,2017-09-14T05:54:15.38,29492227.74924289
6.73e-06,195.55193282,6.72e-06,6.98e-06,6.72e-06,6.37e-06,BTC-SNT,600.0,12815.0,6.48e-06,2017-09-14T05:54:40.557,29492677.12101708
6.74e-06,195.57279588,6.73e-06,6.98e-06,6.73e-06,6.37e-06,BTC-SNT,601.0,12815.0,6.48e-06,2017-09-14T05:55:10.717,29495777.13101708
6.77e-06,196.37900468,6.75e-06,6.98e-06,6.78e-06,6.37e-06,BTC-SNT,606.0,12812.0,6.48e-06,2017-09-14T05:55:54.397,29614733.38843873
6.77e-06,196.37900468,6.75e-06,6.98e-06,6.78e-06,6.37e-06,BTC-SNT,606.0,12812.0,6.48e-06,2017-09-14T05:55:54.397,29614733.38843873
6.77e-06,196.37900468,6.75e-06,6.98e-06,6.78e-06,6.37e-06,BTC-SNT,606.0,12812.0,6.48e-06,2017-09-14T05:55:54.397,29614733.38843873
6.77e-06,196.24145935,6.74e-06,6.98e-06,6.74e-06,6.37e-06,BTC-SNT,603.0,12818.0,6.48e-06,2017-09-14T05:57:44.37,29593248.38843873
6.78e-06,196.48422154,6.74e-06,6.98e-06,6.78e-06,6.37e-06,BTC-SNT,604.0,12813.0,6.48e-06,2017-09-14T05:58:21.377,29628879.12672413
6.78e-06,196.48422154,6.75e-06,6.98e-06,6.78e-06,6.37e-06,BTC-SNT,604.0,12813.0,6.48e-06,2017-09-14T05:58:40.02,29628879.12672413
6.78e-06,196.48422154,6.74e-06,6.98e-06,6.78e-06,6.37e-06,BTC-SNT,604.0,12813.0,6.48e-06,2017-09-14T05:59:25.37,29628879.12672413
6.77e-06,196.48422154,6.74e-06,6.98e-06,6.78e-06,6.37e-06,BTC-SNT,604.0,12813.0,6.48e-06,2017-09-14T05:59:56.047,29628879.12672413
6.77e-06,195.83091007,6.75e-06,6.98e-06,6.77e-06,6.37e-06,BTC-SNT,605.0,12820.0,6.51e-06,2017-09-14T06:00:48.98,29528012.44741968
6.77e-06,195.83091007,6.75e-06,6.98e-06,6.77e-06,6.37e-06,BTC-SNT,605.0,12820.0,6.51e-06,2017-09-14T06:00:48.98,29528012.44741968
6.77e-06,195.83677786,6.75e-06,6.98e-06,6.75e-06,6.37e-06,BTC-SNT,607.0,12820.0,6.51e-06,2017-09-14T06:02:00.6,29528881.74994239
6.77e-06,195.87052786,6.75e-06,6.98e-06,6.75e-06,6.37e-06,BTC-SNT,607.0,12820.0,6.51e-06,2017-09-14T06:02:32.963,29533881.74994239
6.77e-06,195.94235833,6.74e-06,6.98e-06,6.74e-06,6.37e-06,BTC-SNT,605.0,12820.0,6.51e-06,2017-09-14T06:02:55.373,29544525.87586832
6.77e-06,195.84517263,6.74e-06,6.98e-06,6.74e-06,6.37e-06,BTC-SNT,607.0,12820.0,6.5000000000000004e-06,2017-09-14T06:03:53.04,29529466.21883187
6.77e-06,195.78177696,6.74e-06,6.98e-06,6.74e-06,6.37e-06,BTC-SNT,606.0,12820.0,6.5e-06,2017-09-14T06:04:43.58,29519647.83803331
6.77e-06,195.76856659,6.74e-06,6.98e-06,6.77e-06,6.37e-06,BTC-SNT,607.0,12819.0,6.5000000000000004e-06,2017-09-14T06:05:23.32,29517530.57197191
6.77e-06,195.76856659,6.74e-06,6.98e-06,6.77e-06,6.37e-06,BTC-SNT,607.0,12819.0,6.5e-06,2017-09-14T06:05:23.32,29517530.57197191
6.77e-06,195.76856659,6.75e-06,6.98e-06,6.77e-06,6.37e-06,BTC-SNT,607.0,12819.0,6.5000000000000004e-06,2017-09-14T06:06:08.937,29517530.57197191
6.76e-06,195.76856659,6.74e-06,6.98e-06,6.77e-06,6.37e-06,BTC-SNT,607.0,12819.0,6.5e-06,2017-09-14T06:06:54.707,29517530.57197191
6.74e-06,195.54868547,6.73e-06,6.98e-06,6.74e-06,6.37e-06,BTC-SNT,605.0,12821.0,6.56e-06,2017-09-14T06:07:19.367,29483351.95489835
6.74e-06,195.54868547,6.73e-06,6.98e-06,6.74e-06,6.37e-06,BTC-SNT,605.0,12821.0,6.56e-06,2017-09-14T06:07:19.367,29483351.95489835
6.74e-06,195.54868547,6.73e-06,6.98e-06,6.74e-06,6.37e-06,BTC-SNT,605.0,12821.0,6.56e-06,2017-09-14T06:07:19.367,29483351.95489835
6.76e-06,195.4538634,6.74e-06,6.98e-06,6.74e-06,6.37e-06,BTC-SNT,606.0,12818.0,6.51e-06,2017-09-14T06:08:53.633,29468715.00532594
6.76e-06,195.45386340000002,6.74e-06,6.98e-06,6.74e-06,6.37e-06,BTC-SNT,606.0,12818.0,6.51e-06,2017-09-14T06:08:53.633,29468715.00532594
6.76e-06,195.4538634,6.74e-06,6.98e-06,6.74e-06,6.37e-06,BTC-SNT,606.0,12818.0,6.51e-06,2017-09-14T06:08:53.633,29468715.00532594
6.76e-06,195.45386340000002,6.74e-06,6.98e-06,6.74e-06,6.37e-06,BTC-SNT,606.0,12818.0,6.51e-06,2017-09-14T06:08:53.633,29468715.00532594
6.76e-06,195.4538634,6.74e-06,6.98e-06,6.74e-06,6.37e-06,BTC-SNT,606.0,12818.0,6.51e-06,2017-09-14T06:08:53.633,29468715.00532594
6.76e-06,195.45386340000002,6.74e-06,6.98e-06,6.74e-06,6.37e-06,BTC-SNT,606.0,12818.0,6.51e-06,2017-09-14T06:08:53.49,29468715.00532594
6.76e-06,195.4538634,6.74e-06,6.98e-06,6.74e-06,6.37e-06,BTC-SNT,606.0,12818.0,6.51e-06,2017-09-14T06:08:53.633,29468715.00532594
6.75e-06,195.45386340000002,6.74e-06,6.98e-06,6.74e-06,6.37e-06,BTC-SNT,606.0,12818.0,6.51e-06,2017-09-14T06:11:47.19,29468715.00532594
6.75e-06,195.4538634,6.74e-06,6.98e-06,6.74e-06,6.37e-06,BTC-SNT,606.0,12818.0,6.51e-06,2017-09-14T06:11:47.19,29468715.00532594
6.74e-06,195.43780671,6.73e-06,6.98e-06,6.74e-06,6.37e-06,BTC-SNT,604.0,12818.0,6.56e-06,2017-09-14T06:12:56.56,29466242.65991508
6.74e-06,195.43780671,6.73e-06,6.98e-06,6.74e-06,6.37e-06,BTC-SNT,604.0,12818.0,6.56e-06,2017-09-14T06:12:56.56,29466242.65991508
6.74e-06,195.43780671,6.73e-06,6.98e-06,6.74e-06,6.37e-06,BTC-SNT,604.0,12818.0,6.56e-06,2017-09-14T06:12:56.56,29466242.65991508
6.74e-06,195.43780671,6.73e-06,6.98e-06,6.74e-06,6.37e-06,BTC-SNT,604.0,12818.0,6.56e-06,2017-09-14T06:12:56.56,29466242.65991508
6.74e-06,195.43780671,6.73e-06,6.98e-06,6.74e-06,6.37e-06,BTC-SNT,604.0,12818.0,6.56e-06,2017-09-14T06:12:56.56,29466242.65991508
6.73e-06,195.01626572,6.72e-06,6.98e-06,6.73e-06,6.37e-06,BTC-SNT,602.0,12815.0,6.59e-06,2017-09-14T06:15:12.047,29401897.39175519
6.73e-06,195.01626572,6.72e-06,6.98e-06,6.73e-06,6.37e-06,BTC-SNT,602.0,12815.0,6.59e-06,2017-09-14T06:15:12.047,29401897.39175519
6.73e-06,195.01626572,6.72e-06,6.98e-06,6.73e-06,6.37e-06,BTC-SNT,602.0,12815.0,6.59e-06,2017-09-14T06:15:12.22,29401897.39175519
6.73e-06,195.49907261,6.72e-06,6.98e-06,6.73e-06,6.37e-06,BTC-SNT,602.0,12815.0,6.56e-06,2017-09-14T06:16:39.53,29473405.09763714
6.73e-06,195.49907261,6.72e-06,6.98e-06,6.73e-06,6.37e-06,BTC-SNT,602.0,12815.0,6.56e-06,2017-09-14T06:16:39.53,29473405.09763714
6.73e-06,195.49907261,6.72e-06,6.98e-06,6.73e-06,6.37e-06,BTC-SNT,602.0,12815.0,6.56e-06,2017-09-14T06:16:39.53,29473405.09763714
6.73e-06,195.49907261,6.72e-06,6.98e-06,6.73e-06,6.37e-06,BTC-SNT,602.0,12815.0,6.56e-06,2017-09-14T06:16:39.53,29473405.09763714
6.73e-06,195.04513852,6.72e-06,6.98e-06,6.73e-06,6.37e-06,BTC-SNT,603.0,12814.0,6.54e-06,2017-09-14T06:18:40.95,29403989.38278316
6.73e-06,195.11177275,6.72e-06,6.98e-06,6.73e-06,6.37e-06,BTC-SNT,603.0,12814.0,6.54e-06,2017-09-14T06:18:55.92,29413890.45810263
6.73e-06,195.13907004,6.72e-06,6.98e-06,6.72e-06,6.37e-06,BTC-SNT,603.0,12814.0,6.54e-06,2017-09-14T06:19:34.317,29417952.55611948
6.73e-06,195.13907004,6.72e-06,6.98e-06,6.72e-06,6.37e-06,BTC-SNT,603.0,12814.0,6.54e-06,2017-09-14T06:19:34.317,29417952.55611948
6.72e-06,195.36392238,6.71e-06,6.98e-06,6.72e-06,6.37e-06,BTC-SNT,602.0,12816.0,6.54e-06,2017-09-14T06:20:30.81,29451412.72585969
6.72e-06,195.36392238,6.71e-06,6.98e-06,6.72e-06,6.37e-06,BTC-SNT,602.0,12816.0,6.54e-06,2017-09-14T06:20:30.81,29451412.72585969
6.72e-06,194.60666162,6.71e-06,6.98e-06,6.71e-06,6.37e-06,BTC-SNT,602.0,12814.0,6.51e-06,2017-09-14T06:21:37.427,29335197.53862516
6.72e-06,194.70290384,6.7e-06,6.98e-06,6.7e-06,6.37e-06,BTC-SNT,598.0,12814.0,6.51e-06,2017-09-14T06:21:59.057,29349212.39261692
6.72e-06,194.70290384,6.7e-06,6.98e-06,6.7e-06,6.37e-06,BTC-SNT,598.0,12814.0,6.51e-06,2017-09-14T06:21:59.057,29349212.39261692
6.72e-06,194.70290384,6.7e-06,6.98e-06,6.7e-06,6.37e-06,BTC-SNT,598.0,12814.0,6.51e-06,2017-09-14T06:21:59.057,29349212.39261692
6.72e-06,194.70290384,6.7e-06,6.98e-06,6.7e-06,6.37e-06,BTC-SNT,598.0,12814.0,6.51e-06,2017-09-14T06:21:59.057,29349212.39261692
6.72e-06,194.70290384,6.7e-06,6.98e-06,6.7e-06,6.37e-06,BTC-SNT,598.0,12814.0,6.51e-06,2017-09-14T06:21:59.057,29349212.39261692
6.72e-06,195.08709586,6.69e-06,6.98e-06,6.72e-06,6.37e-06,BTC-SNT,569.0,12821.0,6.48e-06,2017-09-14T06:25:15.52,29405577.74836305
6.72e-06,195.08709586,6.69e-06,6.98e-06,6.72e-06,6.37e-06,BTC-SNT,569.0,12821.0,6.48e-06,2017-09-14T06:25:15.52,29405577.74836305
6.76e-06,195.31204159,6.72e-06,6.98e-06,6.72e-06,6.37e-06,BTC-SNT,570.0,12841.0,6.48e-06,2017-09-14T06:26:19.887,29439051.81775674
6.74e-06,195.80111994,6.7e-06,6.98e-06,6.72e-06,6.37e-06,BTC-SNT,567.0,12842.0,6.48e-06,2017-09-14T06:26:45.36,29511526.61751756
6.75e-06,195.8692665,6.72e-06,6.98e-06,6.7e-06,6.37e-06,BTC-SNT,567.0,12844.0,6.48e-06,2017-09-14T06:27:05.75,29521697.74680336
6.73e-06,195.90321022,6.69e-06,6.98e-06,6.69e-06,6.37e-06,BTC-SNT,565.0,12843.0,6.48e-06,2017-09-14T06:27:49.397,29526722.61871916
6.73e-06,195.76801241,6.69e-06,6.98e-06,6.72e-06,6.37e-06,BTC-SNT,571.0,12848.0,6.48e-06,2017-09-14T06:28:23.353,29505824.8996511
6.71e-06,195.76801241,6.69e-06,6.98e-06,6.72e-06,6.37e-06,BTC-SNT,571.0,12848.0,6.48e-06,2017-09-14T06:28:46.42,29505824.8996511
6.71e-06,195.76777033,6.69e-06,6.98e-06,6.71e-06,6.37e-06,BTC-SNT,591.0,12850.0,6.52e-06,2017-09-14T06:28:58.72,29505784.57559372
6.71e-06,195.76777033,6.69e-06,6.98e-06,6.71e-06,6.37e-06,BTC-SNT,591.0,12850.0,6.52e-06,2017-09-14T06:28:58.72,29505784.57559372
6.71e-06,195.77866679,6.67e-06,6.98e-06,6.67e-06,6.37e-06,BTC-SNT,589.0,12848.0,6.52e-06,2017-09-14T06:29:57.523,29507405.21949249
6.71e-06,196.23170338,6.66e-06,6.98e-06,6.66e-06,6.37e-06,BTC-SNT,591.0,12849.0,6.52e-06,2017-09-14T06:30:37.793,29575405.21949249
6.71e-06,196.24898134,6.66e-06,6.98e-06,6.71e-06,6.37e-06,BTC-SNT,593.0,12849.0,6.52e-06,2017-09-14T06:31:04.64,29577990.01769115
6.71e-06,196.27519537,6.66e-06,6.98e-06,6.71e-06,6.37e-06,BTC-SNT,589.0,12849.0,6.52e-06,2017-09-14T06:31:32.863,29581841.50843584
6.63e-06,197.35505758,6.62e-06,6.98e-06,6.63e-06,6.37e-06,BTC-SNT,577.0,12850.0,6.48e-06,2017-09-14T06:31:57.32,29744304.0797699
6.7e-06,198.64200028,6.63e-06,6.98e-06,6.63e-06,6.37e-06,BTC-SNT,582.0,12849.0,6.48e-06,2017-09-14T06:32:18.32,29938413.09207087
6.68e-06,198.64533884,6.63e-06,6.98e-06,6.63e-06,6.37e-06,BTC-SNT,589.0,12852.0,6.48e-06,2017-09-14T06:33:09.467,29938916.64644774
6.67e-06,198.64533884,6.63e-06,6.98e-06,6.63e-06,6.37e-06,BTC-SNT,589.0,12852.0,6.48e-06,2017-09-14T06:33:29.8,29938916.64644774
6.67e-06,198.64533884,6.63e-06,6.98e-06,6.63e-06,6.37e-06,BTC-SNT,589.0,12852.0,6.48e-06,2017-09-14T06:33:29.987,29938916.64644774
6.7e-06,198.64533884,6.67e-06,6.98e-06,6.63e-06,6.37e-06,BTC-SNT,589.0,12852.0,6.48e-06,2017-09-14T06:34:26.15,29938916.64644774
6.7e-06,198.66059943,6.64e-06,6.98e-06,6.67e-06,6.37e-06,BTC-SNT,589.0,12850.0,6.48e-06,2017-09-14T06:35:07.327,29941204.59141025
6.68e-06,198.67553943,6.65e-06,6.98e-06,6.64e-06,6.37e-06,BTC-SNT,586.0,12850.0,6.48e-06,2017-09-14T06:35:39.11,29943454.59141025
6.68e-06,198.67553943,6.65e-06,6.98e-06,6.64e-06,6.37e-06,BTC-SNT,586.0,12850.0,6.48e-06,2017-09-14T06:36:12.397,29943454.59141025
6.69e-06,198.67553943,6.65e-06,6.98e-06,6.64e-06,6.37e-06,BTC-SNT,586.0,12850.0,6.48e-06,2017-09-14T06:36:28.57,29943454.59141025
6.69e-06,198.67553943,6.65e-06,6.98e-06,6.64e-06,6.37e-06,BTC-SNT,586.0,12850.0,6.48e-06,2017-09-14T06:36:28.57,29943454.59141025
6.69e-06,198.67553943,6.65e-06,6.98e-06,6.64e-06,6.37e-06,BTC-SNT,586.0,12850.0,6.48e-06,2017-09-14T06:36:28.57,29943454.59141025
6.69e-06,198.67553943,6.65e-06,6.98e-06,6.64e-06,6.37e-06,BTC-SNT,586.0,12850.0,6.48e-06,2017-09-14T06:36:28.57,29943454.59141025
6.69e-06,198.67553943,6.65e-06,6.98e-06,6.64e-06,6.37e-06,BTC-SNT,586.0,12850.0,6.48e-06,2017-09-14T06:36:28.57,29943454.59141025
6.69e-06,198.67553943,6.65e-06,6.98e-06,6.64e-06,6.37e-06,BTC-SNT,586.0,12850.0,6.48e-06,2017-09-14T06:36:28.57,29943454.59141025
6.68e-06,198.55939097,6.65e-06,6.98e-06,6.65e-06,6.37e-06,BTC-SNT,587.0,12848.0,6.56e-06,2017-09-14T06:39:24.637,29925672.85858947
6.68e-06,198.55939097,6.65e-06,6.98e-06,6.65e-06,6.37e-06,BTC-SNT,587.0,12848.0,6.56e-06,2017-09-14T06:39:24.637,29925672.85858947
6.68e-06,198.56170172,6.65e-06,6.98e-06,6.65e-06,6.37e-06,BTC-SNT,587.0,12848.0,6.56e-06,2017-09-14T06:40:20.907,29926020.34106698
6.68e-06,198.57171716,6.66e-06,6.98e-06,6.68e-06,6.37e-06,BTC-SNT,588.0,12846.0,6.56e-06,2017-09-14T06:40:42.487,29927519.65972342
6.69e-06,198.64259761,6.66e-06,6.98e-06,6.66e-06,6.37e-06,BTC-SNT,583.0,12844.0,6.56e-06,2017-09-14T06:41:17.867,29938162.37087188
6.69e-06,198.64259761,6.66e-06,6.98e-06,6.66e-06,6.37e-06,BTC-SNT,583.0,12844.0,6.56e-06,2017-09-14T06:41:17.867,29938162.37087188
6.69e-06,198.64781016,6.66e-06,6.98e-06,6.66e-06,6.37e-06,BTC-SNT,584.0,12841.0,6.56e-06,2017-09-14T06:42:00.37,29938913.01791853
6.69e-06,198.64781016,6.66e-06,6.98e-06,6.66e-06,6.37e-06,BTC-SNT,584.0,12841.0,6.56e-06,2017-09-14T06:42:00.37,29938913.01791853
6.68e-06,198.64781016,6.66e-06,6.98e-06,6.66e-06,6.37e-06,BTC-SNT,584.0,12841.0,6.56e-06,2017-09-14T06:43:34.88,29938913.01791853
6.68e-06,198.60993044,6.66e-06,6.98e-06,6.66e-06,6.37e-06,BTC-SNT,586.0,12841.0,6.54e-06,2017-09-14T06:44:49.827,29933115.50608438
6.68e-06,198.60993044,6.66e-06,6.98e-06,6.66e-06,6.37e-06,BTC-SNT,586.0,12841.0,6.54e-06,2017-09-14T06:44:49.827,29933115.50608438
6.69e-06,198.74121826,6.67e-06,6.98e-06,6.69e-06,6.37e-06,BTC-SNT,587.0,12839.0,6.57e-06,2017-09-14T06:45:45.893,29952539.38259557
6.69e-06,198.74121826,6.66e-06,6.98e-06,6.69e-06,6.37e-06,BTC-SNT,587.0,12839.0,6.57e-06,2017-09-14T06:46:08.63,29952539.38259557
6.68e-06,198.68517717,6.67e-06,6.98e-06,6.66e-06,6.37e-06,BTC-SNT,587.0,12838.0,6.58e-06,2017-09-14T06:46:39.073,29943969.97057293
6.7e-06,198.75331255,6.66e-06,6.98e-06,6.7e-06,6.37e-06,BTC-SNT,589.0,12836.0,6.58e-06,2017-09-14T06:47:09.67,29954158.18247592
6.7e-06,198.75331255,6.66e-06,6.98e-06,6.7e-06,6.37e-06,BTC-SNT,589.0,12836.0,6.58e-06,2017-09-14T06:47:09.67,29954158.18247592
6.71e-06,198.82431373,6.7e-06,6.98e-06,6.71e-06,6.37e-06,BTC-SNT,591.0,12836.0,6.58e-06,2017-09-14T06:48:15.02,29964706.57012787
6.73e-06,198.66958938,6.72e-06,6.98e-06,6.71e-06,6.37e-06,BTC-SNT,591.0,12834.0,6.56e-06,2017-09-14T06:48:43.977,29941114.55904429
6.74e-06,198.81115099,6.72e-06,6.98e-06,6.75e-06,6.37e-06,BTC-SNT,591.0,12832.0,6.56e-06,2017-09-14T06:49:08.853,29961847.91777762
