Ask,BaseVolume,Bid,High,Last,Low,Market,OpenBuyOrders,OpenSellOrders,PrevDay,TimeStamp,Volume
3.707e-05,12.08252029,3.67e-05,3.939e-05,3.652e-05,3.5e-05,BTC-SYNX,226.0,2843.0,3.7e-05,2017-09-14T06:16:34.167,324069.33698203
3.71e-05,12.07768135,3.6700000000000004e-05,3.939e-05,3.652e-05,3.5e-05,BTC-SYNX,256.0,2875.0,3.677e-05,2017-09-14T06:23:09.55,323937.73662037
3.71e-05,12.07768135,3.67e-05,3.939e-05,3.652e-05,3.5e-05,BTC-SYNX,256.0,2875.0,3.677e-05,2017-09-14T06:23:09.55,323937.73662037
3.71e-05,12.07768135,3.6700000000000004e-05,3.939e-05,3.652e-05,3.5e-05,BTC-SYNX,256.0,2875.0,3.677e-05,2017-09-14T06:23:09.55,323937.73662037
3.71e-05,12.07768135,3.67e-05,3.939e-05,3.652e-05,3.5e-05,BTC-SYNX,256.0,2875.0,3.677e-05,2017-09-14T06:23:09.55,323937.73662037
3.71e-05,12.07768135,3.6700000000000004e-05,3.939e-05,3.652e-05,3.5e-05,BTC-SYNX,256.0,2875.0,3.677e-05,2017-09-14T06:23:09.55,323937.73662037
3.71e-05,12.07768135,3.67e-05,3.939e-05,3.652e-05,3.5e-05,BTC-SYNX,256.0,2875.0,3.677e-05,2017-09-14T06:23:09.55,323937.73662037
3.71e-05,12.07768135,3.6700000000000004e-05,3.939e-05,3.652e-05,3.5e-05,BTC-SYNX,256.0,2875.0,3.677e-05,2017-09-14T06:23:09.313,323937.73662037
3.71e-05,12.07768135,3.67e-05,3.939e-05,3.652e-05,3.5e-05,BTC-SYNX,256.0,2875.0,3.677e-05,2017-09-14T06:23:09.55,323937.73662037
3.71e-05,12.07768135,3.6700000000000004e-05,3.939e-05,3.652e-05,3.5e-05,BTC-SYNX,256.0,2875.0,3.677e-05,2017-09-14T06:23:09.313,323937.73662037
3.71e-05,12.07768135,3.67e-05,3.939e-05,3.652e-05,3.5e-05,BTC-SYNX,256.0,2875.0,3.677e-05,2017-09-14T06:23:09.55,323937.73662037
3.71e-05,12.07768135,3.6700000000000004e-05,3.939e-05,3.652e-05,3.5e-05,BTC-SYNX,256.0,2875.0,3.677e-05,2017-09-14T06:23:09.55,323937.73662037
3.71e-05,12.07768135,3.67e-05,3.939e-05,3.652e-05,3.5e-05,BTC-SYNX,256.0,2875.0,3.677e-05,2017-09-14T06:23:09.313,323937.73662037
3.71e-05,12.07768135,3.6700000000000004e-05,3.939e-05,3.652e-05,3.5e-05,BTC-SYNX,256.0,2875.0,3.677e-05,2017-09-14T06:23:09.55,323937.73662037
3.71e-05,12.07768135,3.67e-05,3.939e-05,3.652e-05,3.5e-05,BTC-SYNX,256.0,2875.0,3.677e-05,2017-09-14T06:23:09.55,323937.73662037
3.71e-05,12.07193057,3.6700000000000004e-05,3.939e-05,3.71e-05,3.5e-05,BTC-SYNX,259.0,2876.0,3.667e-05,2017-09-14T06:29:52.99,323780.49136974
3.71e-05,12.07193057,3.67e-05,3.939e-05,3.71e-05,3.5e-05,BTC-SYNX,259.0,2876.0,3.667e-05,2017-09-14T06:29:52.99,323780.49136974
3.71e-05,12.07193057,3.6700000000000004e-05,3.939e-05,3.71e-05,3.5e-05,BTC-SYNX,259.0,2876.0,3.667e-05,2017-09-14T06:29:52.99,323780.49136974
3.71e-05,12.07193057,3.67e-05,3.939e-05,3.71e-05,3.5e-05,BTC-SYNX,259.0,2876.0,3.667e-05,2017-09-14T06:29:52.99,323780.49136974
3.71e-05,12.07193057,3.6700000000000004e-05,3.939e-05,3.71e-05,3.5e-05,BTC-SYNX,259.0,2876.0,3.667e-05,2017-09-14T06:29:52.99,323780.49136974
3.71e-05,12.07193057,3.67e-05,3.939e-05,3.71e-05,3.5e-05,BTC-SYNX,259.0,2876.0,3.667e-05,2017-09-14T06:29:52.99,323780.49136974
3.71e-05,12.07193057,3.6700000000000004e-05,3.939e-05,3.71e-05,3.5e-05,BTC-SYNX,259.0,2876.0,3.667e-05,2017-09-14T06:29:52.99,323780.49136974
3.71e-05,12.07193057,3.671e-05,3.939e-05,3.71e-05,3.5e-05,BTC-SYNX,259.0,2876.0,3.667e-05,2017-09-14T06:33:23.547,323780.49136974
3.71e-05,12.07193057,3.671e-05,3.939e-05,3.71e-05,3.5e-05,BTC-SYNX,259.0,2876.0,3.667e-05,2017-09-14T06:33:23.547,323780.49136974
3.691e-05,12.21967067,3.67e-05,3.939e-05,3.67e-05,3.5e-05,BTC-SYNX,258.0,2875.0,3.667e-05,2017-09-14T06:34:32.807,327806.10124816
3.691e-05,12.21967067,3.6700000000000004e-05,3.939e-05,3.6700000000000004e-05,3.5e-05,BTC-SYNX,258.0,2875.0,3.667e-05,2017-09-14T06:34:32.807,327806.10124816
3.691e-05,12.21967067,3.67e-05,3.939e-05,3.67e-05,3.5e-05,BTC-SYNX,258.0,2875.0,3.667e-05,2017-09-14T06:34:32.807,327806.10124816
3.691e-05,12.21967067,3.6700000000000004e-05,3.939e-05,3.6700000000000004e-05,3.5e-05,BTC-SYNX,258.0,2875.0,3.667e-05,2017-09-14T06:34:32.807,327806.10124816
3.711e-05,12.21967067,3.675e-05,3.939e-05,3.67e-05,3.5e-05,BTC-SYNX,258.0,2875.0,3.667e-05,2017-09-14T06:36:29.727,327806.10124816
3.742e-05,12.27582707,3.676e-05,3.939e-05,3.675e-05,3.5e-05,BTC-SYNX,257.0,2875.0,3.667e-05,2017-09-14T06:36:56.947,329328.28943404
3.74e-05,12.27582707,3.676e-05,3.939e-05,3.675e-05,3.5e-05,BTC-SYNX,257.0,2875.0,3.667e-05,2017-09-14T06:37:40.31,329328.28943404
3.74e-05,12.27582707,3.676e-05,3.939e-05,3.675e-05,3.5e-05,BTC-SYNX,257.0,2875.0,3.667e-05,2017-09-14T06:37:40.453,329328.28943404
3.74e-05,12.27582707,3.676e-05,3.939e-05,3.675e-05,3.5e-05,BTC-SYNX,257.0,2875.0,3.667e-05,2017-09-14T06:37:40.453,329328.28943404
3.738e-05,12.27582707,3.676e-05,3.939e-05,3.675e-05,3.5e-05,BTC-SYNX,257.0,2875.0,3.667e-05,2017-09-14T06:39:13.98,329328.28943404
3.738e-05,12.27582707,3.68e-05,3.939e-05,3.675e-05,3.5e-05,BTC-SYNX,257.0,2875.0,3.667e-05,2017-09-14T06:39:23.493,329328.28943404
3.737e-05,12.27582707,3.681e-05,3.939e-05,3.675e-05,3.5e-05,BTC-SYNX,257.0,2875.0,3.667e-05,2017-09-14T06:40:00.39,329328.28943404
3.737e-05,12.27582707,3.681e-05,3.939e-05,3.675e-05,3.5e-05,BTC-SYNX,257.0,2875.0,3.667e-05,2017-09-14T06:40:22.953,329328.28943404
3.736e-05,12.27582707,3.686e-05,3.939e-05,3.675e-05,3.5e-05,BTC-SYNX,257.0,2875.0,3.667e-05,2017-09-14T06:40:37.567,329328.28943404
3.736e-05,12.27582707,3.686e-05,3.939e-05,3.675e-05,3.5e-05,BTC-SYNX,257.0,2875.0,3.667e-05,2017-09-14T06:40:37.69,329328.28943404
3.736e-05,12.27582707,3.691e-05,3.939e-05,3.675e-05,3.5e-05,BTC-SYNX,257.0,2875.0,3.667e-05,2017-09-14T06:41:33.557,329328.28943404
3.736e-05,12.27582707,3.691e-05,3.939e-05,3.675e-05,3.5e-05,BTC-SYNX,257.0,2875.0,3.667e-05,2017-09-14T06:41:33.557,329328.28943404
3.736e-05,12.27582707,3.676e-05,3.939e-05,3.675e-05,3.5e-05,BTC-SYNX,257.0,2875.0,3.667e-05,2017-09-14T06:42:41.36,329328.28943404
3.736e-05,12.27582707,3.676e-05,3.939e-05,3.675e-05,3.5e-05,BTC-SYNX,257.0,2875.0,3.667e-05,2017-09-14T06:42:41.36,329328.28943404
3.734e-05,12.27582707,3.677e-05,3.939e-05,3.675e-05,3.5e-05,BTC-SYNX,257.0,2875.0,3.667e-05,2017-09-14T06:44:36.2,329328.28943404
3.734e-05,12.27582707,3.677e-05,3.939e-05,3.675e-05,3.5e-05,BTC-SYNX,257.0,2875.0,3.667e-05,2017-09-14T06:44:36.2,329328.28943404
3.733e-05,12.27582707,3.677e-05,3.939e-05,3.675e-05,3.5e-05,BTC-SYNX,257.0,2875.0,3.667e-05,2017-09-14T06:45:42.583,329328.28943404
3.733e-05,12.27582707,3.677e-05,3.939e-05,3.675e-05,3.5e-05,BTC-SYNX,257.0,2875.0,3.667e-05,2017-09-14T06:46:08.693,329328.28943404
3.736e-05,12.27582707,3.7e-05,3.939e-05,3.675e-05,3.5e-05,BTC-SYNX,257.0,2875.0,3.667e-05,2017-09-14T06:46:22.18,329328.28943404
3.736e-05,12.27582707,3.7e-05,3.939e-05,3.675e-05,3.5e-05,BTC-SYNX,257.0,2875.0,3.667e-05,2017-09-14T06:46:22.18,329328.28943404
3.736e-05,12.27582707,3.718e-05,3.939e-05,3.675e-05,3.5e-05,BTC-SYNX,257.0,2875.0,3.667e-05,2017-09-14T06:47:27.56,329328.28943404
3.736e-05,12.27582707,3.718e-05,3.939e-05,3.675e-05,3.5e-05,BTC-SYNX,257.0,2875.0,3.667e-05,2017-09-14T06:47:27.56,329328.28943404
3.736e-05,12.27582707,3.718e-05,3.939e-05,3.675e-05,3.5e-05,BTC-SYNX,257.0,2875.0,3.667e-05,2017-09-14T06:47:27.56,329328.28943404
3.735e-05,12.27582707,3.718e-05,3.939e-05,3.675e-05,3.5e-05,BTC-SYNX,257.0,2875.0,3.667e-05,2017-09-14T06:49:21.417,329328.28943404
3.735e-05,12.27582707,3.718e-05,3.939e-05,3.675e-05,3.5e-05,BTC-SYNX,257.0,2875.0,3.667e-05,2017-09-14T06:49:21.417,329328.28943404
3.735e-05,12.27582707,3.718e-05,3.939e-05,3.675e-05,3.5e-05,BTC-SYNX,257.0,2875.0,3.667e-05,2017-09-14T06:49:21.417,329328.28943404
3.735e-05,12.27582707,3.718e-05,3.939e-05,3.675e-05,3.5e-05,BTC-SYNX,257.0,2875.0,3.667e-05,2017-09-14T06:49:21.417,329328.28943404
3.735e-05,12.27582707,3.718e-05,3.939e-05,3.675e-05,3.5e-05,BTC-SYNX,257.0,2875.0,3.667e-05,2017-09-14T06:49:21.417,329328.28943404
3.735e-05,12.27582707,3.718e-05,3.939e-05,3.675e-05,3.5e-05,BTC-SYNX,257.0,2875.0,3.667e-05,2017-09-14T06:49:21.417,329328.28943404
3.735e-05,12.27582707,3.718e-05,3.939e-05,3.675e-05,3.5e-05,BTC-SYNX,257.0,2875.0,3.667e-05,2017-09-14T06:49:21.417,329328.28943404
3.7e-05,12.34869931,3.675e-05,3.939e-05,3.7e-05,3.5e-05,BTC-SYNX,234.0,2875.0,3.667e-05,2017-09-14T06:52:26.687,331291.4242288
3.7e-05,12.34869931,3.675e-05,3.939e-05,3.7e-05,3.5e-05,BTC-SYNX,234.0,2875.0,3.667e-05,2017-09-14T06:52:26.687,331291.4242288
3.7e-05,12.34869931,3.675e-05,3.939e-05,3.7e-05,3.5e-05,BTC-SYNX,234.0,2875.0,3.667e-05,2017-09-14T06:52:26.687,331291.4242288
3.7e-05,12.34869931,3.675e-05,3.939e-05,3.7e-05,3.5e-05,BTC-SYNX,234.0,2875.0,3.667e-05,2017-09-14T06:52:26.687,331291.4242288
3.7e-05,12.34869931,3.675e-05,3.939e-05,3.7e-05,3.5e-05,BTC-SYNX,234.0,2875.0,3.667e-05,2017-09-14T06:52:26.687,331291.4242288
3.7e-05,12.34869931,3.675e-05,3.939e-05,3.7e-05,3.5e-05,BTC-SYNX,234.0,2875.0,3.667e-05,2017-09-14T06:52:26.687,331291.4242288
3.7e-05,12.34869931,3.675e-05,3.939e-05,3.7e-05,3.5e-05,BTC-SYNX,234.0,2875.0,3.667e-05,2017-09-14T06:52:26.687,331291.4242288
3.7e-05,12.34869931,3.675e-05,3.939e-05,3.7e-05,3.5e-05,BTC-SYNX,234.0,2875.0,3.667e-05,2017-09-14T06:52:26.687,331291.4242288
3.7e-05,12.34869931,3.675e-05,3.939e-05,3.7e-05,3.5e-05,BTC-SYNX,234.0,2875.0,3.667e-05,2017-09-14T06:52:26.687,331291.4242288
3.7e-05,12.34869931,3.675e-05,3.939e-05,3.7e-05,3.5e-05,BTC-SYNX,234.0,2875.0,3.667e-05,2017-09-14T06:52:26.687,331291.4242288
3.7e-05,12.34869931,3.675e-05,3.939e-05,3.7e-05,3.5e-05,BTC-SYNX,234.0,2875.0,3.667e-05,2017-09-14T06:52:26.687,331291.4242288
3.7e-05,12.34869931,3.675e-05,3.939e-05,3.7e-05,3.5e-05,BTC-SYNX,234.0,2875.0,3.667e-05,2017-09-14T06:52:26.687,331291.4242288
3.7e-05,12.34869931,3.675e-05,3.939e-05,3.7e-05,3.5e-05,BTC-SYNX,234.0,2875.0,3.667e-05,2017-09-14T06:52:26.687,331291.4242288
3.7e-05,12.34869931,3.675e-05,3.939e-05,3.7e-05,3.5e-05,BTC-SYNX,234.0,2875.0,3.667e-05,2017-09-14T06:52:26.687,331291.4242288
3.7e-05,12.34869931,3.675e-05,3.939e-05,3.7e-05,3.5e-05,BTC-SYNX,234.0,2875.0,3.667e-05,2017-09-14T06:52:26.687,331291.4242288
3.7e-05,12.34869931,3.675e-05,3.939e-05,3.7e-05,3.5e-05,BTC-SYNX,234.0,2875.0,3.667e-05,2017-09-14T06:52:26.687,331291.4242288
3.7e-05,12.34920716,3.675e-05,3.939e-05,3.7e-05,3.5e-05,BTC-SYNX,258.0,2877.0,3.667e-05,2017-09-14T06:59:56.087,331305.15013775
3.7e-05,12.34920716,3.675e-05,3.939e-05,3.7e-05,3.5e-05,BTC-SYNX,258.0,2877.0,3.667e-05,2017-09-14T06:59:56.087,331305.15013775
3.7e-05,12.34920716,3.675e-05,3.939e-05,3.7e-05,3.5e-05,BTC-SYNX,258.0,2877.0,3.667e-05,2017-09-14T06:59:56.087,331305.15013775
3.7e-05,12.34920716,3.677e-05,3.939e-05,3.7e-05,3.5e-05,BTC-SYNX,258.0,2877.0,3.667e-05,2017-09-14T07:01:36.453,331305.15013775
3.7e-05,12.34920716,3.677e-05,3.939e-05,3.7e-05,3.5e-05,BTC-SYNX,258.0,2877.0,3.667e-05,2017-09-14T07:01:36.453,331305.15013775
3.7e-05,12.34920716,3.677e-05,3.939e-05,3.7e-05,3.5e-05,BTC-SYNX,258.0,2877.0,3.667e-05,2017-09-14T07:01:36.453,331305.15013775
3.7e-05,12.34920716,3.675e-05,3.939e-05,3.7e-05,3.5e-05,BTC-SYNX,258.0,2877.0,3.667e-05,2017-09-14T07:02:49.43,331305.15013775
3.7e-05,12.34920716,3.675e-05,3.939e-05,3.7e-05,3.5e-05,BTC-SYNX,258.0,2877.0,3.667e-05,2017-09-14T07:02:49.43,331305.15013775
3.7e-05,12.34920716,3.683e-05,3.939e-05,3.7e-05,3.5e-05,BTC-SYNX,258.0,2877.0,3.667e-05,2017-09-14T07:03:26.903,331305.15013775
3.7e-05,12.34920716,3.683e-05,3.939e-05,3.7e-05,3.5e-05,BTC-SYNX,258.0,2877.0,3.667e-05,2017-09-14T07:03:26.903,331305.15013775
3.7e-05,12.34920716,3.683e-05,3.939e-05,3.7e-05,3.5e-05,BTC-SYNX,258.0,2877.0,3.667e-05,2017-09-14T07:03:26.903,331305.15013775
3.7e-05,12.34920716,3.683e-05,3.939e-05,3.7e-05,3.5e-05,BTC-SYNX,258.0,2877.0,3.667e-05,2017-09-14T07:03:26.903,331305.15013775
3.7e-05,12.34920716,3.683e-05,3.939e-05,3.7e-05,3.5e-05,BTC-SYNX,258.0,2877.0,3.667e-05,2017-09-14T07:03:26.903,331305.15013775
3.7e-05,12.34920716,3.683e-05,3.939e-05,3.7e-05,3.5e-05,BTC-SYNX,258.0,2877.0,3.667e-05,2017-09-14T07:03:26.903,331305.15013775
3.7e-05,12.34920716,3.683e-05,3.939e-05,3.7e-05,3.5e-05,BTC-SYNX,258.0,2877.0,3.667e-05,2017-09-14T07:03:26.903,331305.15013775
3.7e-05,12.34920716,3.683e-05,3.939e-05,3.7e-05,3.5e-05,BTC-SYNX,258.0,2877.0,3.667e-05,2017-09-14T07:03:26.903,331305.15013775
3.7e-05,12.34920716,3.683e-05,3.939e-05,3.7e-05,3.5e-05,BTC-SYNX,258.0,2877.0,3.667e-05,2017-09-14T07:03:26.903,331305.15013775
3.734e-05,12.372969,3.701e-05,3.939e-05,3.7e-05,3.5e-05,BTC-SYNX,260.0,2872.0,3.667e-05,2017-09-14T07:08:27.807,331947.36235865
3.734e-05,12.372969,3.701e-05,3.939e-05,3.7e-05,3.5e-05,BTC-SYNX,260.0,2872.0,3.667e-05,2017-09-14T07:08:27.807,331947.36235865
3.734e-05,12.372969,3.701e-05,3.939e-05,3.7e-05,3.5e-05,BTC-SYNX,260.0,2872.0,3.667e-05,2017-09-14T07:08:27.807,331947.36235865
3.734e-05,12.372969,3.7e-05,3.939e-05,3.7e-05,3.5e-05,BTC-SYNX,260.0,2872.0,3.667e-05,2017-09-14T07:09:31.727,331947.36235865
3.734e-05,12.372969,3.7e-05,3.939e-05,3.7e-05,3.5e-05,BTC-SYNX,260.0,2872.0,3.667e-05,2017-09-14T07:09:31.727,331947.36235865
3.734e-05,12.372969,3.7e-05,3.939e-05,3.7e-05,3.5e-05,BTC-SYNX,260.0,2872.0,3.667e-05,2017-09-14T07:09:31.727,331947.36235865
