Ask,BaseVolume,Bid,High,Last,Low,Market,OpenBuyOrders,OpenSellOrders,PrevDay,TimeStamp,Volume
5.465e-05,983.59278431,5.431e-05,6.132e-05,5.465e-05,5.315e-05,BTC-SYS,984.0,5168.0,5.783e-05,2017-09-14T05:43:42.2,17218040.49016815
5.465e-05,983.55036454,5.433e-05,6.132e-05,5.465e-05,5.315e-05,BTC-SYS,984.0,5168.0,5.778e-05,2017-09-14T05:44:05.457,17217328.32200174
5.467e-05,983.09975732,5.465e-05,6.132e-05,5.465e-05,5.315e-05,BTC-SYS,986.0,5166.0,5.697e-05,2017-09-14T05:44:33.743,17209638.05055789
5.491e-05,983.24418393,5.465e-05,6.132e-05,5.499e-05,5.315e-05,BTC-SYS,982.0,5138.0,5.724e-05,2017-09-14T05:44:57.7,17212393.23037878
5.491e-05,983.24418393,5.465e-05,6.132e-05,5.499e-05,5.315e-05,BTC-SYS,982.0,5138.0,5.724e-05,2017-09-14T05:44:57.7,17212393.23037878
5.499e-05,982.98640289,5.475e-05,6.132e-05,5.499e-05,5.315e-05,BTC-SYS,981.0,5137.0,5.733e-05,2017-09-14T05:45:47.303,17207926.90486731
5.499e-05,982.98640289,5.475e-05,6.132e-05,5.499e-05,5.315e-05,BTC-SYS,981.0,5137.0,5.733e-05,2017-09-14T05:45:47.303,17207926.90486731
5.499e-05,982.45374822,5.475e-05,6.132e-05,5.499e-05,5.315e-05,BTC-SYS,977.0,5129.0,5.747e-05,2017-09-14T05:46:47.283,17198670.80707595
5.499e-05,982.41960704,5.487e-05,6.132e-05,5.487e-05,5.315e-05,BTC-SYS,986.0,5139.0,5.744e-05,2017-09-14T05:47:13.647,17198088.87229586
5.499e-05,981.71287809,5.487e-05,6.132e-05,5.499e-05,5.315e-05,BTC-SYS,992.0,5140.0,5.744e-05,2017-09-14T05:47:28.79,17185772.88182818
5.499e-05,981.76135019,5.487e-05,6.132e-05,5.499e-05,5.315e-05,BTC-SYS,992.0,5140.0,5.710000000000001e-05,2017-09-14T05:47:50.7,17186679.71609113
5.499e-05,980.88691927,5.487e-05,6.132e-05,5.499e-05,5.315e-05,BTC-SYS,993.0,5141.0,5.7e-05,2017-09-14T05:48:25.02,17171397.60596517
5.499e-05,980.99105252,5.489e-05,6.132e-05,5.499e-05,5.315e-05,BTC-SYS,992.0,5139.0,5.699e-05,2017-09-14T05:48:48.32,17173298.22800797
5.522e-05,980.82250172,5.499e-05,6.132e-05,5.499e-05,5.315e-05,BTC-SYS,993.0,5134.0,5.69e-05,2017-09-14T05:49:23.92,17170480.54380872
5.541e-05,980.8769464,5.522e-05,6.132e-05,5.522e-05,5.315e-05,BTC-SYS,993.0,5135.0,5.6999999999999996e-05,2017-09-14T05:49:41.283,17171467.2928772
5.553e-05,980.32988185,5.522e-05,6.132e-05,5.553e-05,5.315e-05,BTC-SYS,993.0,5135.0,5.69e-05,2017-09-14T05:50:14.523,17161883.7362658
5.565e-05,980.15104845,5.523e-05,6.132e-05,5.553e-05,5.315e-05,BTC-SYS,991.0,5135.0,5.685e-05,2017-09-14T05:50:36.153,17158761.66507697
5.537e-05,980.27376217,5.522e-05,6.132e-05,5.537e-05,5.315e-05,BTC-SYS,986.0,5136.0,5.68e-05,2017-09-14T05:51:00.923,17161010.97989134
5.705e-05,984.91022639,5.5299999999999996e-05,6.132e-05,5.705e-05,5.315e-05,BTC-SYS,1007.0,5070.0,5.678e-05,2017-09-14T05:51:52.23,17243425.46476987
5.698e-05,984.79677588,5.601e-05,6.132e-05,5.570000000000001e-05,5.315e-05,BTC-SYS,1003.0,5072.0,5.673e-05,2017-09-14T05:52:22.767,17241432.37314405
5.567e-05,977.3409692,5.547e-05,6.132e-05,5.565e-05,5.315e-05,BTC-SYS,1006.0,5080.0,5.558e-05,2017-09-14T05:53:01.257,17108005.37816457
5.58e-05,971.28023367,5.566e-05,6.132e-05,5.58e-05,5.315e-05,BTC-SYS,998.0,5080.0,5.5e-05,2017-09-14T05:53:34.28,16998203.99407408
