Ask,BaseVolume,Bid,High,Last,Low,Market,OpenBuyOrders,OpenSellOrders,PrevDay,TimeStamp,Volume
5.41e-06,1784.6989210000006,5.35e-06,7.6e-06,5.35e-06,2.18e-06,BTC-THC,679.0,2015.0,2.18e-06,2017-09-14T06:22:27.793,335008846.06971806
5.35e-06,1784.6989210000006,5.32e-06,7.6e-06,5.35e-06,2.18e-06,BTC-THC,679.0,2015.0,2.18e-06,2017-09-14T06:23:12.597,335008846.06971806
5.31e-06,1784.77841316,5.3e-06,7.6e-06,5.31e-06,2.18e-06,BTC-THC,676.0,2022.0,2.18e-06,2017-09-14T06:23:50.507,335023372.35654235
5.35e-06,1784.90612998,5.3e-06,7.6e-06,5.3e-06,2.18e-06,BTC-THC,674.0,2024.0,2.18e-06,2017-09-14T06:24:18.73,335047469.87124485
5.35e-06,1784.90612998,5.3e-06,7.6e-06,5.3e-06,2.18e-06,BTC-THC,674.0,2024.0,2.18e-06,2017-09-14T06:24:18.73,335047469.87124485
5.35e-06,1784.90901189,5.3e-06,7.6e-06,5.3e-06,2.18e-06,BTC-THC,679.0,2025.0,2.18e-06,2017-09-14T06:24:57.19,335048013.6297104
5.35e-06,1784.91005046,5.3e-06,7.6e-06,5.3e-06,2.18e-06,BTC-THC,678.0,2023.0,2.18e-06,2017-09-14T06:25:30.427,335048208.69065005
5.35e-06,1785.09901833,5.25e-06,7.6e-06,5.3e-06,2.18e-06,BTC-THC,675.0,2027.0,2.18e-06,2017-09-14T06:26:18.963,335083858.28063095
5.3e-06,1785.10151207,5.25e-06,7.6e-06,5.3e-06,2.18e-06,BTC-THC,675.0,2027.0,2.18e-06,2017-09-14T06:26:38.687,335084328.79949886
5.3e-06,1785.10681207,5.25e-06,7.6e-06,5.3e-06,2.18e-06,BTC-THC,673.0,2027.0,2.18e-06,2017-09-14T06:27:12.237,335085328.79949886
5.29e-06,1785.12112724,5.25e-06,7.6e-06,5.3e-06,2.18e-06,BTC-THC,674.0,2027.0,2.18e-06,2017-09-14T06:27:38.82,335088029.77541864
5.35e-06,1785.21044353,5.3e-06,7.6e-06,5.3e-06,2.18e-06,BTC-THC,675.0,2028.0,2.18e-06,2017-09-14T06:28:15.01,335104898.71287537
5.35e-06,1786.12643107,5.25e-06,7.6e-06,5.3e-06,2.18e-06,BTC-THC,675.0,2026.0,2.18e-06,2017-09-14T06:28:48.593,335277726.55091715
5.35e-06,1786.12643107,5.3e-06,7.6e-06,5.3e-06,2.18e-06,BTC-THC,675.0,2026.0,2.18e-06,2017-09-14T06:29:11.3,335277726.55091715
5.35e-06,1786.12643107,5.3e-06,7.6e-06,5.3e-06,2.18e-06,BTC-THC,675.0,2026.0,2.18e-06,2017-09-14T06:29:11.3,335277726.55091715
5.34e-06,1786.16689633,5.3e-06,7.6e-06,5.3e-06,2.18e-06,BTC-THC,676.0,2027.0,2.18e-06,2017-09-14T06:29:58.257,335285361.50789005
5.34e-06,1786.16689633,5.3e-06,7.6e-06,5.3e-06,2.18e-06,BTC-THC,676.0,2027.0,2.18e-06,2017-09-14T06:29:58.257,335285361.50789005
5.34e-06,1786.28361884,5.23e-06,7.6e-06,5.23e-06,2.18e-06,BTC-THC,674.0,2029.0,2.18e-06,2017-09-14T06:31:11.907,335307619.22591466
5.33e-06,1786.28361884,5.24e-06,7.6e-06,5.23e-06,2.18e-06,BTC-THC,674.0,2029.0,2.18e-06,2017-09-14T06:31:28.847,335307619.22591466
5.33e-06,1786.28361884,5.27e-06,7.6e-06,5.23e-06,2.18e-06,BTC-THC,674.0,2029.0,2.18e-06,2017-09-14T06:31:53.897,335307619.22591466
5.33e-06,1786.28361884,5.27e-06,7.6e-06,5.23e-06,2.18e-06,BTC-THC,674.0,2029.0,2.18e-06,2017-09-14T06:31:54.303,335307619.22591466
5.33e-06,1786.28361884,5.28e-06,7.6e-06,5.23e-06,2.18e-06,BTC-THC,674.0,2029.0,2.18e-06,2017-09-14T06:32:37.95,335307619.22591466
5.29e-06,1786.37642428,5.27e-06,7.6e-06,5.28e-06,2.18e-06,BTC-THC,683.0,2031.0,2.18e-06,2017-09-14T06:33:37.627,335325047.8152513
5.32e-06,1786.3769709000005,5.3e-06,7.6e-06,5.29e-06,2.18e-06,BTC-THC,683.0,2031.0,2.18e-06,2017-09-14T06:33:45.423,335325151.1461787
5.33e-06,1786.51976896,5.32e-06,7.6e-06,5.32e-06,2.18e-06,BTC-THC,680.0,2031.0,2.18e-06,2017-09-14T06:34:44.167,335352011.0808808
5.33e-06,1786.51976896,5.31e-06,7.6e-06,5.32e-06,2.18e-06,BTC-THC,680.0,2031.0,2.18e-06,2017-09-14T06:35:05.62,335352011.0808808
5.32e-06,1787.11908242,5.23e-06,7.6e-06,5.23e-06,2.18e-06,BTC-THC,675.0,2031.0,2.18e-06,2017-09-14T06:35:43.423,335465762.718218
5.31e-06,1787.11908242,5.24e-06,7.6e-06,5.23e-06,2.18e-06,BTC-THC,675.0,2031.0,2.18e-06,2017-09-14T06:35:53.957,335465762.718218
5.31e-06,1787.33322312,5.3e-06,7.6e-06,5.3e-06,2.18e-06,BTC-THC,681.0,2035.0,2.18e-06,2017-09-14T06:36:34.693,335506159.53869736
5.3e-06,1787.69270015,5.24e-06,7.6e-06,5.23e-06,2.18e-06,BTC-THC,674.0,2034.0,2.18e-06,2017-09-14T06:37:22.34,335574070.9634268
5.3e-06,1787.74357264,5.25e-06,7.6e-06,5.3e-06,2.18e-06,BTC-THC,678.0,2035.0,2.18e-06,2017-09-14T06:37:42.203,335583669.5483325
5.31e-06,1787.74357264,5.26e-06,7.6e-06,5.3e-06,2.18e-06,BTC-THC,678.0,2035.0,2.18e-06,2017-09-14T06:37:57.267,335583669.5483325
5.31e-06,1787.79133546,5.26e-06,7.6e-06,5.26e-06,2.18e-06,BTC-THC,681.0,2033.0,2.18e-06,2017-09-14T06:38:28.13,335592673.8891757
5.31e-06,1787.79133546,5.27e-06,7.6e-06,5.26e-06,2.18e-06,BTC-THC,681.0,2033.0,2.18e-06,2017-09-14T06:39:02.273,335592673.8891757
5.3e-06,1787.79133546,5.26e-06,7.6e-06,5.26e-06,2.18e-06,BTC-THC,681.0,2033.0,2.18e-06,2017-09-14T06:39:36.607,335592673.8891757
5.26e-06,1787.83440449,5.25e-06,7.6e-06,5.26e-06,2.18e-06,BTC-THC,684.0,2032.0,2.18e-06,2017-09-14T06:39:46.263,335600832.77315086
5.26e-06,1787.83440449,5.25e-06,7.6e-06,5.26e-06,2.18e-06,BTC-THC,684.0,2032.0,2.18e-06,2017-09-14T06:39:46.263,335600832.77315086
5.28e-06,1787.92072221,5.27e-06,7.6e-06,5.26e-06,2.18e-06,BTC-THC,685.0,2032.0,2.18e-06,2017-09-14T06:40:55.833,335617242.9872688
5.28e-06,1787.92072221,5.27e-06,7.6e-06,5.26e-06,2.18e-06,BTC-THC,685.0,2032.0,2.18e-06,2017-09-14T06:40:55.833,335617242.9872688
5.28e-06,1787.92072221,5.27e-06,7.6e-06,5.26e-06,2.18e-06,BTC-THC,685.0,2032.0,2.18e-06,2017-09-14T06:40:55.833,335617242.9872688
5.28e-06,1787.93440242,5.27e-06,7.6e-06,5.27e-06,2.18e-06,BTC-THC,687.0,2029.0,2.18e-06,2017-09-14T06:42:25.36,335619838.6720718
5.29e-06,1787.98689775,5.28e-06,7.6e-06,5.28e-06,2.18e-06,BTC-THC,689.0,2032.0,2.18e-06,2017-09-14T06:43:24.63,335628371.88066006
5.29e-06,1787.98689775,5.28e-06,7.6e-06,5.28e-06,2.18e-06,BTC-THC,689.0,2032.0,2.18e-06,2017-09-14T06:43:24.63,335628371.88066006
5.29e-06,1787.98689775,5.28e-06,7.6e-06,5.28e-06,2.18e-06,BTC-THC,689.0,2032.0,2.18e-06,2017-09-14T06:43:24.63,335628371.88066006
5.29e-06,1788.00660598,5.28e-06,7.6e-06,5.28e-06,2.18e-06,BTC-THC,688.0,2030.0,2.18e-06,2017-09-14T06:45:12.657,335632104.50095284
5.3e-06,1788.11665187,5.28e-06,7.6e-06,5.28e-06,2.18e-06,BTC-THC,686.0,2030.0,2.18e-06,2017-09-14T06:45:40.88,335652939.6961836
5.3e-06,1788.12665186,5.28e-06,7.6e-06,5.3e-06,2.18e-06,BTC-THC,686.0,2030.0,2.18e-06,2017-09-14T06:46:04.757,335654826.4886364
5.33e-06,1788.2655636,5.3e-06,7.6e-06,5.3e-06,2.18e-06,BTC-THC,689.0,2029.0,2.18e-06,2017-09-14T06:46:21.413,335681036.2538685
5.39e-06,1788.39416317,5.3e-06,7.6e-06,5.39e-06,2.18e-06,BTC-THC,689.0,2026.0,2.18e-06,2017-09-14T06:47:14.857,335705073.58506984
5.39e-06,1788.70250077,5.38e-06,7.6e-06,5.38e-06,2.18e-06,BTC-THC,695.0,2025.0,2.18e-06,2017-09-14T06:47:35.203,335762390.97614413
5.34e-06,1788.96821548,5.3e-06,7.6e-06,5.34e-06,2.18e-06,BTC-THC,690.0,2027.0,2.18e-06,2017-09-14T06:48:18.427,335811830.5705736
5.34e-06,1788.97355548,5.31e-06,7.6e-06,5.34e-06,2.18e-06,BTC-THC,691.0,2026.0,2.18e-06,2017-09-14T06:48:42.57,335812830.5705736
5.35e-06,1789.04297547,5.32e-06,7.6e-06,5.34e-06,2.18e-06,BTC-THC,692.0,2027.0,2.18e-06,2017-09-14T06:49:20.45,335825830.5705736
5.39e-06,1789.3748339,5.35e-06,7.6e-06,5.35e-06,2.18e-06,BTC-THC,692.0,2027.0,2.18e-06,2017-09-14T06:49:38.653,335887867.2892583
5.39e-06,1789.3748339,5.35e-06,7.6e-06,5.35e-06,2.18e-06,BTC-THC,692.0,2027.0,2.18e-06,2017-09-14T06:49:38.653,335887867.2892583
5.35e-06,1789.78934256,5.31e-06,7.6e-06,5.31e-06,2.18e-06,BTC-THC,683.0,2030.0,2.18e-06,2017-09-14T06:50:43.33,335965441.0615959
5.3e-06,1789.83147809,5.28e-06,7.6e-06,5.3e-06,2.18e-06,BTC-THC,683.0,2032.0,2.18e-06,2017-09-14T06:51:12.52,335973377.32093203
5.28e-06,1789.85263751,5.27e-06,7.6e-06,5.28e-06,2.18e-06,BTC-THC,682.0,2033.0,2.18e-06,2017-09-14T06:51:33.15,335977384.79172605
5.3e-06,1789.94305785,5.27e-06,7.6e-06,5.3e-06,2.18e-06,BTC-THC,682.0,2032.0,2.18e-06,2017-09-14T06:52:00.87,335994448.5323899
5.37e-06,1789.96095348,5.3e-06,7.6e-06,5.3e-06,2.18e-06,BTC-THC,685.0,2032.0,2.18e-06,2017-09-14T06:52:31.797,335997828.84233576
5.35e-06,1789.96630348,5.3e-06,7.6e-06,5.35e-06,2.18e-06,BTC-THC,687.0,2032.0,2.18e-06,2017-09-14T06:52:55.407,335998828.84233576
