Ask,BaseVolume,Bid,High,Last,Low,Market,OpenBuyOrders,OpenSellOrders,PrevDay,TimeStamp,Volume
0.00032999,164.93002833,0.00032506,0.00037989,0.0003249,0.00030415,BTC-TKN,385.0,3005.0,0.00031437,2017-09-14T05:02:09.22,497383.74267789
0.00032999,164.93002833,0.00032506,0.00037989,0.0003249,0.00030415,BTC-TKN,385.0,3005.0,0.00031437,2017-09-14T05:02:09.22,497383.74267789
0.00032999,164.93002833,0.00032506,0.00037989,0.0003249,0.00030415,BTC-TKN,385.0,3005.0,0.00031437,2017-09-14T05:02:09.22,497383.74267789
0.00032998,164.93002833,0.00032505,0.00037989,0.0003249,0.00030415,BTC-TKN,385.0,3005.0,0.00031437,2017-09-14T05:44:55.887,497383.74267789
0.00032997,162.89086961,0.00032514,0.00037989,0.00033007,0.00030415,BTC-TKN,399.0,3003.0,0.00031437,2017-09-14T05:45:33.91,490824.49879736
0.00033003,162.89086961,0.00032515,0.00037989,0.00033007,0.00030415,BTC-TKN,399.0,3003.0,0.00031437,2017-09-14T05:45:59.523,490824.49879736
0.00032994,162.89086961,0.00032493,0.00037989,0.00033007,0.00030415,BTC-TKN,399.0,3003.0,0.00031437,2017-09-14T05:46:23.293,490824.49879736
0.00032983,162.89086961,0.00032495,0.00037989,0.00033007,0.00030415,BTC-TKN,399.0,3003.0,0.00031437,2017-09-14T05:46:52.283,490824.49879736
0.00032982,162.89086961,0.00032505,0.00037989,0.00033007,0.00030415,BTC-TKN,399.0,3003.0,0.00031437,2017-09-14T05:47:14.803,490824.49879736
0.00033007,162.89086961,0.00032507,0.00037989,0.00033007,0.00030415,BTC-TKN,399.0,3003.0,0.00031437,2017-09-14T05:47:33.277,490824.49879736
0.00033007,162.89086961,0.00032510000000000004,0.00037989,0.00033007,0.00030415,BTC-TKN,399.0,3003.0,0.00031437,2017-09-14T05:48:01.813,490824.49879736
0.00032998,162.89086961,0.00032514,0.00037989,0.00033007,0.00030415,BTC-TKN,399.0,3003.0,0.00031437,2017-09-14T05:48:31.99,490824.49879736
0.00032997,162.89086961,0.00032524,0.00037989,0.00033007,0.00030415,BTC-TKN,399.0,3003.0,0.00031437,2017-09-14T05:48:51.883,490824.49879736
0.00032716,162.89086961,0.00032524,0.00037989,0.00033007,0.00030415,BTC-TKN,399.0,3003.0,0.00031437,2017-09-14T05:49:23.25,490824.49879736
0.00032716,162.89086961,0.00032525,0.00037989,0.00033007,0.00030415,BTC-TKN,399.0,3003.0,0.00031437,2017-09-14T05:49:46.393,490824.49879736
0.00033006,162.92552793,0.00032717,0.00037989,0.00032523,0.00030415,BTC-TKN,416.0,3003.0,0.00031442,2017-09-14T05:50:14.18,490929.81332837
