Ask,BaseVolume,Bid,High,Last,Low,Market,OpenBuyOrders,OpenSellOrders,PrevDay,TimeStamp,Volume
8.859e-05,9.14635356,8.692e-05,9.6e-05,8.641e-05,8.499999999999999e-05,BTC-TX,169.0,1341.0,8.551e-05,2017-09-14T05:02:01.06,101122.09474232
8.859e-05,9.14635356,8.691e-05,9.6e-05,8.641e-05,8.499999999999999e-05,BTC-TX,169.0,1341.0,8.551e-05,2017-09-14T05:43:51.827,101122.09474232
8.859e-05,9.14635356,8.691e-05,9.6e-05,8.641e-05,8.499999999999999e-05,BTC-TX,169.0,1341.0,8.551e-05,2017-09-14T05:43:51.827,101122.09474232
8.859e-05,9.14635356,8.691e-05,9.6e-05,8.641e-05,8.499999999999999e-05,BTC-TX,169.0,1341.0,8.551e-05,2017-09-14T05:43:51.827,101122.09474232
8.858e-05,9.14635356,8.691e-05,9.6e-05,8.641e-05,8.499999999999999e-05,BTC-TX,169.0,1341.0,8.551e-05,2017-09-14T05:45:18.233,101122.09474232
8.856e-05,9.14635356,8.643e-05,9.6e-05,8.641e-05,8.499999999999999e-05,BTC-TX,169.0,1341.0,8.551e-05,2017-09-14T05:45:50.397,101122.09474232
8.854e-05,9.14635356,8.640000000000001e-05,9.6e-05,8.641e-05,8.499999999999999e-05,BTC-TX,169.0,1341.0,8.551e-05,2017-09-14T05:46:23.45,101122.09474232
8.852e-05,9.14635356,8.640000000000001e-05,9.6e-05,8.641e-05,8.499999999999999e-05,BTC-TX,169.0,1341.0,8.551e-05,2017-09-14T05:46:44.69,101122.09474232
8.85e-05,9.14635356,8.640000000000001e-05,9.6e-05,8.641e-05,8.499999999999999e-05,BTC-TX,169.0,1341.0,8.551e-05,2017-09-14T05:47:13.523,101122.09474232
8.85e-05,9.14635356,8.640000000000001e-05,9.6e-05,8.641e-05,8.499999999999999e-05,BTC-TX,169.0,1341.0,8.551e-05,2017-09-14T05:47:13.523,101122.09474232
8.848e-05,9.14635356,8.640000000000001e-05,9.6e-05,8.641e-05,8.499999999999999e-05,BTC-TX,169.0,1341.0,8.551e-05,2017-09-14T05:47:45.827,101122.09474232
8.846e-05,9.14635356,8.640000000000001e-05,9.6e-05,8.641e-05,8.499999999999999e-05,BTC-TX,169.0,1341.0,8.551e-05,2017-09-14T05:48:24.16,101122.09474232
8.844e-05,9.14635356,8.640000000000001e-05,9.6e-05,8.641e-05,8.499999999999999e-05,BTC-TX,169.0,1341.0,8.551e-05,2017-09-14T05:48:54.98,101122.09474232
8.842e-05,9.14635356,8.640000000000001e-05,9.6e-05,8.641e-05,8.499999999999999e-05,BTC-TX,169.0,1341.0,8.551e-05,2017-09-14T05:49:19.593,101122.09474232
8.840000000000001e-05,9.14635356,8.640000000000001e-05,9.6e-05,8.641e-05,8.499999999999999e-05,BTC-TX,169.0,1341.0,8.551e-05,2017-09-14T05:49:47.52,101122.09474232
8.839e-05,9.14635356,8.640000000000001e-05,9.6e-05,8.641e-05,8.499999999999999e-05,BTC-TX,169.0,1341.0,8.551e-05,2017-09-14T05:50:12.32,101122.09474232
8.838e-05,9.14635356,8.640000000000001e-05,9.6e-05,8.641e-05,8.499999999999999e-05,BTC-TX,169.0,1341.0,8.551e-05,2017-09-14T05:50:15.87,101122.09474232
8.835e-05,9.14635356,8.640000000000001e-05,9.6e-05,8.641e-05,8.499999999999999e-05,BTC-TX,169.0,1341.0,8.551e-05,2017-09-14T05:51:11.613,101122.09474232
8.832e-05,9.14635356,8.640000000000001e-05,9.6e-05,8.641e-05,8.499999999999999e-05,BTC-TX,169.0,1341.0,8.551e-05,2017-09-14T05:51:51.7,101122.09474232
8.831e-05,9.14635356,8.640000000000001e-05,9.6e-05,8.641e-05,8.499999999999999e-05,BTC-TX,169.0,1341.0,8.551e-05,2017-09-14T05:52:16.72,101122.09474232
8.828e-05,9.14635356,8.639e-05,9.6e-05,8.641e-05,8.499999999999999e-05,BTC-TX,169.0,1341.0,8.551e-05,2017-09-14T05:52:54.727,101122.09474232
8.825e-05,9.14635356,8.640000000000001e-05,9.6e-05,8.641e-05,8.499999999999999e-05,BTC-TX,169.0,1341.0,8.551e-05,2017-09-14T05:53:33.75,101122.09474232
8.821e-05,9.07137294,8.640000000000001e-05,9.6e-05,8.641e-05,8.499999999999999e-05,BTC-TX,174.0,1343.0,8.499999999999999e-05,2017-09-14T05:54:16.85,100240.56151613
8.819e-05,9.07137294,8.640000000000001e-05,9.6e-05,8.641e-05,8.499999999999999e-05,BTC-TX,174.0,1343.0,8.499999999999999e-05,2017-09-14T05:54:39.213,100240.56151613
8.817e-05,9.07137294,8.640000000000001e-05,9.6e-05,8.641e-05,8.499999999999999e-05,BTC-TX,174.0,1343.0,8.499999999999999e-05,2017-09-14T05:55:15.42,100240.56151613
8.814e-05,9.07137294,8.640000000000001e-05,9.6e-05,8.641e-05,8.499999999999999e-05,BTC-TX,174.0,1343.0,8.499999999999999e-05,2017-09-14T05:56:08.51,100240.56151613
8.812e-05,9.07083527,8.640000000000001e-05,9.6e-05,8.640000000000001e-05,8.499999999999999e-05,BTC-TX,174.0,1343.0,8.499999999999999e-05,2017-09-14T05:56:36.42,100229.39645675
8.809e-05,9.07083527,8.640000000000001e-05,9.6e-05,8.640000000000001e-05,8.499999999999999e-05,BTC-TX,174.0,1343.0,8.499999999999999e-05,2017-09-14T05:57:15.24,100229.39645675
8.807e-05,9.07083527,8.640000000000001e-05,9.6e-05,8.640000000000001e-05,8.499999999999999e-05,BTC-TX,174.0,1343.0,8.499999999999999e-05,2017-09-14T05:57:43.323,100229.39645675
8.805e-05,9.07083527,8.640000000000001e-05,9.6e-05,8.640000000000001e-05,8.499999999999999e-05,BTC-TX,174.0,1343.0,8.499999999999999e-05,2017-09-14T05:58:14.263,100229.39645675
8.802e-05,9.07083527,8.640000000000001e-05,9.6e-05,8.640000000000001e-05,8.499999999999999e-05,BTC-TX,174.0,1343.0,8.499999999999999e-05,2017-09-14T05:59:03.633,100229.39645675
8.799e-05,9.07083527,8.640000000000001e-05,9.6e-05,8.640000000000001e-05,8.499999999999999e-05,BTC-TX,174.0,1343.0,8.499999999999999e-05,2017-09-14T05:59:31.7,100229.39645675
8.796e-05,9.07083527,8.640000000000001e-05,9.6e-05,8.640000000000001e-05,8.499999999999999e-05,BTC-TX,174.0,1343.0,8.499999999999999e-05,2017-09-14T06:00:20.817,100229.39645675
8.793e-05,9.07083527,8.640000000000001e-05,9.6e-05,8.640000000000001e-05,8.499999999999999e-05,BTC-TX,174.0,1343.0,8.499999999999999e-05,2017-09-14T06:00:58.103,100229.39645675
8.791e-05,9.07083527,8.640000000000001e-05,9.6e-05,8.640000000000001e-05,8.499999999999999e-05,BTC-TX,174.0,1343.0,8.499999999999999e-05,2017-09-14T06:01:26.67,100229.39645675
8.789e-05,9.07083527,8.640000000000001e-05,9.6e-05,8.640000000000001e-05,8.499999999999999e-05,BTC-TX,174.0,1343.0,8.499999999999999e-05,2017-09-14T06:01:50.02,100229.39645675
8.786e-05,9.07083527,8.640000000000001e-05,9.6e-05,8.640000000000001e-05,8.499999999999999e-05,BTC-TX,174.0,1343.0,8.499999999999999e-05,2017-09-14T06:02:33.01,100229.39645675
8.783e-05,9.07083527,8.640000000000001e-05,9.6e-05,8.640000000000001e-05,8.499999999999999e-05,BTC-TX,174.0,1343.0,8.499999999999999e-05,2017-09-14T06:02:57.31,100229.39645675
8.778e-05,9.07083527,8.640000000000001e-05,9.6e-05,8.640000000000001e-05,8.499999999999999e-05,BTC-TX,174.0,1343.0,8.499999999999999e-05,2017-09-14T06:04:05.323,100229.39645675
8.775e-05,9.07083527,8.640000000000001e-05,9.6e-05,8.640000000000001e-05,8.499999999999999e-05,BTC-TX,174.0,1343.0,8.499999999999999e-05,2017-09-14T06:04:40.25,100229.39645675
8.771e-05,9.07083527,8.640000000000001e-05,9.6e-05,8.640000000000001e-05,8.499999999999999e-05,BTC-TX,174.0,1343.0,8.499999999999999e-05,2017-09-14T06:05:30.93,100229.39645675
8.769e-05,9.07083527,8.640000000000001e-05,9.6e-05,8.640000000000001e-05,8.499999999999999e-05,BTC-TX,174.0,1343.0,8.499999999999999e-05,2017-09-14T06:05:58.167,100229.39645675
8.856e-05,9.07083527,8.641e-05,9.6e-05,8.640000000000001e-05,8.499999999999999e-05,BTC-TX,174.0,1343.0,8.499999999999999e-05,2017-09-14T06:06:25.703,100229.39645675
8.854e-05,9.07083527,8.640000000000001e-05,9.6e-05,8.640000000000001e-05,8.499999999999999e-05,BTC-TX,174.0,1343.0,8.499999999999999e-05,2017-09-14T06:06:51.817,100229.39645675
8.852e-05,9.07083527,8.640000000000001e-05,9.6e-05,8.640000000000001e-05,8.499999999999999e-05,BTC-TX,174.0,1343.0,8.499999999999999e-05,2017-09-14T06:07:13.803,100229.39645675
8.848e-05,9.07083527,8.640000000000001e-05,9.6e-05,8.640000000000001e-05,8.499999999999999e-05,BTC-TX,174.0,1343.0,8.499999999999999e-05,2017-09-14T06:08:00.03,100229.39645675
8.857e-05,9.07083527,8.640000000000001e-05,9.6e-05,8.640000000000001e-05,8.499999999999999e-05,BTC-TX,174.0,1343.0,8.499999999999999e-05,2017-09-14T06:08:21.737,100229.39645675
8.853e-05,9.07083527,8.640000000000001e-05,9.6e-05,8.640000000000001e-05,8.499999999999999e-05,BTC-TX,174.0,1343.0,8.499999999999999e-05,2017-09-14T06:09:05.087,100229.39645675
8.851e-05,9.07083527,8.640000000000001e-05,9.6e-05,8.640000000000001e-05,8.499999999999999e-05,BTC-TX,174.0,1343.0,8.499999999999999e-05,2017-09-14T06:09:24.2,100229.39645675
8.849e-05,9.07083527,8.646e-05,9.6e-05,8.640000000000001e-05,8.499999999999999e-05,BTC-TX,174.0,1343.0,8.499999999999999e-05,2017-09-14T06:09:50.627,100229.39645675
8.845e-05,9.07083527,8.646e-05,9.6e-05,8.640000000000001e-05,8.499999999999999e-05,BTC-TX,174.0,1343.0,8.499999999999999e-05,2017-09-14T06:10:24.66,100229.39645675
8.842e-05,9.07083527,8.646e-05,9.6e-05,8.640000000000001e-05,8.499999999999999e-05,BTC-TX,174.0,1343.0,8.499999999999999e-05,2017-09-14T06:10:50.57,100229.39645675
8.840000000000001e-05,9.07083527,8.646e-05,9.6e-05,8.640000000000001e-05,8.499999999999999e-05,BTC-TX,174.0,1343.0,8.499999999999999e-05,2017-09-14T06:11:11.293,100229.39645675
