Ask,BaseVolume,Bid,High,Last,Low,Market,OpenBuyOrders,OpenSellOrders,PrevDay,TimeStamp,Volume
1.22e-05,26.95680871,1.213e-05,1.3000000000000001e-05,1.22e-05,1.1400000000000001e-05,BTC-VOX,341.0,5096.0,1.24e-05,2017-09-14T04:50:13.6,2203647.73753805
1.22e-05,26.95680871,1.213e-05,1.3e-05,1.22e-05,1.14e-05,BTC-VOX,341.0,5096.0,1.24e-05,2017-09-14T04:50:13.6,2203647.73753805
1.22e-05,26.95680871,1.213e-05,1.3000000000000001e-05,1.22e-05,1.1400000000000001e-05,BTC-VOX,341.0,5096.0,1.24e-05,2017-09-14T04:50:13.6,2203647.73753805
1.22e-05,26.95680871,1.213e-05,1.3e-05,1.22e-05,1.14e-05,BTC-VOX,341.0,5096.0,1.24e-05,2017-09-14T04:50:13.6,2203647.73753805
1.22e-05,26.63452813,1.213e-05,1.3000000000000001e-05,1.22e-05,1.1400000000000001e-05,BTC-VOX,341.0,5095.0,1.224e-05,2017-09-14T05:45:21.36,2177385.66077578
1.234e-05,26.64046165,1.22e-05,1.3e-05,1.22e-05,1.14e-05,BTC-VOX,342.0,5094.0,1.224e-05,2017-09-14T05:45:52.54,2177872.01504972
1.232e-05,26.64046165,1.22e-05,1.3000000000000001e-05,1.22e-05,1.1400000000000001e-05,BTC-VOX,342.0,5094.0,1.224e-05,2017-09-14T05:46:25.25,2177872.01504972
1.232e-05,26.64046165,1.22e-05,1.3e-05,1.22e-05,1.14e-05,BTC-VOX,342.0,5094.0,1.224e-05,2017-09-14T05:46:25.25,2177872.01504972
1.231e-05,26.64046165,1.22e-05,1.3000000000000001e-05,1.22e-05,1.1400000000000001e-05,BTC-VOX,342.0,5094.0,1.224e-05,2017-09-14T05:46:56.55,2177872.01504972
1.234e-05,26.64046165,1.22e-05,1.3e-05,1.22e-05,1.14e-05,BTC-VOX,342.0,5094.0,1.224e-05,2017-09-14T05:47:37.543,2177872.01504972
