Ask,BaseVolume,Bid,High,Last,Low,Market,OpenBuyOrders,OpenSellOrders,PrevDay,TimeStamp,Volume
6e-07,105.33091093,5.9e-07,6.2e-07,6e-07,5.1e-07,BTC-XDN,790.0,6180.0,5.2e-07,2017-09-14T06:22:20.823,184574373.08634603
6e-07,105.33271093,5.9e-07,6.2e-07,6e-07,5.1e-07,BTC-XDN,790.0,6180.0,5.2e-07,2017-09-14T06:22:22.607,184577373.08634603
6e-07,105.33271093,5.9e-07,6.2e-07,6e-07,5.1e-07,BTC-XDN,790.0,6180.0,5.2e-07,2017-09-14T06:22:22.607,184577373.08634603
6e-07,105.33271093,5.9e-07,6.2e-07,6e-07,5.1e-07,BTC-XDN,790.0,6180.0,5.2e-07,2017-09-14T06:22:22.607,184577373.08634603
6e-07,105.33271093,5.9e-07,6.2e-07,6e-07,5.1e-07,BTC-XDN,790.0,6180.0,5.2e-07,2017-09-14T06:22:22.607,184577373.08634603
6e-07,105.33271093,5.9e-07,6.2e-07,6e-07,5.1e-07,BTC-XDN,790.0,6180.0,5.2e-07,2017-09-14T06:22:22.607,184577373.08634603
6e-07,105.33271093,5.9e-07,6.2e-07,6e-07,5.1e-07,BTC-XDN,790.0,6180.0,5.2e-07,2017-09-14T06:22:22.607,184577373.08634603
6e-07,105.33271093,5.9e-07,6.2e-07,6e-07,5.1e-07,BTC-XDN,790.0,6180.0,5.2e-07,2017-09-14T06:22:22.607,184577373.08634603
6e-07,105.33271093,5.9e-07,6.2e-07,6e-07,5.1e-07,BTC-XDN,790.0,6180.0,5.2e-07,2017-09-14T06:22:22.607,184577373.08634603
6e-07,105.68362094,5.9e-07,6.2e-07,6e-07,5.1e-07,BTC-XDN,791.0,6180.0,5.2e-07,2017-09-14T06:26:27.513,185160889.79247105
6e-07,105.68362094,5.9e-07,6.2e-07,6e-07,5.1e-07,BTC-XDN,791.0,6180.0,5.2e-07,2017-09-14T06:26:27.513,185160889.79247105
6e-07,106.01399062,5.9e-07,6.2e-07,6e-07,5.1e-07,BTC-XDN,791.0,6177.0,5.2e-07,2017-09-14T06:27:48.24,185711505.97313768
6e-07,106.01399062,5.9e-07,6.2e-07,6e-07,5.1e-07,BTC-XDN,791.0,6177.0,5.2e-07,2017-09-14T06:27:48.24,185711505.97313768
6e-07,106.01399062,5.9e-07,6.2e-07,6e-07,5.1e-07,BTC-XDN,791.0,6177.0,5.2e-07,2017-09-14T06:27:48.24,185711505.97313768
6e-07,106.01399062,5.9e-07,6.2e-07,6e-07,5.1e-07,BTC-XDN,791.0,6177.0,5.2e-07,2017-09-14T06:27:48.24,185711505.97313768
6e-07,106.01399062,5.9e-07,6.2e-07,6e-07,5.1e-07,BTC-XDN,791.0,6177.0,5.2e-07,2017-09-14T06:27:48.24,185711505.97313768
6e-07,106.18642913,5.9e-07,6.2e-07,5.9e-07,5.1e-07,BTC-XDN,789.0,6178.0,5.2e-07,2017-09-14T06:30:10.367,185997805.528502
6e-07,106.18642913,5.9e-07,6.2e-07,5.9e-07,5.1e-07,BTC-XDN,789.0,6178.0,5.2e-07,2017-09-14T06:30:10.367,185997805.528502
6e-07,106.73777919,5.9e-07,6.2e-07,5.9e-07,5.1e-07,BTC-XDN,790.0,6177.0,5.2e-07,2017-09-14T06:31:07.593,186931057.37732813
6e-07,106.73777919,5.9e-07,6.2e-07,5.9e-07,5.1e-07,BTC-XDN,790.0,6177.0,5.2e-07,2017-09-14T06:31:07.593,186931057.37732813
6e-07,106.85003698,5.9e-07,6.2e-07,5.9e-07,5.1e-07,BTC-XDN,793.0,6177.0,5.2e-07,2017-09-14T06:31:58.037,187121324.8256493
6e-07,106.85003698,5.9e-07,6.2e-07,5.9e-07,5.1e-07,BTC-XDN,793.0,6177.0,5.2e-07,2017-09-14T06:31:58.037,187121324.82564932
6e-07,106.85003698,5.9e-07,6.2e-07,5.9e-07,5.1e-07,BTC-XDN,793.0,6177.0,5.2e-07,2017-09-14T06:31:58.037,187121324.8256493
6e-07,106.85003698,5.9e-07,6.2e-07,5.9e-07,5.1e-07,BTC-XDN,793.0,6177.0,5.2e-07,2017-09-14T06:31:58.037,187121324.82564932
6e-07,106.92823087,5.9e-07,6.2e-07,5.9e-07,5.1e-07,BTC-XDN,793.0,6176.0,5.2e-07,2017-09-14T06:34:08.787,187246362.07897297
6e-07,106.92823087,5.9e-07,6.2e-07,5.9e-07,5.1e-07,BTC-XDN,793.0,6176.0,5.2e-07,2017-09-14T06:34:08.787,187246362.07897297
6e-07,106.92823087,5.9e-07,6.2e-07,5.9e-07,5.1e-07,BTC-XDN,793.0,6176.0,5.2e-07,2017-09-14T06:34:08.787,187246362.07897297
6e-07,106.92823087,5.9e-07,6.2e-07,5.9e-07,5.1e-07,BTC-XDN,793.0,6176.0,5.2e-07,2017-09-14T06:34:08.787,187246362.07897297
6e-07,106.92823087,5.9e-07,6.2e-07,5.9e-07,5.1e-07,BTC-XDN,793.0,6176.0,5.2e-07,2017-09-14T06:34:08.787,187246362.07897297
6e-07,106.92823087,5.9e-07,6.2e-07,5.9e-07,5.1e-07,BTC-XDN,793.0,6176.0,5.2e-07,2017-09-14T06:34:08.787,187246362.07897297
6e-07,106.92823087,5.9e-07,6.2e-07,5.9e-07,5.1e-07,BTC-XDN,793.0,6176.0,5.2e-07,2017-09-14T06:34:08.787,187246362.07897297
6e-07,106.92823087,5.9e-07,6.2e-07,5.9e-07,5.1e-07,BTC-XDN,793.0,6176.0,5.2e-07,2017-09-14T06:34:08.787,187246362.07897297
6e-07,107.81951506,5.8e-07,6.2e-07,5.8e-07,5.1e-07,BTC-XDN,779.0,6176.0,5.2e-07,2017-09-14T06:38:17.427,188774270.53668132
6e-07,107.82621505,5.9e-07,6.2e-07,5.9e-07,5.1e-07,BTC-XDN,780.0,6179.0,5.2e-07,2017-09-14T06:38:34.583,188785626.4688813
6e-07,107.82621505,5.9e-07,6.2e-07,5.9e-07,5.1e-07,BTC-XDN,780.0,6179.0,5.2e-07,2017-09-14T06:38:34.583,188785626.4688813
6e-07,107.82621505,5.9e-07,6.2e-07,5.9e-07,5.1e-07,BTC-XDN,780.0,6179.0,5.2e-07,2017-09-14T06:38:34.583,188785626.4688813
6e-07,107.82621505,5.9e-07,6.2e-07,5.9e-07,5.1e-07,BTC-XDN,780.0,6179.0,5.2e-07,2017-09-14T06:38:34.583,188785626.4688813
5.9e-07,107.82741747,5.8e-07,6.2e-07,5.9e-07,5.1e-07,BTC-XDN,782.0,6183.0,5.2e-07,2017-09-14T06:40:25.313,188787209.2938553
5.9e-07,107.82741747,5.8e-07,6.2e-07,5.9e-07,5.1e-07,BTC-XDN,782.0,6183.0,5.2e-07,2017-09-14T06:40:25.313,188787209.2938553
