Ask,BaseVolume,Bid,High,Last,Low,Market,OpenBuyOrders,OpenSellOrders,PrevDay,TimeStamp,Volume
3.92e-06,67.61244328,3.89e-06,4.03e-06,3.91e-06,3.8e-06,BTC-XLM,543.0,11103.0,3.92e-06,2017-09-14T06:21:20.347,17349573.73159535
3.92e-06,67.61244328,3.89e-06,4.03e-06,3.91e-06,3.8e-06,BTC-XLM,543.0,11103.0,3.92e-06,2017-09-14T06:21:20.347,17349573.73159535
3.91e-06,67.6144588,3.89e-06,4.03e-06,3.89e-06,3.8e-06,BTC-XLM,570.0,11103.0,3.92e-06,2017-09-14T06:23:19.177,17350091.86146548
3.9e-06,67.61848984,3.89e-06,4.03e-06,3.89e-06,3.8e-06,BTC-XLM,569.0,11104.0,3.92e-06,2017-09-14T06:23:54.493,17351128.12120574
3.91e-06,67.62120877,3.88e-06,4.03e-06,3.89e-06,3.8e-06,BTC-XLM,567.0,11105.0,3.92e-06,2017-09-14T06:24:21.543,17351827.07815704
3.91e-06,67.62120877,3.88e-06,4.03e-06,3.89e-06,3.8e-06,BTC-XLM,567.0,11105.0,3.92e-06,2017-09-14T06:24:21.543,17351827.07815704
3.91e-06,67.62120877,3.88e-06,4.03e-06,3.89e-06,3.8e-06,BTC-XLM,567.0,11105.0,3.92e-06,2017-09-14T06:24:21.98,17351827.07815704
3.91e-06,67.62120877,3.89e-06,4.03e-06,3.89e-06,3.8e-06,BTC-XLM,567.0,11105.0,3.92e-06,2017-09-14T06:25:47.273,17351827.07815704
3.9e-06,67.62120877,3.89e-06,4.03e-06,3.89e-06,3.8e-06,BTC-XLM,567.0,11105.0,3.92e-06,2017-09-14T06:26:12.823,17351827.07815704
3.9e-06,67.62723332,3.89e-06,4.03e-06,3.9e-06,3.8e-06,BTC-XLM,569.0,11104.0,3.9e-06,2017-09-14T06:26:24.887,17353371.83685017
3.89e-06,68.3836056,3.88e-06,4.03e-06,3.88e-06,3.8e-06,BTC-XLM,570.0,11104.0,3.9e-06,2017-09-14T06:27:17.143,17548232.17167176
3.89e-06,68.45581028,3.88e-06,4.03e-06,3.88e-06,3.8e-06,BTC-XLM,569.0,11107.0,3.91e-06,2017-09-14T06:27:49.6,17566843.01365744
3.9e-06,68.45581028,3.88e-06,4.03e-06,3.88e-06,3.8e-06,BTC-XLM,569.0,11107.0,3.91e-06,2017-09-14T06:27:55.773,17566843.01365744
3.9e-06,68.45581028,3.88e-06,4.03e-06,3.88e-06,3.8e-06,BTC-XLM,569.0,11107.0,3.91e-06,2017-09-14T06:27:55.447,17566843.01365744
3.9e-06,68.45581028,3.88e-06,4.03e-06,3.88e-06,3.8e-06,BTC-XLM,569.0,11107.0,3.91e-06,2017-09-14T06:27:55.447,17566843.01365744
3.9e-06,68.45581028,3.88e-06,4.03e-06,3.88e-06,3.8e-06,BTC-XLM,569.0,11107.0,3.91e-06,2017-09-14T06:27:55.447,17566843.01365744
3.9e-06,68.45383852,3.88e-06,4.03e-06,3.9e-06,3.8e-06,BTC-XLM,572.0,11106.0,3.91e-06,2017-09-14T06:30:08.103,17566338.73387508
3.9e-06,68.45383852,3.88e-06,4.03e-06,3.9e-06,3.8e-06,BTC-XLM,572.0,11106.0,3.91e-06,2017-09-14T06:30:08.103,17566338.73387508
3.9e-06,68.45383852,3.88e-06,4.03e-06,3.9e-06,3.8e-06,BTC-XLM,572.0,11106.0,3.91e-06,2017-09-14T06:30:08.103,17566338.73387508
3.91e-06,63.16823378,3.88e-06,4.03e-06,3.9e-06,3.8e-06,BTC-XLM,567.0,11107.0,3.82e-06,2017-09-14T06:31:38.457,16190497.4254583
3.91e-06,63.16823378,3.88e-06,4.03e-06,3.9e-06,3.8e-06,BTC-XLM,567.0,11107.0,3.82e-06,2017-09-14T06:32:01.727,16190497.4254583
3.9e-06,63.16823378,3.88e-06,4.03e-06,3.9e-06,3.8e-06,BTC-XLM,567.0,11107.0,3.82e-06,2017-09-14T06:32:06.257,16190497.4254583
3.9e-06,63.16823378,3.89e-06,4.03e-06,3.9e-06,3.8e-06,BTC-XLM,567.0,11107.0,3.82e-06,2017-09-14T06:32:51.95,16190497.4254583
3.9e-06,63.16823378,3.89e-06,4.03e-06,3.9e-06,3.8e-06,BTC-XLM,567.0,11107.0,3.82e-06,2017-09-14T06:32:51.95,16190497.4254583
3.9e-06,63.16823378,3.89e-06,4.03e-06,3.9e-06,3.8e-06,BTC-XLM,567.0,11107.0,3.82e-06,2017-09-14T06:32:51.95,16190497.4254583
3.9e-06,63.16823378,3.89e-06,4.03e-06,3.9e-06,3.8e-06,BTC-XLM,567.0,11107.0,3.82e-06,2017-09-14T06:32:51.95,16190497.4254583
3.9e-06,63.16823378,3.89e-06,4.03e-06,3.9e-06,3.8e-06,BTC-XLM,567.0,11107.0,3.82e-06,2017-09-14T06:32:51.95,16190497.4254583
3.9e-06,62.69776999,3.88e-06,4.03e-06,3.89e-06,3.8e-06,BTC-XLM,565.0,11109.0,3.88e-06,2017-09-14T06:35:48.517,16069336.21811903
3.89e-06,62.69476493,3.88e-06,4.03e-06,3.89e-06,3.8e-06,BTC-XLM,565.0,11110.0,3.88e-06,2017-09-14T06:36:09.957,16068561.05951474
3.89e-06,62.68547659,3.88e-06,4.03e-06,3.89e-06,3.8e-06,BTC-XLM,565.0,11109.0,3.85e-06,2017-09-14T06:36:36.977,16066138.11209208
3.89e-06,62.64238562,3.88e-06,4.03e-06,3.89e-06,3.8e-06,BTC-XLM,566.0,11109.0,3.85e-06,2017-09-14T06:37:23.513,16054948.10602058
3.89e-06,62.64238562,3.88e-06,4.03e-06,3.89e-06,3.8e-06,BTC-XLM,566.0,11109.0,3.85e-06,2017-09-14T06:37:47.827,16054948.10602058
