Ask,BaseVolume,Bid,High,Last,Low,Market,OpenBuyOrders,OpenSellOrders,PrevDay,TimeStamp,Volume
7.783e-05,269.35159631,7.601e-05,0.00010499,7.602e-05,6.2e-05,BTC-XMG,417.0,1078.0,9.241e-05,2017-09-14T05:43:47.153,3295801.33132751
7.778e-05,268.42409745,7.605e-05,0.00010499,7.601e-05,6.2e-05,BTC-XMG,416.0,1075.0,9.427e-05,2017-09-14T05:44:12.69,3286077.79132048
7.605e-05,267.9152351,7.601e-05,0.00010499,7.605e-05,6.2e-05,BTC-XMG,415.0,1076.0,9.67e-05,2017-09-14T05:44:20.537,3280801.01294033
7.605e-05,267.91523509999996,7.601e-05,0.00010499,7.605e-05,6.2e-05,BTC-XMG,415.0,1076.0,9.67e-05,2017-09-14T05:44:20.537,3280801.01294033
7.605e-05,264.85664755,7.602e-05,0.00010499,7.605e-05,6.2e-05,BTC-XMG,416.0,1077.0,9.801e-05,2017-09-14T05:45:33.63,3249402.17164541
7.605e-05,261.98288858,7.602e-05,0.00010499,7.602e-05,6.2e-05,BTC-XMG,418.0,1078.0,0.00010002,2017-09-14T05:45:42.13,3220756.37180444
7.605e-05,261.98288858,7.602e-05,0.00010499,7.602e-05,6.2e-05,BTC-XMG,418.0,1078.0,0.00010002,2017-09-14T05:45:42.13,3220756.37180444
7.601e-05,252.36435551,7.6e-05,0.000102,7.6e-05,6.2e-05,BTC-XMG,416.0,1078.0,0.00010003,2017-09-14T05:46:54.533,3127262.65438887
7.601e-05,250.37704215,7.6e-05,0.000102,7.601e-05,6.2e-05,BTC-XMG,417.0,1075.0,9.302e-05,2017-09-14T05:47:12.18,3106948.95114993
7.601e-05,249.08817691,7.6e-05,0.000102,7.601e-05,6.2e-05,BTC-XMG,414.0,1075.0,9.309e-05,2017-09-14T05:47:37.573,3093415.90989466
7.601e-05,248.60403592,7.511e-05,0.000102,7.511e-05,6.2e-05,BTC-XMG,398.0,1075.0,9.492e-05,2017-09-14T05:48:06.127,3089917.48148333
7.6e-05,248.27348317,7.422e-05,0.000102,7.5e-05,6.2e-05,BTC-XMG,395.0,1075.0,0.0001,2017-09-14T05:48:30.63,3088976.65609389
7.6e-05,247.36278122,7.421e-05,0.00010192,7.422e-05,6.2e-05,BTC-XMG,395.0,1076.0,0.0001,2017-09-14T05:48:59.573,3079975.982392
7.598e-05,246.92123155,7.556e-05,0.0001,7.599e-05,6.2e-05,BTC-XMG,395.0,1077.0,0.0001,2017-09-14T05:49:26.86,3075610.19442367
7.598e-05,246.45028376,7.488e-05,9.999e-05,7.557e-05,6.2e-05,BTC-XMG,396.0,1079.0,9.795e-05,2017-09-14T05:49:48.143,3070896.07617291
7.557e-05,246.45028376,7.488e-05,9.999e-05,7.557e-05,6.2e-05,BTC-XMG,396.0,1079.0,9.795e-05,2017-09-14T05:49:52.46,3070896.07617291
7.595e-05,246.45028376,7.488e-05,9.999e-05,7.557e-05,6.2e-05,BTC-XMG,396.0,1079.0,9.795e-05,2017-09-14T05:50:23.54,3070896.07617291
7.488e-05,243.95179407,7.421e-05,9.790000000000001e-05,7.488e-05,6.2e-05,BTC-XMG,397.0,1082.0,9.791e-05,2017-09-14T05:51:14.3,3045178.02939409
7.4e-05,243.71351864,7.399e-05,9.79e-05,7.4e-05,6.2e-05,BTC-XMG,406.0,1081.0,9.79e-05,2017-09-14T05:51:46.557,3043058.88208308
7.353e-05,242.92613545,7.287e-05,9.685e-05,7.354e-05,6.2e-05,BTC-XMG,403.0,1083.0,9.564e-05,2017-09-14T05:52:22.407,3035182.16568157
7.286e-05,242.05344338,7.224e-05,9.685e-05,7.287e-05,6.2e-05,BTC-XMG,408.0,1085.0,9.326e-05,2017-09-14T05:53:05.9,3026441.93772358
7.399e-05,241.2803466,7.287e-05,9.685e-05,7.286e-05,6.2e-05,BTC-XMG,409.0,1087.0,9.326e-05,2017-09-14T05:53:35.28,3018288.9708614
7.397e-05,240.10363948,7.287e-05,9.685e-05,7.287e-05,6.2e-05,BTC-XMG,411.0,1088.0,9.297e-05,2017-09-14T05:54:22.6,3005951.51477754
7.396e-05,240.71478594,7.289e-05,9.685e-05,7.019e-05,6.2e-05,BTC-XMG,396.0,1087.0,9.290000000000001e-05,2017-09-14T05:54:52.027,3015675.18080137
7.487e-05,240.59454279,7.203e-05,9.685e-05,7.174e-05,6.2e-05,BTC-XMG,418.0,1090.0,9.3e-05,2017-09-14T05:55:32.41,3014413.95850737
7.48e-05,240.59454279,7.261e-05,9.685e-05,7.174e-05,6.2e-05,BTC-XMG,418.0,1090.0,9.300000000000001e-05,2017-09-14T05:56:13.637,3014413.95850737
7.479e-05,239.05017812,7.263e-05,9.685e-05,7.48e-05,6.2e-05,BTC-XMG,416.0,1089.0,9.291e-05,2017-09-14T05:56:44.843,2997565.65207516
7.48e-05,239.05017812,7.478e-05,9.685e-05,7.48e-05,6.2e-05,BTC-XMG,416.0,1089.0,9.291e-05,2017-09-14T05:56:56.517,2997565.65207516
7.489e-05,237.09785518,7.479e-05,9.559e-05,7.48e-05,6.2e-05,BTC-XMG,418.0,1091.0,9.685e-05,2017-09-14T05:57:40.197,2976460.9235604
7.489e-05,237.09785518,7.479e-05,9.559e-05,7.48e-05,6.2e-05,BTC-XMG,418.0,1091.0,9.685e-05,2017-09-14T05:57:40.197,2976460.9235604
7.489e-05,237.09785518,7.479e-05,9.559e-05,7.48e-05,6.2e-05,BTC-XMG,418.0,1091.0,9.685e-05,2017-09-14T05:59:07.977,2976460.9235604
7.489e-05,236.10963797,7.48e-05,9.552e-05,7.489e-05,6.2e-05,BTC-XMG,404.0,1094.0,9.4e-05,2017-09-14T05:59:40.123,2965990.55147477
7.55e-05,235.86224865,7.489e-05,9.397e-05,7.489e-05,6.2e-05,BTC-XMG,405.0,1094.0,9.3e-05,2017-09-14T06:00:09.363,2963335.66221126
7.501e-05,235.39653999,7.489e-05,9.397e-05,7.55e-05,6.2e-05,BTC-XMG,401.0,1096.0,9.300000000000001e-05,2017-09-14T06:00:31.227,2958391.71682547
7.501e-05,235.16560546,7.489e-05,9.352e-05,7.501e-05,6.2e-05,BTC-XMG,401.0,1098.0,9.352e-05,2017-09-14T06:01:14.107,2955931.3450397
7.498e-05,234.84093155,7.489e-05,9.333e-05,7.489e-05,6.2e-05,BTC-XMG,400.0,1101.0,9.333e-05,2017-09-14T06:02:06.227,2952463.8292901
7.493e-05,234.84093155,7.489e-05,9.333e-05,7.489e-05,6.2e-05,BTC-XMG,400.0,1101.0,9.333e-05,2017-09-14T06:02:34.01,2952463.8292901
7.486e-05,232.16372288,7.26e-05,9.312e-05,7.489e-05,6.2e-05,BTC-XMG,398.0,1103.0,9.066e-05,2017-09-14T06:03:19.41,2923072.19059299
7.478e-05,231.75930129,7.266e-05,9.312e-05,7.485e-05,6.2e-05,BTC-XMG,399.0,1102.0,9.067e-05,2017-09-14T06:04:10.62,2918724.62989803
