Ask,BaseVolume,Bid,High,Last,Low,Market,OpenBuyOrders,OpenSellOrders,PrevDay,TimeStamp,Volume
0.02980999,1755.68823979,0.0298,0.03093921,0.029810000000000007,0.02600058,BTC-XMR,2379.0,3542.0,0.026188799999999998,2017-09-14T06:22:24.153,61308.65171315
0.02980999,1755.98983165,0.02976005,0.03093921,0.02976006,0.02600058,BTC-XMR,2367.0,3541.0,0.0261888,2017-09-14T06:23:07.893,61318.77870872
0.02996987,1767.01254469,0.029660200000000005,0.03093921,0.0296501,0.02600058,BTC-XMR,2354.0,3537.0,0.02618872,2017-09-14T06:23:55.133,61690.35602688
0.02996977,1768.70105748,0.02969025,0.03093921,0.02969023,0.02600058,BTC-XMR,2367.0,3541.0,0.02618872,2017-09-14T06:24:24.34,61747.21447278
0.03009609,1769.70869001,0.02969032,0.03093921,0.0300964,0.02600058,BTC-XMR,2365.0,3534.0,0.026159500000000002,2017-09-14T06:24:50.703,61780.67352313
0.03009548,1769.53930976,0.02996987,0.03093921,0.03009585,0.02600058,BTC-XMR,2367.0,3538.0,0.02618871,2017-09-14T06:25:24.347,61774.05712009
0.03000526,1769.5283612,0.02996987,0.03093921,0.03000536,0.02600058,BTC-XMR,2369.0,3540.0,0.02618871,2017-09-14T06:25:52.29,61773.58797842
0.03000526,1769.5283612,0.03000518,0.03093921,0.03000536,0.02600058,BTC-XMR,2369.0,3540.0,0.02618871,2017-09-14T06:26:04.087,61773.58797842
0.03000526,1769.5368049000006,0.02996987,0.03093921,0.03000526,0.02600058,BTC-XMR,2370.0,3544.0,0.026159500000000002,2017-09-14T06:26:48.72,61772.8307921
0.03000524,1769.5368049000006,0.02996987,0.03093921,0.03000526,0.02600058,BTC-XMR,2370.0,3544.0,0.0261595,2017-09-14T06:27:17.41,61772.8307921
0.03000524,1770.70215375,0.02996987,0.03093921,0.02996987,0.02600058,BTC-XMR,2374.0,3546.0,0.026159500000000002,2017-09-14T06:27:28.1,61811.70773247
0.03000519,1771.01471813,0.02996987,0.03093921,0.030005200000000006,0.02600058,BTC-XMR,2371.0,3551.0,0.0261595,2017-09-14T06:28:24.527,61822.11459854
0.03000515,1771.18073773,0.02996987,0.03093921,0.03000515,0.026001,BTC-XMR,2371.0,3549.0,0.02600058,2017-09-14T06:28:56.873,61826.34625126
0.03000511,1771.18073773,0.02996987,0.03093921,0.03000515,0.026001,BTC-XMR,2371.0,3549.0,0.02600058,2017-09-14T06:29:08.987,61826.34625126
0.03000506,1771.21007138,0.02996987,0.03093921,0.02996987,0.026001,BTC-XMR,2362.0,3550.0,0.02600058,2017-09-14T06:29:43.613,61827.32502286
0.03000503,1771.24006138,0.02999,0.03093921,0.02999,0.026001,BTC-XMR,2361.0,3548.0,0.02600058,2017-09-14T06:30:17.68,61828.32502286
0.03,1771.86955841,0.02999,0.03093921,0.02999,0.026001,BTC-XMR,2366.0,3549.0,0.02600058,2017-09-14T06:30:47.89,61849.309861199996
0.02999999,1772.79316688,0.02999,0.03093921,0.02999,0.026001,BTC-XMR,2366.0,3550.0,0.026001,2017-09-14T06:31:10.22,61879.99144674
0.02999999,1772.92966766,0.02999,0.03093921,0.02999999,0.02600138,BTC-XMR,2367.0,3550.0,0.026001,2017-09-14T06:31:35.8,61884.49539579
0.03,1773.24848168,0.02999,0.03093921,0.02999,0.02600138,BTC-XMR,2366.0,3549.0,0.0261595,2017-09-14T06:32:02.037,61894.99296462
0.03,1773.24848168,0.02999,0.03093921,0.02999,0.02600138,BTC-XMR,2366.0,3549.0,0.026159500000000002,2017-09-14T06:32:02.037,61894.99296462
0.03,1774.07943603,0.02999,0.03093921,0.02999,0.02600138,BTC-XMR,2327.0,3510.0,0.0261595,2017-09-14T06:32:40.667,61922.70067893
0.03,1774.10282058,0.02999,0.03093921,0.02999,0.02600138,BTC-XMR,2384.0,3555.0,0.026159500000000002,2017-09-14T06:33:41.737,61923.46555674
0.03000525,1776.99889052,0.02999,0.03093921,0.03000525,0.02600138,BTC-XMR,2381.0,3547.0,0.0261595,2017-09-14T06:34:11.02,62019.77881325
0.03000525,1777.23548655,0.02999002,0.03093921,0.02999002,0.02600138,BTC-XMR,2374.0,3546.0,0.026159500000000002,2017-09-14T06:34:47.573,62027.66797448
0.02999002,1778.55647307,0.02999,0.03093921,0.02999,0.02600138,BTC-XMR,2372.0,3546.0,0.0261595,2017-09-14T06:35:12.543,62071.71551748
0.03000519,1779.75218916,0.02999002,0.03093921,0.02999002,0.02600138,BTC-XMR,2374.0,3549.0,0.026159500000000002,2017-09-14T06:35:47.61,62111.58534861
0.02998992,1781.40532129,0.02996987,0.03093921,0.02999,0.02600138,BTC-XMR,2369.0,3548.0,0.0261595,2017-09-14T06:36:13.787,62166.68942316
0.02997994,1781.35268466,0.02996987,0.03093921,0.02998002,0.02600138,BTC-XMR,2368.0,3552.0,0.026159500000000002,2017-09-14T06:36:39.977,62164.44972316
0.02990002,1781.75303072,0.0299,0.03093921,0.0299,0.02600138,BTC-XMR,2365.0,3551.0,0.0261595,2017-09-14T06:37:24.59,62177.80466701
0.02990002,1781.68518778,0.0299,0.03093921,0.02990002,0.02600138,BTC-XMR,2370.0,3551.0,0.026159500000000002,2017-09-14T06:37:34.34,62175.01565687
0.0299,1781.83507981,0.02984213,0.03093921,0.02984213,0.02600138,BTC-XMR,2373.0,3553.0,0.0261595,2017-09-14T06:38:21.597,62179.98967204
0.0299,1782.47729383,0.02984213,0.03093921,0.02984213,0.02600138,BTC-XMR,2374.0,3556.0,0.026159500000000002,2017-09-14T06:38:46.443,62201.510054
0.0299,1785.41927404,0.02984213,0.03093921,0.0299,0.02600138,BTC-XMR,2375.0,3557.0,0.02622,2017-09-14T06:39:16.9,62299.663965
0.02975,1785.90659737,0.02972,0.03093921,0.02975,0.02600138,BTC-XMR,2369.0,3557.0,0.02622,2017-09-14T06:39:38.48,62315.99108747
0.02989997,1786.11872386,0.02972,0.03093921,0.02972,0.02600138,BTC-XMR,2359.0,3561.0,0.02622,2017-09-14T06:40:04.513,62323.04144641
0.029899900000000007,1786.51646743,0.02972,0.03093921,0.02972,0.02600138,BTC-XMR,2364.0,3557.0,0.02622,2017-09-14T06:40:29.25,62336.42447418
0.029899900000000007,1786.51646743,0.02972,0.03093921,0.02972,0.02600138,BTC-XMR,2364.0,3557.0,0.02622,2017-09-14T06:40:29.41,62336.42447418
0.029899900000000007,1786.51646743,0.029720999999999997,0.03093921,0.02972,0.02600138,BTC-XMR,2364.0,3557.0,0.02622,2017-09-14T06:41:17.04,62336.42447418
0.02989985,1786.46588611,0.02972101,0.03093921,0.029899900000000007,0.02600138,BTC-XMR,2381.0,3558.0,0.02622,2017-09-14T06:41:57.463,62334.32694529
0.02989989,1786.49182104,0.02972101,0.03093921,0.029899900000000007,0.02600138,BTC-XMR,2373.0,3561.0,0.02622,2017-09-14T06:42:17.937,62335.1943395
