Ask,BaseVolume,Bid,High,Last,Low,Market,OpenBuyOrders,OpenSellOrders,PrevDay,TimeStamp,Volume
5.7e-07,16.36450251,5.6e-07,5.9e-07,5.6e-07,5.5e-07,BTC-XMY,437.0,4808.0,5.6e-07,2017-09-14T05:42:55.113,28966454.52281453
5.7e-07,16.37020251,5.6e-07,5.9e-07,5.7e-07,5.5e-07,BTC-XMY,436.0,4808.0,5.6e-07,2017-09-14T05:43:56.03,28976454.52281453
5.7e-07,16.37020251,5.6e-07,5.9e-07,5.7e-07,5.5e-07,BTC-XMY,436.0,4808.0,5.6e-07,2017-09-14T05:43:56.03,28976454.52281453
5.7e-07,16.37020251,5.6e-07,5.9e-07,5.7e-07,5.5e-07,BTC-XMY,436.0,4808.0,5.6e-07,2017-09-14T05:43:56.03,28976454.52281453
5.7e-07,16.37020251,5.6e-07,5.9e-07,5.7e-07,5.5e-07,BTC-XMY,436.0,4808.0,5.6e-07,2017-09-14T05:43:56.03,28976454.52281453
5.7e-07,16.37095712,5.6e-07,5.9e-07,5.6e-07,5.5e-07,BTC-XMY,436.0,4808.0,5.6e-07,2017-09-14T05:45:42.177,28977802.05642383
5.7e-07,16.37095712,5.6e-07,5.9e-07,5.6e-07,5.5e-07,BTC-XMY,436.0,4808.0,5.6e-07,2017-09-14T05:45:42.177,28977802.05642383
5.7e-07,16.37295212,5.6e-07,5.9e-07,5.7e-07,5.5e-07,BTC-XMY,436.0,4809.0,5.6e-07,2017-09-14T05:46:33.64,28981302.05642383
5.7e-07,16.37295212,5.6e-07,5.9e-07,5.7e-07,5.5e-07,BTC-XMY,436.0,4809.0,5.6e-07,2017-09-14T05:46:33.64,28981302.05642383
5.7e-07,16.37295212,5.6e-07,5.9e-07,5.7e-07,5.5e-07,BTC-XMY,436.0,4809.0,5.6e-07,2017-09-14T05:46:33.64,28981302.05642383
5.7e-07,16.37295212,5.6e-07,5.9e-07,5.7e-07,5.5e-07,BTC-XMY,436.0,4809.0,5.6e-07,2017-09-14T05:46:33.64,28981302.05642383
5.7e-07,16.37295212,5.6e-07,5.9e-07,5.7e-07,5.5e-07,BTC-XMY,436.0,4809.0,5.6e-07,2017-09-14T05:46:33.64,28981302.05642383
5.7e-07,16.38007359,5.6e-07,5.9e-07,5.7e-07,5.5e-07,BTC-XMY,437.0,4808.0,5.6e-07,2017-09-14T05:49:02.247,28993736.79954941
5.7e-07,16.38007359,5.6e-07,5.9e-07,5.7e-07,5.5e-07,BTC-XMY,437.0,4808.0,5.6e-07,2017-09-14T05:49:02.247,28993736.79954941
5.7e-07,16.38007359,5.6e-07,5.9e-07,5.7e-07,5.5e-07,BTC-XMY,437.0,4808.0,5.6e-07,2017-09-14T05:49:02.247,28993736.79954941
5.7e-07,16.38007359,5.6e-07,5.9e-07,5.7e-07,5.5e-07,BTC-XMY,437.0,4808.0,5.6e-07,2017-09-14T05:49:02.247,28993736.79954941
5.7e-07,16.38007359,5.6e-07,5.9e-07,5.7e-07,5.5e-07,BTC-XMY,437.0,4808.0,5.6e-07,2017-09-14T05:49:02.247,28993736.79954941
5.7e-07,16.38118266,5.6e-07,5.9e-07,5.6e-07,5.5e-07,BTC-XMY,437.0,4810.0,5.6e-07,2017-09-14T05:51:04.003,28995717.29636261
5.7e-07,16.38118266,5.6e-07,5.9e-07,5.6e-07,5.5e-07,BTC-XMY,437.0,4810.0,5.6e-07,2017-09-14T05:51:04.003,28995717.29636261
5.7e-07,16.38118266,5.6e-07,5.9e-07,5.6e-07,5.5e-07,BTC-XMY,437.0,4810.0,5.6e-07,2017-09-14T05:51:04.003,28995717.29636261
