Ask,BaseVolume,Bid,High,Last,Low,Market,OpenBuyOrders,OpenSellOrders,PrevDay,TimeStamp,Volume
5.124e-05,939.96210063,5.123e-05,5.145e-05,5.124e-05,5.024e-05,BTC-XRP,2490.0,19165.0,5.081e-05,2017-09-14T05:43:49.047,18468277.53157346
5.124e-05,939.08321794,5.123e-05,5.145e-05,5.123e-05,5.024e-05,BTC-XRP,2469.0,19162.0,5.081e-05,2017-09-14T05:44:11.283,18450971.13300263
5.125e-05,939.08321794,5.123e-05,5.145e-05,5.123e-05,5.024e-05,BTC-XRP,2469.0,19162.0,5.081e-05,2017-09-14T05:44:37.883,18450971.13300263
5.125e-05,939.08335901,5.124e-05,5.145e-05,5.124e-05,5.024e-05,BTC-XRP,2473.0,19162.0,5.08e-05,2017-09-14T05:44:58.59,18450970.82940355
5.125e-05,938.1944158,5.124e-05,5.145e-05,5.124e-05,5.024e-05,BTC-XRP,2476.0,19163.0,5.079e-05,2017-09-14T05:45:19.453,18433453.62408017
5.125e-05,938.1944158,5.124e-05,5.145e-05,5.124e-05,5.024e-05,BTC-XRP,2476.0,19163.0,5.079e-05,2017-09-14T05:45:19.453,18433453.62408017
5.125e-05,937.87567054,5.124e-05,5.145e-05,5.124e-05,5.024e-05,BTC-XRP,2480.0,19166.0,5.065e-05,2017-09-14T05:46:07.307,18427160.44003877
5.123e-05,938.56805419,5.122e-05,5.145e-05,5.122e-05,5.024e-05,BTC-XRP,2494.0,19160.0,5.065e-05,2017-09-14T05:46:49.127,18440666.96403177
5.124e-05,938.69736889,5.123e-05,5.145e-05,5.123e-05,5.024e-05,BTC-XRP,2498.0,19161.0,5.065e-05,2017-09-14T05:47:07.443,18443190.93637425
5.127e-05,935.72288686,5.124e-05,5.145e-05,5.124e-05,5.024e-05,BTC-XRP,2501.0,19160.0,5.041e-05,2017-09-14T05:47:31.34,18384281.328842606
5.127e-05,935.72288686,5.124e-05,5.145e-05,5.124e-05,5.024e-05,BTC-XRP,2501.0,19160.0,5.041e-05,2017-09-14T05:47:31.34,18384281.328842606
5.127e-05,937.26005525,5.122e-05,5.145e-05,5.127e-05,5.024e-05,BTC-XRP,2503.0,19160.0,5.045e-05,2017-09-14T05:48:27.503,18414254.19052533
5.127e-05,937.10386658,5.122e-05,5.145e-05,5.127e-05,5.024e-05,BTC-XRP,2502.0,19160.0,5.046e-05,2017-09-14T05:48:46.773,18411127.83767731
5.127e-05,937.13564375,5.122e-05,5.145e-05,5.127e-05,5.024e-05,BTC-XRP,2501.0,19162.0,5.046e-05,2017-09-14T05:49:21.263,18411747.63826391
5.127e-05,937.15600514,5.115e-05,5.145e-05,5.122e-05,5.024e-05,BTC-XRP,2501.0,19164.0,5.046e-05,2017-09-14T05:49:50.443,18412145.16649729
5.115e-05,936.5424517000001,5.114e-05,5.145e-05,5.115e-05,5.024e-05,BTC-XRP,2501.0,19164.0,5.046e-05,2017-09-14T05:50:03.74,18399985.82532658
5.127e-05,937.7214924,5.115e-05,5.145e-05,5.115e-05,5.024e-05,BTC-XRP,2501.0,19162.0,5.065e-05,2017-09-14T05:50:34.623,18423039.61950949
5.127e-05,937.72126529,5.115e-05,5.145e-05,5.115e-05,5.024e-05,BTC-XRP,2501.0,19162.0,5.065e-05,2017-09-14T05:51:09.317,18423033.58687225
5.122e-05,937.76490334,5.115e-05,5.145e-05,5.115e-05,5.024e-05,BTC-XRP,2499.0,19161.0,5.065e-05,2017-09-14T05:51:45.65,18423886.72572615
5.115e-05,937.81279322,5.11e-05,5.145e-05,5.115e-05,5.024e-05,BTC-XRP,2499.0,19164.0,5.046e-05,2017-09-14T05:52:22,18424783.13216239
5.126e-05,937.79715105,5.11e-05,5.145e-05,5.127e-05,5.024e-05,BTC-XRP,2499.0,19163.0,5.046e-05,2017-09-14T05:53:02.76,18424464.34268839
5.118e-05,939.04933505,5.11e-05,5.145e-05,5.11e-05,5.024e-05,BTC-XRP,2502.0,19164.0,5.045e-05,2017-09-14T05:53:34.31,18448928.23130144
5.127e-05,939.15437597,5.118e-05,5.145e-05,5.118e-05,5.024e-05,BTC-XRP,2504.0,19164.0,5.065e-05,2017-09-14T05:54:10.067,18450929.08284189
5.127e-05,939.00906588,5.118e-05,5.145e-05,5.127e-05,5.024e-05,BTC-XRP,2508.0,19165.0,5.065e-05,2017-09-14T05:54:32.743,18448045.87242919
5.127e-05,938.53978733,5.12e-05,5.145e-05,5.127e-05,5.024e-05,BTC-XRP,2510.0,19161.0,5.078e-05,2017-09-14T05:55:23.657,18438728.84318954
5.127e-05,937.93103347,5.118e-05,5.145e-05,5.127e-05,5.024e-05,BTC-XRP,2508.0,19161.0,5.078e-05,2017-09-14T05:56:12.197,18426733.61686728
5.127e-05,937.93103347,5.119e-05,5.145e-05,5.127e-05,5.024e-05,BTC-XRP,2508.0,19161.0,5.078e-05,2017-09-14T05:56:18.98,18426733.61686728
5.119e-05,936.63227922,5.118e-05,5.145e-05,5.119e-05,5.024e-05,BTC-XRP,2509.0,19164.0,5.078e-05,2017-09-14T05:57:10.863,18401142.56139467
5.127e-05,935.75662912,5.119e-05,5.145e-05,5.119e-05,5.024e-05,BTC-XRP,2510.0,19162.0,5.046e-05,2017-09-14T05:57:38.633,18383816.08723645
5.127e-05,934.8704031999999,5.119e-05,5.145e-05,5.127e-05,5.024e-05,BTC-XRP,2512.0,19160.0,5.048e-05,2017-09-14T05:58:25.533,18366181.89606949
5.127e-05,936.53726119,5.119e-05,5.145e-05,5.119e-05,5.024e-05,BTC-XRP,2516.0,19159.0,5.078e-05,2017-09-14T05:59:12.947,18398683.2655399
