Ask,BaseVolume,Bid,High,Last,Low,Market,OpenBuyOrders,OpenSellOrders,PrevDay,TimeStamp,Volume
4.211e-05,79.23991559,4.205e-05,6.6e-05,4.2e-05,3.6e-05,BTC-XST,185.0,552.0,3.703e-05,2017-09-14T05:01:33.113,1642886.81509856
4.211e-05,79.23991559,4.205e-05,6.6e-05,4.2e-05,3.6e-05,BTC-XST,185.0,552.0,3.703e-05,2017-09-14T05:01:33.113,1642886.81509856
4.211e-05,79.23991559,4.205e-05,6.6e-05,4.2e-05,3.6e-05,BTC-XST,185.0,552.0,3.703e-05,2017-09-14T05:01:33.113,1642886.81509856
4.211e-05,79.23991559,4.205e-05,6.6e-05,4.2e-05,3.6e-05,BTC-XST,185.0,552.0,3.703e-05,2017-09-14T05:01:33.113,1642886.81509856
4.211e-05,79.23991559,4.205e-05,6.6e-05,4.2e-05,3.6e-05,BTC-XST,185.0,552.0,3.703e-05,2017-09-14T05:01:33.113,1642886.81509856
4.211e-05,79.21563894,4.205e-05,6.6e-05,4.2e-05,3.6e-05,BTC-XST,183.0,549.0,3.701e-05,2017-09-14T05:45:47.037,1642237.37472948
4.211e-05,79.21563894,4.205e-05,6.6e-05,4.2e-05,3.6e-05,BTC-XST,183.0,549.0,3.701e-05,2017-09-14T05:45:47.037,1642237.37472948
4.211e-05,79.23624343,4.205e-05,6.6e-05,4.205e-05,3.6e-05,BTC-XST,184.0,549.0,3.701e-05,2017-09-14T05:46:51.393,1642727.37472948
4.261e-05,79.24639385,4.211e-05,6.6e-05,4.211e-05,3.6e-05,BTC-XST,185.0,549.0,3.701e-05,2017-09-14T05:47:14.43,1642968.42026688
4.261e-05,79.24639385,4.211e-05,6.6e-05,4.211e-05,3.6e-05,BTC-XST,185.0,549.0,3.701e-05,2017-09-14T05:47:14.43,1642968.42026688
4.261e-05,79.24639385,4.212e-05,6.6e-05,4.211e-05,3.6e-05,BTC-XST,185.0,549.0,3.701e-05,2017-09-14T05:47:51.827,1642968.42026688
4.261e-05,79.24639385,4.212e-05,6.6e-05,4.211e-05,3.6e-05,BTC-XST,185.0,549.0,3.701e-05,2017-09-14T05:47:51.827,1642968.42026688
4.261e-05,79.24639385,4.212e-05,6.6e-05,4.211e-05,3.6e-05,BTC-XST,185.0,549.0,3.701e-05,2017-09-14T05:47:51.827,1642968.42026688
4.261e-05,79.24639385,4.23e-05,6.6e-05,4.211e-05,3.6e-05,BTC-XST,185.0,549.0,3.701e-05,2017-09-14T05:49:08.81,1642968.42026688
4.261e-05,79.24639385,4.212e-05,6.6e-05,4.211e-05,3.6e-05,BTC-XST,185.0,549.0,3.701e-05,2017-09-14T05:49:31.58,1642968.42026688
4.278e-05,79.2469125,4.261e-05,6.6e-05,4.261e-05,3.6e-05,BTC-XST,183.0,550.0,3.701e-05,2017-09-14T05:50:03.727,1642980.59238836
4.278e-05,79.2469125,4.261e-05,6.6e-05,4.261e-05,3.6e-05,BTC-XST,183.0,550.0,3.701e-05,2017-09-14T05:50:03.727,1642980.59238836
4.278e-05,79.2469125,4.261e-05,6.6e-05,4.261e-05,3.6e-05,BTC-XST,183.0,550.0,3.701e-05,2017-09-14T05:50:03.727,1642980.59238836
4.278e-05,79.2469125,4.261e-05,6.6e-05,4.261e-05,3.6e-05,BTC-XST,183.0,550.0,3.701e-05,2017-09-14T05:50:03.727,1642980.59238836
4.278e-05,79.2469125,4.261e-05,6.6e-05,4.261e-05,3.6e-05,BTC-XST,183.0,550.0,3.701e-05,2017-09-14T05:50:03.727,1642980.59238836
4.278e-05,79.2469125,4.261e-05,6.6e-05,4.261e-05,3.6e-05,BTC-XST,183.0,550.0,3.701e-05,2017-09-14T05:50:03.727,1642980.59238836
4.278e-05,79.25785459,4.261e-05,6.6e-05,4.278e-05,3.6e-05,BTC-XST,187.0,552.0,3.701e-05,2017-09-14T05:53:23.87,1643237.31462154
4.278e-05,79.25785459,4.261e-05,6.6e-05,4.278e-05,3.6e-05,BTC-XST,187.0,552.0,3.701e-05,2017-09-14T05:53:23.87,1643237.31462154
4.278e-05,79.25785459,4.261e-05,6.6e-05,4.278e-05,3.6e-05,BTC-XST,187.0,552.0,3.701e-05,2017-09-14T05:53:23.87,1643237.31462154
4.278e-05,79.25785459,4.261e-05,6.6e-05,4.278e-05,3.6e-05,BTC-XST,187.0,552.0,3.701e-05,2017-09-14T05:53:23.87,1643237.31462154
4.279e-05,79.01831114,4.207e-05,6.6e-05,4.279e-05,3.6e-05,BTC-XST,188.0,550.0,3.783e-05,2017-09-14T05:56:06.727,1636719.78869774
4.279e-05,79.01831114,4.278e-05,6.6e-05,4.279e-05,3.6e-05,BTC-XST,188.0,550.0,3.783e-05,2017-09-14T05:56:18.76,1636719.78869774
4.281e-05,79.03014362,4.279e-05,6.6e-05,4.279e-05,3.6e-05,BTC-XST,195.0,549.0,3.783e-05,2017-09-14T05:57:12.707,1636996.31320346
4.281e-05,79.03014362,4.28e-05,6.6e-05,4.279e-05,3.6e-05,BTC-XST,195.0,549.0,3.783e-05,2017-09-14T05:57:26.46,1636996.31320346
4.3e-05,79.03915783,4.28e-05,6.6e-05,4.3e-05,3.6e-05,BTC-XST,198.0,548.0,3.783e-05,2017-09-14T05:58:33.207,1637206.82980472
4.3e-05,79.04044783,4.281e-05,6.6e-05,4.3e-05,3.6e-05,BTC-XST,199.0,548.0,3.783e-05,2017-09-14T05:58:59.38,1637236.82980472
4.3e-05,79.07024084,4.281e-05,6.6e-05,4.281e-05,3.6e-05,BTC-XST,198.0,547.0,3.783e-05,2017-09-14T05:59:27.903,1637929.76692211
4.3e-05,79.11462091,4.281e-05,6.6e-05,4.3e-05,3.6e-05,BTC-XST,197.0,547.0,3.783e-05,2017-09-14T06:00:21.207,1638961.86184595
4.3e-05,79.11519583,4.281e-05,6.6e-05,4.3e-05,3.6e-05,BTC-XST,198.0,547.0,3.783e-05,2017-09-14T06:00:40.837,1638975.23212615
4.324e-05,79.12702515,4.3e-05,6.6e-05,4.324e-05,3.6e-05,BTC-XST,199.0,548.0,3.783e-05,2017-09-14T06:01:32.423,1639248.81002731
4.324e-05,79.12702515,4.301e-05,6.6e-05,4.324e-05,3.6e-05,BTC-XST,199.0,548.0,3.783e-05,2017-09-14T06:01:50.643,1639248.81002731
4.324e-05,79.12702515,4.301e-05,6.6e-05,4.324e-05,3.6e-05,BTC-XST,199.0,548.0,3.783e-05,2017-09-14T06:01:50.643,1639248.81002731
4.324e-05,79.12702515,4.320000000000001e-05,6.6e-05,4.324e-05,3.6e-05,BTC-XST,199.0,548.0,3.783e-05,2017-09-14T06:03:18.003,1639248.81002731
4.324e-05,79.27701669,4.281e-05,6.6e-05,4.281e-05,3.6e-05,BTC-XST,201.0,554.0,3.783e-05,2017-09-14T06:04:01.963,1642723.82877986
4.324e-05,79.28134069,4.301e-05,6.6e-05,4.324e-05,3.6e-05,BTC-XST,201.0,554.0,3.783e-05,2017-09-14T06:04:22.357,1642823.82877986
4.508e-05,79.50407874,4.5e-05,6.6e-05,4.508e-05,3.6e-05,BTC-XST,204.0,547.0,3.783e-05,2017-09-14T06:05:30.587,1647865.65264158
