Ask,BaseVolume,Bid,High,Last,Low,Market,OpenBuyOrders,OpenSellOrders,PrevDay,TimeStamp,Volume
1.61e-06,1014.49657252,1.59e-06,1.7e-06,1.6e-06,1.43e-06,BTC-XVG,3232.0,10820.0,1.57e-06,2017-09-14T05:02:01.043,650498151.2891508
1.61e-06,972.81342917,1.59e-06,1.7e-06,1.59e-06,1.43e-06,BTC-XVG,3206.0,10821.0,1.58e-06,2017-09-14T05:43:59.843,624141882.3349768
1.61e-06,972.61375578,1.59e-06,1.7e-06,1.59e-06,1.43e-06,BTC-XVG,3225.0,10821.0,1.58e-06,2017-09-14T05:44:39.163,624015482.008914
1.61e-06,972.63492951,1.59e-06,1.7e-06,1.59e-06,1.43e-06,BTC-XVG,3224.0,10822.0,1.58e-06,2017-09-14T05:44:47.027,624028783.5547532
1.61e-06,972.35654722,1.59e-06,1.7e-06,1.61e-06,1.43e-06,BTC-XVG,3229.0,10826.0,1.58e-06,2017-09-14T05:45:17.61,623852586.3290434
1.6e-06,972.35654722,1.59e-06,1.7e-06,1.61e-06,1.43e-06,BTC-XVG,3229.0,10826.0,1.58e-06,2017-09-14T05:45:48.787,623852586.3290434
1.61e-06,972.2735366,1.59e-06,1.7e-06,1.61e-06,1.43e-06,BTC-XVG,3231.0,10826.0,1.57e-06,2017-09-14T05:46:28.357,623798897.4294534
1.61e-06,972.44692912,1.59e-06,1.7e-06,1.59e-06,1.43e-06,BTC-XVG,3227.0,10828.0,1.58e-06,2017-09-14T05:46:52.487,623907121.8825346
1.61e-06,972.72056514,1.59e-06,1.7e-06,1.61e-06,1.43e-06,BTC-XVG,3227.0,10815.0,1.58e-06,2017-09-14T05:47:03.333,624076568.6672348
1.61e-06,972.76108362,1.59e-06,1.7e-06,1.61e-06,1.43e-06,BTC-XVG,3228.0,10814.0,1.58e-06,2017-09-14T05:47:40.293,624095092.4010866
1.61e-06,973.32891505,1.58e-06,1.7e-06,1.61e-06,1.43e-06,BTC-XVG,3216.0,10823.0,1.58e-06,2017-09-14T05:48:01.937,624451966.4247309
1.61e-06,973.32891505,1.59e-06,1.7e-06,1.61e-06,1.43e-06,BTC-XVG,3216.0,10823.0,1.58e-06,2017-09-14T05:48:23.49,624451966.4247309
1.61e-06,972.93309717,1.59e-06,1.7e-06,1.61e-06,1.43e-06,BTC-XVG,3216.0,10826.0,1.58e-06,2017-09-14T05:48:44.743,624201442.8511018
1.61e-06,972.93309717,1.59e-06,1.7e-06,1.61e-06,1.43e-06,BTC-XVG,3216.0,10826.0,1.58e-06,2017-09-14T05:48:44.743,624201442.8511018
1.61e-06,972.93309717,1.59e-06,1.7e-06,1.61e-06,1.43e-06,BTC-XVG,3216.0,10826.0,1.58e-06,2017-09-14T05:48:44.743,624201442.8511018
1.61e-06,972.87743523,1.6e-06,1.7e-06,1.61e-06,1.43e-06,BTC-XVG,3223.0,10831.0,1.58e-06,2017-09-14T05:50:17.167,624166180.3041503
