Ask,BaseVolume,Bid,High,Last,Low,Market,OpenBuyOrders,OpenSellOrders,PrevDay,TimeStamp,Volume
3.06e-06,78.85643663,3.04e-06,3.5000000000000016e-06,3.02e-06,2.78e-06,BTC-XWC,485.0,1916.0,2.85e-06,2017-09-14T05:43:39.683,25532222.03869517
3.06e-06,78.85643663,3.04e-06,3.5000000000000016e-06,3.02e-06,2.78e-06,BTC-XWC,485.0,1916.0,2.85e-06,2017-09-14T05:43:39.683,25532222.03869517
3.06e-06,78.85643663,3.04e-06,3.5000000000000016e-06,3.02e-06,2.78e-06,BTC-XWC,485.0,1916.0,2.85e-06,2017-09-14T05:43:39.683,25532222.03869517
3.06e-06,78.85643663,3.04e-06,3.5000000000000016e-06,3.02e-06,2.78e-06,BTC-XWC,485.0,1916.0,2.85e-06,2017-09-14T05:43:39.683,25532222.03869517
3.07e-06,78.38243098,3.03e-06,3.5000000000000016e-06,3.02e-06,2.78e-06,BTC-XWC,493.0,1911.0,2.87e-06,2017-09-14T05:45:37.003,25366350.42200627
3.09e-06,78.38243098,3.04e-06,3.5000000000000016e-06,3.02e-06,2.78e-06,BTC-XWC,493.0,1911.0,2.87e-06,2017-09-14T05:45:58.337,25366350.42200627
3.08e-06,78.40485429,3.04e-06,3.5000000000000016e-06,3.04e-06,2.78e-06,BTC-XWC,495.0,1915.0,2.87e-06,2017-09-14T05:46:29,25373726.51131081
3.07e-06,78.40485429,3.05e-06,3.5000000000000016e-06,3.04e-06,2.78e-06,BTC-XWC,495.0,1915.0,2.87e-06,2017-09-14T05:46:56.177,25373726.51131081
3.09e-06,78.47015026,3.03e-06,3.5000000000000016e-06,3.05e-06,2.78e-06,BTC-XWC,494.0,1918.0,2.87e-06,2017-09-14T05:47:17.18,25395135.02637638
3.09e-06,78.47015026,3.03e-06,3.5000000000000016e-06,3.05e-06,2.78e-06,BTC-XWC,494.0,1918.0,2.87e-06,2017-09-14T05:47:39.933,25395135.02637638
3.06e-06,78.47015026,3.04e-06,3.5000000000000016e-06,3.05e-06,2.78e-06,BTC-XWC,494.0,1918.0,2.87e-06,2017-09-14T05:47:57.42,25395135.02637638
3.06e-06,78.47015026,3.04e-06,3.5000000000000016e-06,3.05e-06,2.78e-06,BTC-XWC,494.0,1918.0,2.87e-06,2017-09-14T05:47:57.42,25395135.02637638
3.06e-06,78.61806788,3.03e-06,3.5000000000000016e-06,3.05e-06,2.78e-06,BTC-XWC,489.0,1916.0,2.87e-06,2017-09-14T05:48:52.01,25443632.60969605
3.06e-06,78.61806788,3.03e-06,3.5000000000000016e-06,3.05e-06,2.78e-06,BTC-XWC,489.0,1916.0,2.87e-06,2017-09-14T05:48:52.01,25443632.60969605
3.06e-06,78.61806788,3.02e-06,3.5000000000000016e-06,3.05e-06,2.78e-06,BTC-XWC,489.0,1916.0,2.87e-06,2017-09-14T05:49:50.52,25443632.60969605
3.05e-06,78.61806788,3.03e-06,3.5000000000000016e-06,3.05e-06,2.78e-06,BTC-XWC,489.0,1916.0,2.87e-06,2017-09-14T05:50:16.12,25443632.60969605
3.05e-06,78.61806788,3.03e-06,3.5000000000000016e-06,3.05e-06,2.78e-06,BTC-XWC,489.0,1916.0,2.87e-06,2017-09-14T05:50:16.12,25443632.60969605
3.06e-06,78.91042759999998,3.03e-06,3.5000000000000016e-06,3.06e-06,2.78e-06,BTC-XWC,487.0,1920.0,2.87e-06,2017-09-14T05:50:54.33,25539215.26434475
3.09e-06,78.91042759999998,3.03e-06,3.5000000000000016e-06,3.06e-06,2.78e-06,BTC-XWC,487.0,1920.0,2.87e-06,2017-09-14T05:51:50.84,25539215.26434475
